Epoch 0 | Train Loss: 4.475 | Train Acc: 3.163%
Epoch 1 | Train Loss: 4.286 | Train Acc: 5.849%
Epoch 2 | Train Loss: 4.141 | Train Acc: 8.786%
Epoch 3 | Train Loss: 4.002 | Train Acc: 11.571%
Epoch 4 | Train Loss: 3.799 | Train Acc: 15.567%
Epoch 5 | Train Loss: 3.644 | Train Acc: 19.347%
Epoch 6 | Train Loss: 3.490 | Train Acc: 23.263%
Epoch 7 | Train Loss: 3.361 | Train Acc: 26.156%
Epoch 8 | Train Loss: 3.247 | Train Acc: 29.377%
Epoch 9 | Train Loss: 3.197 | Train Acc: 30.601%
Epoch 10 | Train Loss: 3.124 | Train Acc: 32.624%
Epoch 11 | Train Loss: 3.044 | Train Acc: 34.826%
Epoch 12 | Train Loss: 3.014 | Train Acc: 35.539%
Epoch 13 | Train Loss: 2.896 | Train Acc: 38.534%
Epoch 14 | Train Loss: 2.913 | Train Acc: 38.450%
Epoch 15 | Train Loss: 2.821 | Train Acc: 40.693%
Epoch 16 | Train Loss: 2.821 | Train Acc: 40.825%
Epoch 17 | Train Loss: 2.854 | Train Acc: 40.072%
Epoch 18 | Train Loss: 2.731 | Train Acc: 43.043%
Epoch 19 | Train Loss: 2.691 | Train Acc: 44.297%
Epoch 20 | Train Loss: 2.733 | Train Acc: 43.510%
Epoch 21 | Train Loss: 2.663 | Train Acc: 45.098%
Epoch 22 | Train Loss: 2.673 | Train Acc: 44.982%
Epoch 23 | Train Loss: 2.650 | Train Acc: 45.853%
Epoch 24 | Train Loss: 2.675 | Train Acc: 45.104%
Epoch 25 | Train Loss: 2.595 | Train Acc: 47.007%
Epoch 26 | Train Loss: 2.587 | Train Acc: 47.666%
Epoch 27 | Train Loss: 2.567 | Train Acc: 48.011%
Epoch 28 | Train Loss: 2.574 | Train Acc: 48.249%
Epoch 29 | Train Loss: 2.582 | Train Acc: 47.973%
Epoch 30 | Train Loss: 2.550 | Train Acc: 48.686%
Epoch 31 | Train Loss: 2.553 | Train Acc: 48.672%
Epoch 32 | Train Loss: 2.499 | Train Acc: 50.369%
Epoch 33 | Train Loss: 2.510 | Train Acc: 50.124%
Epoch 34 | Train Loss: 2.497 | Train Acc: 50.150%
Epoch 35 | Train Loss: 2.488 | Train Acc: 50.433%
Epoch 36 | Train Loss: 2.494 | Train Acc: 50.343%
Epoch 37 | Train Loss: 2.403 | Train Acc: 52.901%
Epoch 38 | Train Loss: 2.464 | Train Acc: 51.402%
Epoch 39 | Train Loss: 2.392 | Train Acc: 53.554%
Epoch 40 | Train Loss: 2.411 | Train Acc: 53.003%
Epoch 41 | Train Loss: 2.455 | Train Acc: 51.492%
Epoch 42 | Train Loss: 2.361 | Train Acc: 54.000%
Epoch 43 | Train Loss: 2.339 | Train Acc: 54.645%
Epoch 44 | Train Loss: 2.367 | Train Acc: 54.259%
Epoch 45 | Train Loss: 2.336 | Train Acc: 55.112%
Epoch 46 | Train Loss: 2.333 | Train Acc: 54.726%
Epoch 47 | Train Loss: 2.338 | Train Acc: 55.000%
Epoch 48 | Train Loss: 2.354 | Train Acc: 54.505%
Epoch 49 | Train Loss: 2.315 | Train Acc: 55.653%
Epoch 50 | Train Loss: 2.280 | Train Acc: 56.454%
Epoch 51 | Train Loss: 2.286 | Train Acc: 56.114%
Epoch 52 | Train Loss: 2.328 | Train Acc: 55.433%
Epoch 53 | Train Loss: 2.302 | Train Acc: 56.378%
Epoch 54 | Train Loss: 2.248 | Train Acc: 57.340%
Epoch 55 | Train Loss: 2.340 | Train Acc: 55.445%
Epoch 56 | Train Loss: 2.304 | Train Acc: 55.970%
Epoch 57 | Train Loss: 2.248 | Train Acc: 57.434%
Epoch 58 | Train Loss: 2.253 | Train Acc: 57.406%
Epoch 59 | Train Loss: 2.218 | Train Acc: 58.720%
Epoch 60 | Train Loss: 2.222 | Train Acc: 58.317%
Epoch 61 | Train Loss: 2.302 | Train Acc: 56.528%
Epoch 62 | Train Loss: 2.235 | Train Acc: 58.187%
Epoch 63 | Train Loss: 2.206 | Train Acc: 58.387%
Epoch 64 | Train Loss: 2.247 | Train Acc: 57.610%
Epoch 65 | Train Loss: 2.206 | Train Acc: 58.732%
Epoch 66 | Train Loss: 2.178 | Train Acc: 59.643%
Epoch 67 | Train Loss: 2.154 | Train Acc: 60.288%
Epoch 68 | Train Loss: 2.215 | Train Acc: 58.836%
Epoch 69 | Train Loss: 2.191 | Train Acc: 59.097%
Epoch 70 | Train Loss: 2.163 | Train Acc: 60.062%
Epoch 71 | Train Loss: 2.200 | Train Acc: 59.255%
Epoch 72 | Train Loss: 2.214 | Train Acc: 59.030%
Epoch 73 | Train Loss: 2.147 | Train Acc: 60.565%
Epoch 74 | Train Loss: 2.110 | Train Acc: 61.589%
Epoch 75 | Train Loss: 2.206 | Train Acc: 58.994%
Epoch 76 | Train Loss: 2.109 | Train Acc: 61.695%
Epoch 77 | Train Loss: 2.205 | Train Acc: 59.409%
Epoch 78 | Train Loss: 2.093 | Train Acc: 62.051%
Epoch 79 | Train Loss: 2.105 | Train Acc: 61.659%
Epoch 80 | Train Loss: 2.122 | Train Acc: 61.298%
Epoch 81 | Train Loss: 2.134 | Train Acc: 61.116%
Epoch 82 | Train Loss: 2.134 | Train Acc: 61.116%
Epoch 83 | Train Loss: 2.127 | Train Acc: 61.224%
Epoch 84 | Train Loss: 2.130 | Train Acc: 60.964%
Epoch 85 | Train Loss: 2.131 | Train Acc: 61.320%
Epoch 86 | Train Loss: 2.091 | Train Acc: 62.284%
Epoch 87 | Train Loss: 2.088 | Train Acc: 62.454%
Epoch 88 | Train Loss: 2.096 | Train Acc: 62.055%
Epoch 89 | Train Loss: 2.130 | Train Acc: 61.316%
Epoch 90 | Train Loss: 2.086 | Train Acc: 62.348%
Epoch 91 | Train Loss: 2.080 | Train Acc: 62.674%
Epoch 92 | Train Loss: 2.089 | Train Acc: 62.376%
Epoch 93 | Train Loss: 2.090 | Train Acc: 62.532%
Epoch 94 | Train Loss: 2.115 | Train Acc: 62.019%
Epoch 95 | Train Loss: 2.059 | Train Acc: 63.355%
Epoch 96 | Train Loss: 2.160 | Train Acc: 60.651%
Epoch 97 | Train Loss: 2.033 | Train Acc: 63.694%
Epoch 98 | Train Loss: 2.059 | Train Acc: 63.171%
Epoch 99 | Train Loss: 2.097 | Train Acc: 62.698%
Epoch 100 | Train Loss: 2.085 | Train Acc: 62.893%
Epoch 101 | Train Loss: 1.979 | Train Acc: 65.234%
Epoch 102 | Train Loss: 2.028 | Train Acc: 64.361%
Epoch 103 | Train Loss: 2.009 | Train Acc: 64.575%
Epoch 104 | Train Loss: 2.027 | Train Acc: 64.493%
Epoch 105 | Train Loss: 1.976 | Train Acc: 65.793%
Epoch 106 | Train Loss: 1.965 | Train Acc: 66.110%
Epoch 107 | Train Loss: 2.004 | Train Acc: 64.884%
Epoch 108 | Train Loss: 2.038 | Train Acc: 64.167%
Epoch 109 | Train Loss: 1.972 | Train Acc: 65.743%
Epoch 110 | Train Loss: 2.003 | Train Acc: 65.000%
Epoch 111 | Train Loss: 2.036 | Train Acc: 64.271%
Epoch 112 | Train Loss: 2.005 | Train Acc: 65.172%
Epoch 113 | Train Loss: 2.024 | Train Acc: 64.696%
Epoch 114 | Train Loss: 2.003 | Train Acc: 64.980%
Epoch 115 | Train Loss: 2.024 | Train Acc: 64.742%
Epoch 116 | Train Loss: 2.011 | Train Acc: 64.918%
Epoch 117 | Train Loss: 1.968 | Train Acc: 65.996%
Epoch 118 | Train Loss: 2.093 | Train Acc: 62.748%
Epoch 119 | Train Loss: 1.972 | Train Acc: 66.254%
Epoch 120 | Train Loss: 1.971 | Train Acc: 65.984%
Epoch 121 | Train Loss: 1.973 | Train Acc: 66.072%
Epoch 122 | Train Loss: 2.022 | Train Acc: 64.794%
Epoch 123 | Train Loss: 1.960 | Train Acc: 66.532%
Epoch 124 | Train Loss: 2.017 | Train Acc: 64.796%
Epoch 125 | Train Loss: 1.978 | Train Acc: 65.801%
Epoch 126 | Train Loss: 1.979 | Train Acc: 65.847%
Epoch 127 | Train Loss: 1.970 | Train Acc: 66.208%
Epoch 128 | Train Loss: 1.958 | Train Acc: 66.711%
Epoch 129 | Train Loss: 1.940 | Train Acc: 67.009%
Epoch 130 | Train Loss: 1.867 | Train Acc: 68.896%
Epoch 131 | Train Loss: 1.954 | Train Acc: 66.653%
Epoch 132 | Train Loss: 1.994 | Train Acc: 65.375%
Epoch 133 | Train Loss: 1.958 | Train Acc: 66.607%
Epoch 134 | Train Loss: 2.027 | Train Acc: 64.822%
Epoch 135 | Train Loss: 1.892 | Train Acc: 68.476%
Epoch 136 | Train Loss: 1.976 | Train Acc: 66.170%
Epoch 137 | Train Loss: 1.929 | Train Acc: 67.288%
Epoch 138 | Train Loss: 1.936 | Train Acc: 67.147%
Epoch 139 | Train Loss: 1.939 | Train Acc: 67.133%
Epoch 140 | Train Loss: 1.920 | Train Acc: 68.149%
Epoch 141 | Train Loss: 1.907 | Train Acc: 68.039%
Epoch 142 | Train Loss: 1.970 | Train Acc: 66.146%
Epoch 143 | Train Loss: 1.901 | Train Acc: 68.427%
Epoch 144 | Train Loss: 1.847 | Train Acc: 69.758%
Epoch 145 | Train Loss: 1.904 | Train Acc: 68.490%
Epoch 146 | Train Loss: 1.927 | Train Acc: 67.819%
Epoch 147 | Train Loss: 1.949 | Train Acc: 67.113%
Epoch 148 | Train Loss: 1.835 | Train Acc: 70.294%
Epoch 149 | Train Loss: 1.932 | Train Acc: 67.280%
Epoch 150 | Train Loss: 1.878 | Train Acc: 68.916%
Epoch 151 | Train Loss: 1.878 | Train Acc: 68.962%
Epoch 152 | Train Loss: 1.896 | Train Acc: 68.508%
Epoch 153 | Train Loss: 1.895 | Train Acc: 68.604%
Epoch 154 | Train Loss: 1.898 | Train Acc: 68.307%
Epoch 155 | Train Loss: 1.914 | Train Acc: 68.055%
Epoch 156 | Train Loss: 1.926 | Train Acc: 67.740%
Epoch 157 | Train Loss: 1.855 | Train Acc: 69.437%
Epoch 158 | Train Loss: 1.843 | Train Acc: 70.124%
Epoch 159 | Train Loss: 1.888 | Train Acc: 68.714%
Epoch 160 | Train Loss: 1.903 | Train Acc: 68.600%
Epoch 161 | Train Loss: 1.866 | Train Acc: 69.537%
Epoch 162 | Train Loss: 1.827 | Train Acc: 70.509%
Epoch 163 | Train Loss: 1.878 | Train Acc: 69.012%
Epoch 164 | Train Loss: 1.876 | Train Acc: 68.850%
Epoch 165 | Train Loss: 1.856 | Train Acc: 69.465%
Epoch 166 | Train Loss: 1.833 | Train Acc: 70.489%
Epoch 167 | Train Loss: 1.840 | Train Acc: 70.010%
Epoch 168 | Train Loss: 1.842 | Train Acc: 70.170%
Epoch 169 | Train Loss: 1.901 | Train Acc: 68.069%
Epoch 170 | Train Loss: 1.801 | Train Acc: 71.144%
Epoch 171 | Train Loss: 1.884 | Train Acc: 68.904%
Epoch 172 | Train Loss: 1.825 | Train Acc: 70.547%
Epoch 173 | Train Loss: 1.803 | Train Acc: 71.206%
Epoch 174 | Train Loss: 1.817 | Train Acc: 70.763%
Epoch 175 | Train Loss: 1.851 | Train Acc: 70.034%
Epoch 176 | Train Loss: 1.838 | Train Acc: 70.597%
Epoch 177 | Train Loss: 1.794 | Train Acc: 71.536%
Epoch 178 | Train Loss: 1.822 | Train Acc: 70.938%
Epoch 179 | Train Loss: 1.796 | Train Acc: 71.406%
Epoch 180 | Train Loss: 1.828 | Train Acc: 70.699%
Epoch 181 | Train Loss: 1.766 | Train Acc: 72.346%
Epoch 182 | Train Loss: 1.840 | Train Acc: 70.088%
Epoch 183 | Train Loss: 1.773 | Train Acc: 72.242%
Epoch 184 | Train Loss: 1.817 | Train Acc: 71.076%
Epoch 185 | Train Loss: 1.780 | Train Acc: 72.139%
Epoch 186 | Train Loss: 1.743 | Train Acc: 73.263%
Epoch 187 | Train Loss: 1.846 | Train Acc: 70.214%
Epoch 188 | Train Loss: 1.773 | Train Acc: 72.264%
Epoch 189 | Train Loss: 1.809 | Train Acc: 71.044%
Epoch 190 | Train Loss: 1.767 | Train Acc: 72.316%
Epoch 191 | Train Loss: 1.838 | Train Acc: 70.409%
Epoch 192 | Train Loss: 1.847 | Train Acc: 70.226%
Epoch 193 | Train Loss: 1.824 | Train Acc: 70.743%
Epoch 194 | Train Loss: 1.789 | Train Acc: 71.879%
Epoch 195 | Train Loss: 1.725 | Train Acc: 73.532%
Epoch 196 | Train Loss: 1.754 | Train Acc: 72.662%
Epoch 197 | Train Loss: 1.753 | Train Acc: 72.780%
Epoch 198 | Train Loss: 1.777 | Train Acc: 71.879%
Epoch 199 | Train Loss: 1.769 | Train Acc: 72.336%
Epoch 200 | Train Loss: 1.730 | Train Acc: 73.568%
Epoch 201 | Train Loss: 1.801 | Train Acc: 71.358%
Epoch 202 | Train Loss: 1.777 | Train Acc: 72.300%
