Epoch 0 | Train Loss: 4.469 | Train Acc: 3.203%
Epoch 1 | Train Loss: 4.265 | Train Acc: 6.372%
Epoch 2 | Train Loss: 4.103 | Train Acc: 9.653%
Epoch 3 | Train Loss: 3.954 | Train Acc: 12.756%
Epoch 4 | Train Loss: 3.762 | Train Acc: 16.673%
Epoch 5 | Train Loss: 3.621 | Train Acc: 19.996%
Epoch 6 | Train Loss: 3.463 | Train Acc: 23.952%
Epoch 7 | Train Loss: 3.336 | Train Acc: 27.051%
Epoch 8 | Train Loss: 3.227 | Train Acc: 29.571%
Epoch 9 | Train Loss: 3.172 | Train Acc: 31.448%
Epoch 10 | Train Loss: 3.100 | Train Acc: 33.179%
Epoch 11 | Train Loss: 3.020 | Train Acc: 35.553%
Epoch 12 | Train Loss: 2.991 | Train Acc: 36.264%
Epoch 13 | Train Loss: 2.873 | Train Acc: 39.377%
Epoch 14 | Train Loss: 2.895 | Train Acc: 38.936%
Epoch 15 | Train Loss: 2.801 | Train Acc: 41.250%
Epoch 16 | Train Loss: 2.802 | Train Acc: 41.571%
Epoch 17 | Train Loss: 2.841 | Train Acc: 40.581%
Epoch 18 | Train Loss: 2.714 | Train Acc: 43.890%
Epoch 19 | Train Loss: 2.671 | Train Acc: 44.990%
Epoch 20 | Train Loss: 2.720 | Train Acc: 43.962%
Epoch 21 | Train Loss: 2.649 | Train Acc: 45.545%
Epoch 22 | Train Loss: 2.658 | Train Acc: 45.545%
Epoch 23 | Train Loss: 2.644 | Train Acc: 46.350%
Epoch 24 | Train Loss: 2.662 | Train Acc: 45.483%
Epoch 25 | Train Loss: 2.584 | Train Acc: 47.756%
Epoch 26 | Train Loss: 2.571 | Train Acc: 48.263%
Epoch 27 | Train Loss: 2.561 | Train Acc: 48.440%
Epoch 28 | Train Loss: 2.566 | Train Acc: 48.618%
Epoch 29 | Train Loss: 2.575 | Train Acc: 48.299%
Epoch 30 | Train Loss: 2.545 | Train Acc: 48.830%
Epoch 31 | Train Loss: 2.546 | Train Acc: 49.062%
Epoch 32 | Train Loss: 2.492 | Train Acc: 50.629%
Epoch 33 | Train Loss: 2.505 | Train Acc: 50.004%
Epoch 34 | Train Loss: 2.494 | Train Acc: 50.491%
Epoch 35 | Train Loss: 2.482 | Train Acc: 50.735%
Epoch 36 | Train Loss: 2.492 | Train Acc: 50.669%
Epoch 37 | Train Loss: 2.393 | Train Acc: 53.051%
Epoch 38 | Train Loss: 2.460 | Train Acc: 51.747%
Epoch 39 | Train Loss: 2.378 | Train Acc: 53.664%
Epoch 40 | Train Loss: 2.397 | Train Acc: 53.706%
Epoch 41 | Train Loss: 2.450 | Train Acc: 51.867%
Epoch 42 | Train Loss: 2.352 | Train Acc: 54.201%
Epoch 43 | Train Loss: 2.329 | Train Acc: 55.146%
Epoch 44 | Train Loss: 2.358 | Train Acc: 54.529%
Epoch 45 | Train Loss: 2.330 | Train Acc: 55.174%
Epoch 46 | Train Loss: 2.327 | Train Acc: 55.214%
Epoch 47 | Train Loss: 2.332 | Train Acc: 55.188%
Epoch 48 | Train Loss: 2.344 | Train Acc: 54.643%
Epoch 49 | Train Loss: 2.306 | Train Acc: 56.124%
