Epoch 0 | Train Loss: 4.473 | Train Acc: 3.141%
Epoch 1 | Train Loss: 4.276 | Train Acc: 6.132%
Epoch 2 | Train Loss: 4.122 | Train Acc: 9.169%
Epoch 3 | Train Loss: 3.986 | Train Acc: 12.093%
Epoch 4 | Train Loss: 3.804 | Train Acc: 15.617%
Epoch 5 | Train Loss: 3.665 | Train Acc: 18.948%
Epoch 6 | Train Loss: 3.514 | Train Acc: 22.424%
Epoch 7 | Train Loss: 3.387 | Train Acc: 25.783%
Epoch 8 | Train Loss: 3.279 | Train Acc: 28.454%
Epoch 9 | Train Loss: 3.223 | Train Acc: 29.930%
Epoch 10 | Train Loss: 3.151 | Train Acc: 31.929%
Epoch 11 | Train Loss: 3.063 | Train Acc: 34.405%
Epoch 12 | Train Loss: 3.038 | Train Acc: 35.064%
Epoch 13 | Train Loss: 2.920 | Train Acc: 37.871%
Epoch 14 | Train Loss: 2.938 | Train Acc: 38.007%
Epoch 15 | Train Loss: 2.840 | Train Acc: 40.156%
Epoch 16 | Train Loss: 2.840 | Train Acc: 40.274%
Epoch 17 | Train Loss: 2.876 | Train Acc: 39.796%
Epoch 18 | Train Loss: 2.757 | Train Acc: 42.580%
Epoch 19 | Train Loss: 2.716 | Train Acc: 43.732%
Epoch 20 | Train Loss: 2.760 | Train Acc: 42.853%
Epoch 21 | Train Loss: 2.691 | Train Acc: 44.409%
Epoch 22 | Train Loss: 2.701 | Train Acc: 44.371%
Epoch 23 | Train Loss: 2.683 | Train Acc: 45.046%
Epoch 24 | Train Loss: 2.705 | Train Acc: 44.477%
Epoch 25 | Train Loss: 2.624 | Train Acc: 46.408%
Epoch 26 | Train Loss: 2.612 | Train Acc: 46.939%
Epoch 27 | Train Loss: 2.602 | Train Acc: 47.085%
Epoch 28 | Train Loss: 2.605 | Train Acc: 47.592%
Epoch 29 | Train Loss: 2.615 | Train Acc: 47.260%
Epoch 30 | Train Loss: 2.585 | Train Acc: 47.722%
Epoch 31 | Train Loss: 2.588 | Train Acc: 47.875%
Epoch 32 | Train Loss: 2.537 | Train Acc: 49.465%
Epoch 33 | Train Loss: 2.549 | Train Acc: 48.892%
Epoch 34 | Train Loss: 2.535 | Train Acc: 49.487%
Epoch 35 | Train Loss: 2.527 | Train Acc: 49.483%
Epoch 36 | Train Loss: 2.536 | Train Acc: 49.457%
Epoch 37 | Train Loss: 2.440 | Train Acc: 51.757%
Epoch 38 | Train Loss: 2.503 | Train Acc: 50.637%
Epoch 39 | Train Loss: 2.423 | Train Acc: 52.264%
Epoch 40 | Train Loss: 2.443 | Train Acc: 52.332%
Epoch 41 | Train Loss: 2.497 | Train Acc: 50.541%
Epoch 42 | Train Loss: 2.394 | Train Acc: 53.129%
Epoch 43 | Train Loss: 2.375 | Train Acc: 53.832%
Epoch 44 | Train Loss: 2.405 | Train Acc: 53.287%
Epoch 45 | Train Loss: 2.375 | Train Acc: 54.054%
Epoch 46 | Train Loss: 2.375 | Train Acc: 53.806%
Epoch 47 | Train Loss: 2.380 | Train Acc: 53.788%
Epoch 48 | Train Loss: 2.391 | Train Acc: 53.472%
Epoch 49 | Train Loss: 2.352 | Train Acc: 54.804%
Epoch 50 | Train Loss: 2.321 | Train Acc: 55.210%
Epoch 51 | Train Loss: 2.332 | Train Acc: 55.052%
Epoch 52 | Train Loss: 2.361 | Train Acc: 54.818%
Epoch 53 | Train Loss: 2.335 | Train Acc: 55.421%
Epoch 54 | Train Loss: 2.287 | Train Acc: 56.687%
Epoch 55 | Train Loss: 2.374 | Train Acc: 54.267%
Epoch 56 | Train Loss: 2.341 | Train Acc: 55.266%
Epoch 57 | Train Loss: 2.290 | Train Acc: 56.625%
Epoch 58 | Train Loss: 2.293 | Train Acc: 56.184%
Epoch 59 | Train Loss: 2.258 | Train Acc: 57.570%
Epoch 60 | Train Loss: 2.261 | Train Acc: 57.438%
Epoch 61 | Train Loss: 2.338 | Train Acc: 55.805%
Epoch 62 | Train Loss: 2.273 | Train Acc: 57.169%
Epoch 63 | Train Loss: 2.247 | Train Acc: 57.516%
Epoch 64 | Train Loss: 2.288 | Train Acc: 56.739%
Epoch 65 | Train Loss: 2.248 | Train Acc: 57.800%
Epoch 66 | Train Loss: 2.225 | Train Acc: 58.317%
Epoch 67 | Train Loss: 2.187 | Train Acc: 59.463%
Epoch 68 | Train Loss: 2.247 | Train Acc: 57.728%
Epoch 69 | Train Loss: 2.235 | Train Acc: 57.957%
Epoch 70 | Train Loss: 2.200 | Train Acc: 59.133%
Epoch 71 | Train Loss: 2.244 | Train Acc: 57.911%
Epoch 72 | Train Loss: 2.256 | Train Acc: 57.935%
Epoch 73 | Train Loss: 2.190 | Train Acc: 59.467%
Epoch 74 | Train Loss: 2.144 | Train Acc: 60.745%
Epoch 75 | Train Loss: 2.249 | Train Acc: 57.672%
Epoch 76 | Train Loss: 2.146 | Train Acc: 60.541%
Epoch 77 | Train Loss: 2.244 | Train Acc: 58.191%
Epoch 78 | Train Loss: 2.133 | Train Acc: 60.871%
Epoch 79 | Train Loss: 2.149 | Train Acc: 60.367%
Epoch 80 | Train Loss: 2.168 | Train Acc: 60.008%
Epoch 81 | Train Loss: 2.174 | Train Acc: 60.140%
Epoch 82 | Train Loss: 2.166 | Train Acc: 60.467%
Epoch 83 | Train Loss: 2.166 | Train Acc: 60.260%
Epoch 84 | Train Loss: 2.176 | Train Acc: 59.667%
Epoch 85 | Train Loss: 2.184 | Train Acc: 59.834%
Epoch 86 | Train Loss: 2.131 | Train Acc: 61.390%
Epoch 87 | Train Loss: 2.132 | Train Acc: 61.466%
Epoch 88 | Train Loss: 2.142 | Train Acc: 60.825%
Epoch 89 | Train Loss: 2.174 | Train Acc: 59.980%
Epoch 90 | Train Loss: 2.135 | Train Acc: 60.721%
