Epoch 0 | Train Loss: 4.461 | Train Acc: 3.357%
Epoch 1 | Train Loss: 4.262 | Train Acc: 6.124%
Epoch 2 | Train Loss: 4.098 | Train Acc: 9.736%
Epoch 3 | Train Loss: 3.939 | Train Acc: 12.943%
Epoch 4 | Train Loss: 3.743 | Train Acc: 16.865%
Epoch 5 | Train Loss: 3.601 | Train Acc: 20.449%
Epoch 6 | Train Loss: 3.449 | Train Acc: 24.016%
Epoch 7 | Train Loss: 3.324 | Train Acc: 27.192%
Epoch 8 | Train Loss: 3.218 | Train Acc: 30.174%
Epoch 9 | Train Loss: 3.163 | Train Acc: 31.306%
Epoch 10 | Train Loss: 3.101 | Train Acc: 33.289%
Epoch 11 | Train Loss: 3.020 | Train Acc: 35.443%
Epoch 12 | Train Loss: 2.995 | Train Acc: 36.140%
Epoch 13 | Train Loss: 2.877 | Train Acc: 39.219%
Epoch 14 | Train Loss: 2.890 | Train Acc: 39.119%
Epoch 15 | Train Loss: 2.800 | Train Acc: 41.310%
Epoch 16 | Train Loss: 2.801 | Train Acc: 41.452%
Epoch 17 | Train Loss: 2.838 | Train Acc: 40.759%
Epoch 18 | Train Loss: 2.714 | Train Acc: 43.664%
Epoch 19 | Train Loss: 2.670 | Train Acc: 45.090%
Epoch 20 | Train Loss: 2.725 | Train Acc: 43.946%
Epoch 21 | Train Loss: 2.651 | Train Acc: 45.791%
Epoch 22 | Train Loss: 2.659 | Train Acc: 45.455%
Epoch 23 | Train Loss: 2.648 | Train Acc: 46.120%
Epoch 24 | Train Loss: 2.663 | Train Acc: 45.495%
Epoch 25 | Train Loss: 2.584 | Train Acc: 47.646%
Epoch 26 | Train Loss: 2.567 | Train Acc: 48.253%
Epoch 27 | Train Loss: 2.560 | Train Acc: 48.512%
Epoch 28 | Train Loss: 2.561 | Train Acc: 48.458%
Epoch 29 | Train Loss: 2.574 | Train Acc: 48.345%
Epoch 30 | Train Loss: 2.543 | Train Acc: 49.048%
Epoch 31 | Train Loss: 2.547 | Train Acc: 49.034%
Epoch 32 | Train Loss: 2.490 | Train Acc: 50.659%
Epoch 33 | Train Loss: 2.500 | Train Acc: 50.238%
Epoch 34 | Train Loss: 2.490 | Train Acc: 50.643%
Epoch 35 | Train Loss: 2.479 | Train Acc: 50.701%
Epoch 36 | Train Loss: 2.487 | Train Acc: 50.895%
Epoch 37 | Train Loss: 2.394 | Train Acc: 52.977%
Epoch 38 | Train Loss: 2.454 | Train Acc: 51.627%
Epoch 39 | Train Loss: 2.378 | Train Acc: 53.526%
Epoch 40 | Train Loss: 2.395 | Train Acc: 53.646%
Epoch 41 | Train Loss: 2.441 | Train Acc: 52.111%
Epoch 42 | Train Loss: 2.347 | Train Acc: 54.421%
Epoch 43 | Train Loss: 2.328 | Train Acc: 55.164%
Epoch 44 | Train Loss: 2.357 | Train Acc: 54.507%
Epoch 45 | Train Loss: 2.322 | Train Acc: 55.547%
Epoch 46 | Train Loss: 2.320 | Train Acc: 55.300%
Epoch 47 | Train Loss: 2.324 | Train Acc: 55.391%
Epoch 48 | Train Loss: 2.337 | Train Acc: 55.136%
Epoch 49 | Train Loss: 2.298 | Train Acc: 56.148%
Epoch 50 | Train Loss: 2.271 | Train Acc: 56.777%
Epoch 51 | Train Loss: 2.272 | Train Acc: 56.558%
Epoch 52 | Train Loss: 2.313 | Train Acc: 55.909%
Epoch 53 | Train Loss: 2.289 | Train Acc: 56.354%
Epoch 54 | Train Loss: 2.233 | Train Acc: 57.993%
Epoch 55 | Train Loss: 2.321 | Train Acc: 55.665%
Epoch 56 | Train Loss: 2.291 | Train Acc: 56.180%
Epoch 57 | Train Loss: 2.236 | Train Acc: 57.977%
Epoch 58 | Train Loss: 2.235 | Train Acc: 57.736%
Epoch 59 | Train Loss: 2.205 | Train Acc: 58.980%
Epoch 60 | Train Loss: 2.205 | Train Acc: 58.846%
Epoch 61 | Train Loss: 2.286 | Train Acc: 56.889%
Epoch 62 | Train Loss: 2.221 | Train Acc: 58.614%
Epoch 63 | Train Loss: 2.194 | Train Acc: 58.940%
Epoch 64 | Train Loss: 2.228 | Train Acc: 58.476%
Epoch 65 | Train Loss: 2.186 | Train Acc: 59.405%
Epoch 66 | Train Loss: 2.166 | Train Acc: 59.794%
Epoch 67 | Train Loss: 2.137 | Train Acc: 60.915%
Epoch 68 | Train Loss: 2.193 | Train Acc: 59.325%
Epoch 69 | Train Loss: 2.180 | Train Acc: 59.363%
Epoch 70 | Train Loss: 2.148 | Train Acc: 60.300%
Epoch 71 | Train Loss: 2.185 | Train Acc: 59.341%
Epoch 72 | Train Loss: 2.194 | Train Acc: 59.523%
Epoch 73 | Train Loss: 2.134 | Train Acc: 60.990%
Epoch 74 | Train Loss: 2.086 | Train Acc: 62.137%
Epoch 75 | Train Loss: 2.192 | Train Acc: 59.257%
Epoch 76 | Train Loss: 2.095 | Train Acc: 62.232%
Epoch 77 | Train Loss: 2.185 | Train Acc: 59.675%
Epoch 78 | Train Loss: 2.076 | Train Acc: 62.500%
Epoch 79 | Train Loss: 2.092 | Train Acc: 61.845%
Epoch 80 | Train Loss: 2.111 | Train Acc: 61.631%
Epoch 81 | Train Loss: 2.118 | Train Acc: 61.436%
Epoch 82 | Train Loss: 2.114 | Train Acc: 61.617%
Epoch 83 | Train Loss: 2.106 | Train Acc: 61.861%
Epoch 84 | Train Loss: 2.112 | Train Acc: 61.446%
Epoch 85 | Train Loss: 2.124 | Train Acc: 61.384%
Epoch 86 | Train Loss: 2.074 | Train Acc: 62.582%
Epoch 87 | Train Loss: 2.070 | Train Acc: 62.817%
Epoch 88 | Train Loss: 2.081 | Train Acc: 62.308%
Epoch 89 | Train Loss: 2.117 | Train Acc: 61.558%
Epoch 90 | Train Loss: 2.070 | Train Acc: 62.798%
Epoch 91 | Train Loss: 2.060 | Train Acc: 63.281%
Epoch 92 | Train Loss: 2.064 | Train Acc: 63.169%
Epoch 93 | Train Loss: 2.074 | Train Acc: 62.819%
Epoch 94 | Train Loss: 2.094 | Train Acc: 62.292%
Epoch 95 | Train Loss: 2.041 | Train Acc: 63.874%
Epoch 96 | Train Loss: 2.147 | Train Acc: 61.382%
Epoch 97 | Train Loss: 2.014 | Train Acc: 64.531%
Epoch 98 | Train Loss: 2.044 | Train Acc: 63.648%
