Epoch 0 | Train Loss: 4.469 | Train Acc: 3.297%
Epoch 1 | Train Loss: 4.277 | Train Acc: 6.052%
Epoch 2 | Train Loss: 4.144 | Train Acc: 8.806%
Epoch 3 | Train Loss: 4.035 | Train Acc: 10.871%
Epoch 4 | Train Loss: 3.874 | Train Acc: 14.062%
Epoch 5 | Train Loss: 3.757 | Train Acc: 16.977%
Epoch 6 | Train Loss: 3.621 | Train Acc: 20.076%
Epoch 7 | Train Loss: 3.504 | Train Acc: 22.806%
Epoch 8 | Train Loss: 3.396 | Train Acc: 25.721%
Epoch 9 | Train Loss: 3.340 | Train Acc: 26.867%
Epoch 10 | Train Loss: 3.262 | Train Acc: 29.129%
Epoch 11 | Train Loss: 3.184 | Train Acc: 31.306%
Epoch 12 | Train Loss: 3.149 | Train Acc: 32.085%
Epoch 13 | Train Loss: 3.032 | Train Acc: 35.174%
Epoch 14 | Train Loss: 3.038 | Train Acc: 35.294%
Epoch 15 | Train Loss: 2.945 | Train Acc: 37.302%
Epoch 16 | Train Loss: 2.942 | Train Acc: 37.542%
Epoch 17 | Train Loss: 2.976 | Train Acc: 37.109%
Epoch 18 | Train Loss: 2.848 | Train Acc: 40.270%
Epoch 19 | Train Loss: 2.812 | Train Acc: 41.140%
Epoch 20 | Train Loss: 2.849 | Train Acc: 40.829%
Epoch 21 | Train Loss: 2.781 | Train Acc: 42.063%
Epoch 22 | Train Loss: 2.790 | Train Acc: 41.927%
Epoch 23 | Train Loss: 2.771 | Train Acc: 42.376%
Epoch 24 | Train Loss: 2.790 | Train Acc: 42.380%
Epoch 25 | Train Loss: 2.703 | Train Acc: 44.665%
Epoch 26 | Train Loss: 2.699 | Train Acc: 44.906%
Epoch 27 | Train Loss: 2.679 | Train Acc: 45.092%
Epoch 28 | Train Loss: 2.687 | Train Acc: 45.190%
Epoch 29 | Train Loss: 2.698 | Train Acc: 45.004%
Epoch 30 | Train Loss: 2.663 | Train Acc: 45.657%
Epoch 31 | Train Loss: 2.663 | Train Acc: 45.819%
Epoch 32 | Train Loss: 2.611 | Train Acc: 47.328%
Epoch 33 | Train Loss: 2.627 | Train Acc: 46.655%
Epoch 34 | Train Loss: 2.606 | Train Acc: 47.246%
Epoch 35 | Train Loss: 2.607 | Train Acc: 47.071%
Epoch 36 | Train Loss: 2.610 | Train Acc: 47.264%
Epoch 37 | Train Loss: 2.520 | Train Acc: 49.465%
Epoch 38 | Train Loss: 2.574 | Train Acc: 48.367%
Epoch 39 | Train Loss: 2.502 | Train Acc: 50.146%
Epoch 40 | Train Loss: 2.522 | Train Acc: 49.790%
