Epoch 0 | Train Loss: 4.468 | Train Acc: 3.229%
Epoch 1 | Train Loss: 4.283 | Train Acc: 5.940%
Epoch 2 | Train Loss: 4.135 | Train Acc: 8.946%
Epoch 3 | Train Loss: 3.989 | Train Acc: 11.869%
Epoch 4 | Train Loss: 3.799 | Train Acc: 15.437%
Epoch 5 | Train Loss: 3.659 | Train Acc: 18.894%
Epoch 6 | Train Loss: 3.506 | Train Acc: 22.640%
Epoch 7 | Train Loss: 3.383 | Train Acc: 25.435%
Epoch 8 | Train Loss: 3.270 | Train Acc: 28.486%
Epoch 9 | Train Loss: 3.216 | Train Acc: 30.036%
Epoch 10 | Train Loss: 3.149 | Train Acc: 31.679%
Epoch 11 | Train Loss: 3.061 | Train Acc: 34.215%
Epoch 12 | Train Loss: 3.035 | Train Acc: 34.894%
Epoch 13 | Train Loss: 2.919 | Train Acc: 38.113%
Epoch 14 | Train Loss: 2.931 | Train Acc: 37.917%
Epoch 15 | Train Loss: 2.837 | Train Acc: 40.168%
Epoch 16 | Train Loss: 2.836 | Train Acc: 40.357%
Epoch 17 | Train Loss: 2.873 | Train Acc: 39.685%
Epoch 18 | Train Loss: 2.747 | Train Acc: 42.600%
Epoch 19 | Train Loss: 2.709 | Train Acc: 43.816%
Epoch 20 | Train Loss: 2.753 | Train Acc: 43.017%
Epoch 21 | Train Loss: 2.684 | Train Acc: 44.587%
Epoch 22 | Train Loss: 2.697 | Train Acc: 44.179%
Epoch 23 | Train Loss: 2.679 | Train Acc: 44.962%
Epoch 24 | Train Loss: 2.698 | Train Acc: 44.237%
Epoch 25 | Train Loss: 2.617 | Train Acc: 46.657%
Epoch 26 | Train Loss: 2.606 | Train Acc: 47.023%
Epoch 27 | Train Loss: 2.591 | Train Acc: 47.238%
Epoch 28 | Train Loss: 2.598 | Train Acc: 47.175%
Epoch 29 | Train Loss: 2.608 | Train Acc: 47.145%
Epoch 30 | Train Loss: 2.578 | Train Acc: 47.939%
Epoch 31 | Train Loss: 2.584 | Train Acc: 47.792%
Epoch 32 | Train Loss: 2.521 | Train Acc: 49.710%
Epoch 33 | Train Loss: 2.530 | Train Acc: 49.287%
Epoch 34 | Train Loss: 2.521 | Train Acc: 49.577%
Epoch 35 | Train Loss: 2.518 | Train Acc: 49.329%
Epoch 36 | Train Loss: 2.517 | Train Acc: 49.886%
Epoch 37 | Train Loss: 2.428 | Train Acc: 51.799%
Epoch 38 | Train Loss: 2.490 | Train Acc: 50.455%
Epoch 39 | Train Loss: 2.406 | Train Acc: 52.821%
Epoch 40 | Train Loss: 2.428 | Train Acc: 52.786%
Epoch 41 | Train Loss: 2.476 | Train Acc: 50.929%
Epoch 42 | Train Loss: 2.379 | Train Acc: 53.393%
Epoch 43 | Train Loss: 2.360 | Train Acc: 54.157%
Epoch 44 | Train Loss: 2.389 | Train Acc: 53.387%
Epoch 45 | Train Loss: 2.358 | Train Acc: 54.093%
Epoch 46 | Train Loss: 2.352 | Train Acc: 54.255%
Epoch 47 | Train Loss: 2.362 | Train Acc: 54.373%
Epoch 48 | Train Loss: 2.370 | Train Acc: 54.044%
Epoch 49 | Train Loss: 2.331 | Train Acc: 54.974%
Epoch 50 | Train Loss: 2.295 | Train Acc: 55.976%
Epoch 51 | Train Loss: 2.308 | Train Acc: 55.585%
Epoch 52 | Train Loss: 2.339 | Train Acc: 55.184%
Epoch 53 | Train Loss: 2.314 | Train Acc: 55.673%
Epoch 54 | Train Loss: 2.263 | Train Acc: 57.057%
Epoch 55 | Train Loss: 2.350 | Train Acc: 54.856%
Epoch 56 | Train Loss: 2.326 | Train Acc: 55.363%
Epoch 57 | Train Loss: 2.266 | Train Acc: 56.957%
Epoch 58 | Train Loss: 2.263 | Train Acc: 56.983%
Epoch 59 | Train Loss: 2.233 | Train Acc: 58.077%
Epoch 60 | Train Loss: 2.236 | Train Acc: 57.821%
Epoch 61 | Train Loss: 2.314 | Train Acc: 55.982%
Epoch 62 | Train Loss: 2.248 | Train Acc: 57.552%
Epoch 63 | Train Loss: 2.217 | Train Acc: 58.227%
Epoch 64 | Train Loss: 2.260 | Train Acc: 57.560%
Epoch 65 | Train Loss: 2.218 | Train Acc: 58.321%
Epoch 66 | Train Loss: 2.188 | Train Acc: 59.179%
Epoch 67 | Train Loss: 2.159 | Train Acc: 60.066%
Epoch 68 | Train Loss: 2.219 | Train Acc: 58.516%
Epoch 69 | Train Loss: 2.207 | Train Acc: 58.520%
Epoch 70 | Train Loss: 2.166 | Train Acc: 59.736%
Epoch 71 | Train Loss: 2.210 | Train Acc: 58.756%
Epoch 72 | Train Loss: 2.223 | Train Acc: 58.552%
Epoch 73 | Train Loss: 2.155 | Train Acc: 60.355%
Epoch 74 | Train Loss: 2.114 | Train Acc: 61.288%
Epoch 75 | Train Loss: 2.215 | Train Acc: 58.656%
Epoch 76 | Train Loss: 2.116 | Train Acc: 61.168%
Epoch 77 | Train Loss: 2.210 | Train Acc: 58.678%
Epoch 78 | Train Loss: 2.104 | Train Acc: 61.466%
Epoch 79 | Train Loss: 2.115 | Train Acc: 61.206%
Epoch 80 | Train Loss: 2.133 | Train Acc: 60.923%
Epoch 81 | Train Loss: 2.140 | Train Acc: 60.954%
Epoch 82 | Train Loss: 2.140 | Train Acc: 61.012%
Epoch 83 | Train Loss: 2.133 | Train Acc: 60.964%
Epoch 84 | Train Loss: 2.137 | Train Acc: 60.705%
Epoch 85 | Train Loss: 2.151 | Train Acc: 60.679%
Epoch 86 | Train Loss: 2.098 | Train Acc: 62.057%
Epoch 87 | Train Loss: 2.103 | Train Acc: 61.835%
Epoch 88 | Train Loss: 2.105 | Train Acc: 61.711%
Epoch 89 | Train Loss: 2.137 | Train Acc: 60.763%
Epoch 90 | Train Loss: 2.097 | Train Acc: 61.711%
Epoch 91 | Train Loss: 2.081 | Train Acc: 62.566%
Epoch 92 | Train Loss: 2.086 | Train Acc: 62.308%
Epoch 93 | Train Loss: 2.095 | Train Acc: 62.097%
Epoch 94 | Train Loss: 2.118 | Train Acc: 61.753%
Epoch 95 | Train Loss: 2.066 | Train Acc: 62.979%
Epoch 96 | Train Loss: 2.165 | Train Acc: 60.483%
Epoch 97 | Train Loss: 2.033 | Train Acc: 63.676%
Epoch 98 | Train Loss: 2.060 | Train Acc: 63.143%
Epoch 99 | Train Loss: 2.097 | Train Acc: 62.646%
Epoch 100 | Train Loss: 2.087 | Train Acc: 62.546%
Epoch 101 | Train Loss: 1.982 | Train Acc: 65.212%
Epoch 102 | Train Loss: 2.031 | Train Acc: 64.032%
Epoch 103 | Train Loss: 2.004 | Train Acc: 64.736%
Epoch 104 | Train Loss: 2.032 | Train Acc: 64.205%
Epoch 105 | Train Loss: 1.981 | Train Acc: 65.383%
Epoch 106 | Train Loss: 1.962 | Train Acc: 65.958%
Epoch 107 | Train Loss: 2.001 | Train Acc: 64.828%
Epoch 108 | Train Loss: 2.045 | Train Acc: 63.696%
Epoch 109 | Train Loss: 1.978 | Train Acc: 65.477%
Epoch 110 | Train Loss: 2.000 | Train Acc: 64.828%
Epoch 111 | Train Loss: 2.034 | Train Acc: 64.058%
Epoch 112 | Train Loss: 2.003 | Train Acc: 65.072%
Epoch 113 | Train Loss: 2.019 | Train Acc: 64.607%
Epoch 114 | Train Loss: 1.998 | Train Acc: 64.830%
Epoch 115 | Train Loss: 2.022 | Train Acc: 64.515%
Epoch 116 | Train Loss: 2.022 | Train Acc: 64.439%
Epoch 117 | Train Loss: 1.966 | Train Acc: 65.921%
Epoch 118 | Train Loss: 2.090 | Train Acc: 62.688%
Epoch 119 | Train Loss: 1.968 | Train Acc: 65.911%
Epoch 120 | Train Loss: 1.963 | Train Acc: 66.070%
Epoch 121 | Train Loss: 1.964 | Train Acc: 66.308%
Epoch 122 | Train Loss: 2.023 | Train Acc: 64.551%
Epoch 123 | Train Loss: 1.955 | Train Acc: 66.438%
Epoch 124 | Train Loss: 2.014 | Train Acc: 64.888%
Epoch 125 | Train Loss: 1.972 | Train Acc: 65.777%
Epoch 126 | Train Loss: 1.977 | Train Acc: 65.843%
Epoch 127 | Train Loss: 1.968 | Train Acc: 66.026%
Epoch 128 | Train Loss: 1.955 | Train Acc: 66.524%
Epoch 129 | Train Loss: 1.939 | Train Acc: 66.875%
Epoch 130 | Train Loss: 1.866 | Train Acc: 68.744%
Epoch 131 | Train Loss: 1.950 | Train Acc: 66.585%
Epoch 132 | Train Loss: 1.992 | Train Acc: 65.298%
Epoch 133 | Train Loss: 1.957 | Train Acc: 66.278%
Epoch 134 | Train Loss: 2.013 | Train Acc: 64.980%
Epoch 135 | Train Loss: 1.880 | Train Acc: 68.435%
Epoch 136 | Train Loss: 1.976 | Train Acc: 66.012%
Epoch 137 | Train Loss: 1.923 | Train Acc: 67.482%
Epoch 138 | Train Loss: 1.927 | Train Acc: 67.292%
Epoch 139 | Train Loss: 1.932 | Train Acc: 67.151%
Epoch 140 | Train Loss: 1.907 | Train Acc: 68.241%
Epoch 141 | Train Loss: 1.905 | Train Acc: 67.662%
Epoch 142 | Train Loss: 1.959 | Train Acc: 66.248%
Epoch 143 | Train Loss: 1.898 | Train Acc: 68.033%
Epoch 144 | Train Loss: 1.843 | Train Acc: 69.742%
Epoch 145 | Train Loss: 1.899 | Train Acc: 68.315%
Epoch 146 | Train Loss: 1.926 | Train Acc: 67.634%
Epoch 147 | Train Loss: 1.945 | Train Acc: 66.831%
Epoch 148 | Train Loss: 1.828 | Train Acc: 70.282%
Epoch 149 | Train Loss: 1.918 | Train Acc: 67.578%
Epoch 150 | Train Loss: 1.868 | Train Acc: 69.046%
Epoch 151 | Train Loss: 1.874 | Train Acc: 68.974%
Epoch 152 | Train Loss: 1.889 | Train Acc: 68.353%
Epoch 153 | Train Loss: 1.879 | Train Acc: 68.712%
Epoch 154 | Train Loss: 1.882 | Train Acc: 68.680%
Epoch 155 | Train Loss: 1.907 | Train Acc: 67.909%
Epoch 156 | Train Loss: 1.915 | Train Acc: 67.802%
Epoch 157 | Train Loss: 1.851 | Train Acc: 69.421%
Epoch 158 | Train Loss: 1.839 | Train Acc: 69.830%
Epoch 159 | Train Loss: 1.868 | Train Acc: 69.287%
Epoch 160 | Train Loss: 1.892 | Train Acc: 68.898%
Epoch 161 | Train Loss: 1.849 | Train Acc: 69.527%
Epoch 162 | Train Loss: 1.818 | Train Acc: 70.479%
Epoch 163 | Train Loss: 1.873 | Train Acc: 68.728%
Epoch 164 | Train Loss: 1.861 | Train Acc: 69.121%
Epoch 165 | Train Loss: 1.847 | Train Acc: 69.587%
Epoch 166 | Train Loss: 1.821 | Train Acc: 70.749%
Epoch 167 | Train Loss: 1.831 | Train Acc: 70.180%
Epoch 168 | Train Loss: 1.832 | Train Acc: 70.276%
Epoch 169 | Train Loss: 1.896 | Train Acc: 68.239%
Epoch 170 | Train Loss: 1.795 | Train Acc: 71.090%
Epoch 171 | Train Loss: 1.874 | Train Acc: 68.958%
Epoch 172 | Train Loss: 1.815 | Train Acc: 70.877%
Epoch 173 | Train Loss: 1.786 | Train Acc: 71.765%
Epoch 174 | Train Loss: 1.812 | Train Acc: 70.721%
Epoch 175 | Train Loss: 1.843 | Train Acc: 69.864%
Epoch 176 | Train Loss: 1.823 | Train Acc: 70.671%
Epoch 177 | Train Loss: 1.780 | Train Acc: 71.859%
Epoch 178 | Train Loss: 1.814 | Train Acc: 70.803%
Epoch 179 | Train Loss: 1.785 | Train Acc: 71.669%
Epoch 180 | Train Loss: 1.812 | Train Acc: 71.082%
Epoch 181 | Train Loss: 1.748 | Train Acc: 72.726%
Epoch 182 | Train Loss: 1.825 | Train Acc: 70.272%
Epoch 183 | Train Loss: 1.753 | Train Acc: 72.704%
Epoch 184 | Train Loss: 1.798 | Train Acc: 71.142%
Epoch 185 | Train Loss: 1.763 | Train Acc: 72.376%
Epoch 186 | Train Loss: 1.726 | Train Acc: 73.379%
Epoch 187 | Train Loss: 1.829 | Train Acc: 70.615%
Epoch 188 | Train Loss: 1.755 | Train Acc: 72.568%
Epoch 189 | Train Loss: 1.798 | Train Acc: 71.224%
Epoch 190 | Train Loss: 1.757 | Train Acc: 72.304%
Epoch 191 | Train Loss: 1.822 | Train Acc: 70.863%
Epoch 192 | Train Loss: 1.829 | Train Acc: 70.703%
Epoch 193 | Train Loss: 1.807 | Train Acc: 70.990%
Epoch 194 | Train Loss: 1.775 | Train Acc: 72.055%
Epoch 195 | Train Loss: 1.711 | Train Acc: 73.574%
Epoch 196 | Train Loss: 1.741 | Train Acc: 72.790%
Epoch 197 | Train Loss: 1.737 | Train Acc: 72.883%
Epoch 198 | Train Loss: 1.762 | Train Acc: 72.462%
Epoch 199 | Train Loss: 1.754 | Train Acc: 72.718%
Epoch 200 | Train Loss: 1.707 | Train Acc: 73.934%
Epoch 201 | Train Loss: 1.782 | Train Acc: 71.703%
Epoch 202 | Train Loss: 1.755 | Train Acc: 72.810%
Epoch 203 | Train Loss: 1.706 | Train Acc: 73.752%
Epoch 204 | Train Loss: 1.786 | Train Acc: 72.045%
Epoch 205 | Train Loss: 1.746 | Train Acc: 72.973%
Epoch 206 | Train Loss: 1.751 | Train Acc: 72.951%
Epoch 207 | Train Loss: 1.759 | Train Acc: 72.568%
Epoch 208 | Train Loss: 1.690 | Train Acc: 74.563%
Epoch 209 | Train Loss: 1.704 | Train Acc: 74.303%
Epoch 210 | Train Loss: 1.695 | Train Acc: 74.517%
Epoch 211 | Train Loss: 1.666 | Train Acc: 75.333%
Epoch 212 | Train Loss: 1.706 | Train Acc: 74.127%
Epoch 213 | Train Loss: 1.770 | Train Acc: 72.350%
Epoch 214 | Train Loss: 1.739 | Train Acc: 73.237%
Epoch 215 | Train Loss: 1.712 | Train Acc: 73.814%
Epoch 216 | Train Loss: 1.745 | Train Acc: 72.925%
Epoch 217 | Train Loss: 1.647 | Train Acc: 75.785%
Epoch 218 | Train Loss: 1.715 | Train Acc: 73.722%
Epoch 219 | Train Loss: 1.733 | Train Acc: 73.572%
Epoch 220 | Train Loss: 1.711 | Train Acc: 73.776%
Epoch 221 | Train Loss: 1.705 | Train Acc: 74.040%
Epoch 222 | Train Loss: 1.678 | Train Acc: 74.984%
Epoch 223 | Train Loss: 1.677 | Train Acc: 75.046%
Epoch 224 | Train Loss: 1.655 | Train Acc: 75.513%
Epoch 225 | Train Loss: 1.673 | Train Acc: 75.112%
Epoch 226 | Train Loss: 1.694 | Train Acc: 74.776%
Epoch 227 | Train Loss: 1.726 | Train Acc: 73.704%
Epoch 228 | Train Loss: 1.693 | Train Acc: 74.473%
Epoch 229 | Train Loss: 1.742 | Train Acc: 73.219%
Epoch 230 | Train Loss: 1.703 | Train Acc: 74.473%
Epoch 231 | Train Loss: 1.653 | Train Acc: 75.699%
Epoch 232 | Train Loss: 1.679 | Train Acc: 74.838%
Epoch 233 | Train Loss: 1.683 | Train Acc: 74.866%
Epoch 234 | Train Loss: 1.713 | Train Acc: 74.085%
Epoch 235 | Train Loss: 1.655 | Train Acc: 75.481%
Epoch 236 | Train Loss: 1.720 | Train Acc: 73.574%
Epoch 237 | Train Loss: 1.659 | Train Acc: 75.639%
Epoch 238 | Train Loss: 1.626 | Train Acc: 76.542%
Epoch 239 | Train Loss: 1.675 | Train Acc: 75.108%
Epoch 240 | Train Loss: 1.662 | Train Acc: 75.369%
Epoch 241 | Train Loss: 1.713 | Train Acc: 73.960%
Epoch 242 | Train Loss: 1.657 | Train Acc: 75.715%
Epoch 243 | Train Loss: 1.637 | Train Acc: 76.066%
Epoch 244 | Train Loss: 1.639 | Train Acc: 76.228%
Epoch 245 | Train Loss: 1.635 | Train Acc: 76.224%
Epoch 246 | Train Loss: 1.613 | Train Acc: 76.977%
Epoch 247 | Train Loss: 1.646 | Train Acc: 75.948%
Epoch 248 | Train Loss: 1.662 | Train Acc: 75.527%
Epoch 249 | Train Loss: 1.589 | Train Acc: 77.514%
Epoch 250 | Train Loss: 1.640 | Train Acc: 76.174%
Epoch 251 | Train Loss: 1.645 | Train Acc: 76.078%
Epoch 252 | Train Loss: 1.619 | Train Acc: 76.657%
Epoch 253 | Train Loss: 1.681 | Train Acc: 74.792%
Epoch 254 | Train Loss: 1.577 | Train Acc: 77.981%
Epoch 255 | Train Loss: 1.634 | Train Acc: 76.380%
Epoch 256 | Train Loss: 1.613 | Train Acc: 77.043%
Epoch 257 | Train Loss: 1.595 | Train Acc: 77.478%
Epoch 258 | Train Loss: 1.634 | Train Acc: 76.090%
Epoch 259 | Train Loss: 1.658 | Train Acc: 75.819%
Epoch 260 | Train Loss: 1.600 | Train Acc: 77.356%
Epoch 261 | Train Loss: 1.597 | Train Acc: 77.414%
Epoch 262 | Train Loss: 1.616 | Train Acc: 76.725%
Epoch 263 | Train Loss: 1.639 | Train Acc: 76.320%
Epoch 264 | Train Loss: 1.610 | Train Acc: 76.893%
Epoch 265 | Train Loss: 1.632 | Train Acc: 76.206%
Epoch 266 | Train Loss: 1.553 | Train Acc: 78.636%
Epoch 267 | Train Loss: 1.605 | Train Acc: 77.101%
Epoch 268 | Train Loss: 1.608 | Train Acc: 77.210%
Epoch 269 | Train Loss: 1.594 | Train Acc: 77.378%
Epoch 270 | Train Loss: 1.603 | Train Acc: 77.396%
Epoch 271 | Train Loss: 1.599 | Train Acc: 77.520%
Epoch 272 | Train Loss: 1.589 | Train Acc: 77.718%
Epoch 273 | Train Loss: 1.580 | Train Acc: 77.977%
Epoch 274 | Train Loss: 1.645 | Train Acc: 76.000%
Epoch 275 | Train Loss: 1.601 | Train Acc: 77.348%
Epoch 276 | Train Loss: 1.598 | Train Acc: 77.282%
Epoch 277 | Train Loss: 1.704 | Train Acc: 74.475%
Epoch 278 | Train Loss: 1.632 | Train Acc: 76.516%
Epoch 279 | Train Loss: 1.645 | Train Acc: 76.108%
Epoch 280 | Train Loss: 1.066 | Train Acc: 93.373%
Epoch 281 | Train Loss: 1.056 | Train Acc: 93.624%
Epoch 282 | Train Loss: 1.055 | Train Acc: 93.720%
Epoch 283 | Train Loss: 1.050 | Train Acc: 93.916%
Epoch 284 | Train Loss: 1.049 | Train Acc: 93.810%
Epoch 285 | Train Loss: 1.045 | Train Acc: 94.006%
Epoch 286 | Train Loss: 1.044 | Train Acc: 94.014%
Epoch 287 | Train Loss: 1.041 | Train Acc: 94.044%
Epoch 288 | Train Loss: 1.039 | Train Acc: 94.131%
Epoch 289 | Train Loss: 1.035 | Train Acc: 94.277%
Epoch 290 | Train Loss: 1.042 | Train Acc: 94.000%
Epoch 291 | Train Loss: 1.036 | Train Acc: 94.237%
Epoch 292 | Train Loss: 1.033 | Train Acc: 94.253%
Epoch 293 | Train Loss: 1.030 | Train Acc: 94.263%
Epoch 294 | Train Loss: 1.037 | Train Acc: 94.097%
Epoch 295 | Train Loss: 1.034 | Train Acc: 94.195%
Epoch 296 | Train Loss: 1.032 | Train Acc: 94.339%
Epoch 297 | Train Loss: 1.031 | Train Acc: 94.275%
