Epoch 0 | Train Loss: 4.562 | Train Acc: 2.874%
Epoch 1 | Train Loss: 4.368 | Train Acc: 5.798%
Epoch 2 | Train Loss: 4.237 | Train Acc: 7.917%
Epoch 3 | Train Loss: 4.144 | Train Acc: 9.710%
Epoch 4 | Train Loss: 4.065 | Train Acc: 11.159%
Epoch 5 | Train Loss: 3.996 | Train Acc: 12.566%
Epoch 6 | Train Loss: 3.898 | Train Acc: 14.612%
Epoch 7 | Train Loss: 3.799 | Train Acc: 16.759%
Epoch 8 | Train Loss: 3.707 | Train Acc: 18.835%
Epoch 9 | Train Loss: 3.629 | Train Acc: 20.682%
Epoch 10 | Train Loss: 3.548 | Train Acc: 22.518%
Epoch 11 | Train Loss: 3.478 | Train Acc: 24.076%
Epoch 12 | Train Loss: 3.414 | Train Acc: 25.515%
Epoch 13 | Train Loss: 3.355 | Train Acc: 27.158%
Epoch 14 | Train Loss: 3.298 | Train Acc: 28.561%
Epoch 15 | Train Loss: 3.246 | Train Acc: 29.748%
Epoch 16 | Train Loss: 3.194 | Train Acc: 31.153%
Epoch 17 | Train Loss: 3.150 | Train Acc: 32.120%
Epoch 18 | Train Loss: 3.112 | Train Acc: 33.177%
Epoch 19 | Train Loss: 3.070 | Train Acc: 34.210%
Epoch 20 | Train Loss: 3.025 | Train Acc: 35.357%
Epoch 21 | Train Loss: 2.993 | Train Acc: 36.256%
Epoch 22 | Train Loss: 2.955 | Train Acc: 37.107%
Epoch 23 | Train Loss: 2.923 | Train Acc: 37.978%
Epoch 24 | Train Loss: 2.892 | Train Acc: 38.726%
Epoch 25 | Train Loss: 2.862 | Train Acc: 39.548%
Epoch 26 | Train Loss: 2.830 | Train Acc: 40.396%
Epoch 27 | Train Loss: 2.800 | Train Acc: 41.173%
Epoch 28 | Train Loss: 2.781 | Train Acc: 41.796%
Epoch 29 | Train Loss: 2.748 | Train Acc: 42.481%
Epoch 30 | Train Loss: 2.722 | Train Acc: 43.237%
Epoch 31 | Train Loss: 2.698 | Train Acc: 43.893%
Epoch 32 | Train Loss: 2.666 | Train Acc: 44.688%
Epoch 33 | Train Loss: 2.647 | Train Acc: 45.299%
Epoch 34 | Train Loss: 2.624 | Train Acc: 46.008%
Epoch 35 | Train Loss: 2.600 | Train Acc: 46.606%
Epoch 36 | Train Loss: 2.575 | Train Acc: 47.214%
Epoch 37 | Train Loss: 2.556 | Train Acc: 47.816%
Epoch 38 | Train Loss: 2.540 | Train Acc: 48.243%
Epoch 39 | Train Loss: 2.511 | Train Acc: 48.950%
Epoch 40 | Train Loss: 2.487 | Train Acc: 49.688%
Epoch 41 | Train Loss: 2.474 | Train Acc: 50.081%
Epoch 42 | Train Loss: 2.451 | Train Acc: 50.611%
Epoch 43 | Train Loss: 2.430 | Train Acc: 51.186%
Epoch 44 | Train Loss: 2.407 | Train Acc: 51.786%
Epoch 45 | Train Loss: 2.393 | Train Acc: 52.406%
Epoch 46 | Train Loss: 2.373 | Train Acc: 52.721%
Epoch 47 | Train Loss: 2.346 | Train Acc: 53.531%
Epoch 48 | Train Loss: 2.334 | Train Acc: 53.810%
Epoch 49 | Train Loss: 2.315 | Train Acc: 54.566%
Epoch 50 | Train Loss: 2.303 | Train Acc: 54.945%
Epoch 51 | Train Loss: 2.275 | Train Acc: 55.749%
Epoch 52 | Train Loss: 2.256 | Train Acc: 56.174%
Epoch 53 | Train Loss: 2.236 | Train Acc: 56.778%
Epoch 54 | Train Loss: 2.224 | Train Acc: 57.230%
Epoch 55 | Train Loss: 2.202 | Train Acc: 57.746%
Epoch 56 | Train Loss: 2.196 | Train Acc: 58.002%
Epoch 57 | Train Loss: 2.173 | Train Acc: 58.587%
Epoch 58 | Train Loss: 2.160 | Train Acc: 59.119%
Epoch 59 | Train Loss: 2.139 | Train Acc: 59.671%
Epoch 60 | Train Loss: 2.126 | Train Acc: 60.093%
Epoch 61 | Train Loss: 2.112 | Train Acc: 60.545%
Epoch 62 | Train Loss: 2.098 | Train Acc: 60.899%
Epoch 63 | Train Loss: 2.089 | Train Acc: 61.272%
Epoch 64 | Train Loss: 2.072 | Train Acc: 61.793%
Epoch 65 | Train Loss: 2.051 | Train Acc: 62.319%
Epoch 66 | Train Loss: 2.043 | Train Acc: 62.742%
Epoch 67 | Train Loss: 2.028 | Train Acc: 63.096%
Epoch 68 | Train Loss: 2.020 | Train Acc: 63.397%
Epoch 69 | Train Loss: 2.005 | Train Acc: 63.798%
Epoch 70 | Train Loss: 1.992 | Train Acc: 64.195%
Epoch 71 | Train Loss: 1.981 | Train Acc: 64.586%
Epoch 72 | Train Loss: 1.966 | Train Acc: 64.902%
Epoch 73 | Train Loss: 1.960 | Train Acc: 65.088%
Epoch 74 | Train Loss: 1.951 | Train Acc: 65.567%
Epoch 75 | Train Loss: 1.946 | Train Acc: 65.592%
Epoch 76 | Train Loss: 1.932 | Train Acc: 66.015%
Epoch 77 | Train Loss: 1.926 | Train Acc: 66.325%
Epoch 78 | Train Loss: 1.919 | Train Acc: 66.459%
Epoch 79 | Train Loss: 1.914 | Train Acc: 66.566%
Epoch 80 | Train Loss: 1.909 | Train Acc: 66.770%
Epoch 81 | Train Loss: 1.901 | Train Acc: 67.134%
Epoch 82 | Train Loss: 1.892 | Train Acc: 67.375%
Epoch 83 | Train Loss: 1.890 | Train Acc: 67.424%
