Epoch 0 | Train Loss: 4.514 | Train Acc: 3.703%
Epoch 1 | Train Loss: 4.280 | Train Acc: 7.172%
Epoch 2 | Train Loss: 4.092 | Train Acc: 10.317%
Epoch 3 | Train Loss: 3.985 | Train Acc: 12.618%
Epoch 4 | Train Loss: 3.926 | Train Acc: 13.938%
Epoch 5 | Train Loss: 3.887 | Train Acc: 14.824%
Epoch 6 | Train Loss: 3.810 | Train Acc: 16.499%
Epoch 7 | Train Loss: 3.731 | Train Acc: 18.271%
Epoch 8 | Train Loss: 3.666 | Train Acc: 19.609%
Epoch 9 | Train Loss: 3.602 | Train Acc: 21.040%
Epoch 10 | Train Loss: 3.547 | Train Acc: 22.463%
Epoch 11 | Train Loss: 3.497 | Train Acc: 23.602%
Epoch 12 | Train Loss: 3.452 | Train Acc: 24.592%
Epoch 13 | Train Loss: 3.407 | Train Acc: 25.559%
Epoch 14 | Train Loss: 3.368 | Train Acc: 26.680%
Epoch 15 | Train Loss: 3.329 | Train Acc: 27.433%
Epoch 16 | Train Loss: 3.296 | Train Acc: 28.240%
Epoch 17 | Train Loss: 3.264 | Train Acc: 29.150%
Epoch 18 | Train Loss: 3.236 | Train Acc: 29.757%
Epoch 19 | Train Loss: 3.209 | Train Acc: 30.130%
Epoch 20 | Train Loss: 3.184 | Train Acc: 30.964%
Epoch 21 | Train Loss: 3.161 | Train Acc: 31.498%
Epoch 22 | Train Loss: 3.129 | Train Acc: 32.485%
Epoch 23 | Train Loss: 3.105 | Train Acc: 32.879%
Epoch 24 | Train Loss: 3.083 | Train Acc: 33.639%
Epoch 25 | Train Loss: 3.054 | Train Acc: 34.342%
Epoch 26 | Train Loss: 3.029 | Train Acc: 35.013%
Epoch 27 | Train Loss: 3.014 | Train Acc: 35.253%
Epoch 28 | Train Loss: 2.994 | Train Acc: 35.946%
Epoch 29 | Train Loss: 2.974 | Train Acc: 36.381%
Epoch 30 | Train Loss: 2.960 | Train Acc: 36.648%
Epoch 31 | Train Loss: 2.929 | Train Acc: 37.438%
Epoch 32 | Train Loss: 2.919 | Train Acc: 37.717%
Epoch 33 | Train Loss: 2.893 | Train Acc: 38.312%
Epoch 34 | Train Loss: 2.876 | Train Acc: 38.803%
Epoch 35 | Train Loss: 2.864 | Train Acc: 39.341%
Epoch 36 | Train Loss: 2.846 | Train Acc: 39.578%
Epoch 37 | Train Loss: 2.824 | Train Acc: 40.076%
Epoch 38 | Train Loss: 2.809 | Train Acc: 40.586%
Epoch 39 | Train Loss: 2.793 | Train Acc: 41.074%
Epoch 40 | Train Loss: 2.775 | Train Acc: 41.433%
Epoch 41 | Train Loss: 2.757 | Train Acc: 41.926%
Epoch 42 | Train Loss: 2.744 | Train Acc: 42.387%
Epoch 43 | Train Loss: 2.729 | Train Acc: 42.594%
Epoch 44 | Train Loss: 2.714 | Train Acc: 42.977%
Epoch 45 | Train Loss: 2.698 | Train Acc: 43.413%
Epoch 46 | Train Loss: 2.671 | Train Acc: 44.100%
Epoch 47 | Train Loss: 2.665 | Train Acc: 44.349%
Epoch 48 | Train Loss: 2.653 | Train Acc: 44.675%
Epoch 49 | Train Loss: 2.637 | Train Acc: 45.084%
Epoch 50 | Train Loss: 2.623 | Train Acc: 45.631%
Epoch 51 | Train Loss: 2.600 | Train Acc: 46.145%
