Epoch 0 | Train Loss: 4.714 | Train Acc: 1.111%
Epoch 1 | Train Loss: 4.309 | Train Acc: 6.624%
Epoch 2 | Train Loss: 4.019 | Train Acc: 11.802%
Epoch 3 | Train Loss: 3.838 | Train Acc: 15.450%
Epoch 4 | Train Loss: 3.699 | Train Acc: 18.522%
Epoch 5 | Train Loss: 3.584 | Train Acc: 21.140%
Epoch 6 | Train Loss: 3.453 | Train Acc: 24.346%
Epoch 7 | Train Loss: 3.361 | Train Acc: 26.397%
Epoch 8 | Train Loss: 3.274 | Train Acc: 28.454%
Epoch 9 | Train Loss: 3.197 | Train Acc: 30.285%
Epoch 10 | Train Loss: 3.136 | Train Acc: 31.899%
Epoch 11 | Train Loss: 3.077 | Train Acc: 33.456%
Epoch 12 | Train Loss: 3.019 | Train Acc: 35.016%
Epoch 13 | Train Loss: 2.967 | Train Acc: 36.400%
Epoch 14 | Train Loss: 2.923 | Train Acc: 37.489%
Epoch 15 | Train Loss: 2.876 | Train Acc: 38.608%
Epoch 16 | Train Loss: 2.838 | Train Acc: 39.515%
Epoch 17 | Train Loss: 2.813 | Train Acc: 40.366%
Epoch 18 | Train Loss: 2.778 | Train Acc: 41.162%
Epoch 19 | Train Loss: 2.747 | Train Acc: 42.071%
Epoch 20 | Train Loss: 2.716 | Train Acc: 42.899%
Epoch 21 | Train Loss: 2.689 | Train Acc: 43.518%
Epoch 22 | Train Loss: 2.656 | Train Acc: 44.532%
Epoch 23 | Train Loss: 2.644 | Train Acc: 44.785%
Epoch 24 | Train Loss: 2.616 | Train Acc: 45.744%
Epoch 25 | Train Loss: 2.596 | Train Acc: 46.140%
Epoch 26 | Train Loss: 2.570 | Train Acc: 46.803%
Epoch 27 | Train Loss: 2.556 | Train Acc: 47.200%
Epoch 28 | Train Loss: 2.537 | Train Acc: 47.672%
Epoch 29 | Train Loss: 2.514 | Train Acc: 48.366%
Epoch 30 | Train Loss: 2.502 | Train Acc: 48.674%
Epoch 31 | Train Loss: 2.486 | Train Acc: 49.187%
Epoch 32 | Train Loss: 2.468 | Train Acc: 49.701%
Epoch 33 | Train Loss: 2.447 | Train Acc: 50.325%
Epoch 34 | Train Loss: 2.434 | Train Acc: 50.402%
Epoch 35 | Train Loss: 2.419 | Train Acc: 50.885%
Epoch 36 | Train Loss: 2.400 | Train Acc: 51.441%
Epoch 37 | Train Loss: 2.391 | Train Acc: 51.749%
Epoch 38 | Train Loss: 2.375 | Train Acc: 52.111%
Epoch 39 | Train Loss: 2.368 | Train Acc: 52.349%
Epoch 40 | Train Loss: 2.350 | Train Acc: 52.697%
Epoch 41 | Train Loss: 2.338 | Train Acc: 53.078%
Epoch 42 | Train Loss: 2.324 | Train Acc: 53.496%
Epoch 43 | Train Loss: 2.317 | Train Acc: 53.896%
Epoch 44 | Train Loss: 2.299 | Train Acc: 54.148%
Epoch 45 | Train Loss: 2.290 | Train Acc: 54.641%
Epoch 46 | Train Loss: 2.281 | Train Acc: 54.821%
Epoch 47 | Train Loss: 2.267 | Train Acc: 55.030%
Epoch 48 | Train Loss: 2.258 | Train Acc: 55.522%
Epoch 49 | Train Loss: 2.242 | Train Acc: 55.911%
Epoch 50 | Train Loss: 2.232 | Train Acc: 56.161%
Epoch 51 | Train Loss: 2.221 | Train Acc: 56.465%
Epoch 52 | Train Loss: 2.209 | Train Acc: 56.672%
Epoch 53 | Train Loss: 2.203 | Train Acc: 57.065%
Epoch 54 | Train Loss: 2.195 | Train Acc: 57.196%
Epoch 55 | Train Loss: 2.180 | Train Acc: 57.683%
Epoch 56 | Train Loss: 2.170 | Train Acc: 58.031%
Epoch 57 | Train Loss: 2.155 | Train Acc: 58.456%
Epoch 58 | Train Loss: 2.153 | Train Acc: 58.441%
Epoch 59 | Train Loss: 2.140 | Train Acc: 58.824%
