Epoch 0 | Train Loss: 4.608 | Train Acc: 2.307%
Epoch 1 | Train Loss: 4.436 | Train Acc: 5.134%
Epoch 2 | Train Loss: 4.302 | Train Acc: 7.319%
Epoch 3 | Train Loss: 4.154 | Train Acc: 9.606%
Epoch 4 | Train Loss: 3.988 | Train Acc: 12.704%
Epoch 5 | Train Loss: 3.837 | Train Acc: 15.537%
Epoch 6 | Train Loss: 3.679 | Train Acc: 18.829%
Epoch 7 | Train Loss: 3.549 | Train Acc: 21.823%
Epoch 8 | Train Loss: 3.432 | Train Acc: 24.776%
Epoch 9 | Train Loss: 3.334 | Train Acc: 26.981%
Epoch 10 | Train Loss: 3.235 | Train Acc: 29.355%
Epoch 11 | Train Loss: 3.147 | Train Acc: 31.596%
Epoch 12 | Train Loss: 3.076 | Train Acc: 33.433%
Epoch 13 | Train Loss: 3.013 | Train Acc: 35.039%
Epoch 14 | Train Loss: 2.947 | Train Acc: 36.706%
Epoch 15 | Train Loss: 2.895 | Train Acc: 38.104%
Epoch 16 | Train Loss: 2.845 | Train Acc: 39.360%
Epoch 17 | Train Loss: 2.799 | Train Acc: 40.656%
Epoch 18 | Train Loss: 2.751 | Train Acc: 41.877%
Epoch 19 | Train Loss: 2.712 | Train Acc: 43.016%
Epoch 20 | Train Loss: 2.668 | Train Acc: 44.312%
Epoch 21 | Train Loss: 2.633 | Train Acc: 45.166%
Epoch 22 | Train Loss: 2.600 | Train Acc: 45.877%
Epoch 23 | Train Loss: 2.564 | Train Acc: 46.955%
Epoch 24 | Train Loss: 2.534 | Train Acc: 47.828%
Epoch 25 | Train Loss: 2.504 | Train Acc: 48.654%
Epoch 26 | Train Loss: 2.463 | Train Acc: 49.720%
Epoch 27 | Train Loss: 2.439 | Train Acc: 50.367%
Epoch 28 | Train Loss: 2.404 | Train Acc: 51.355%
Epoch 29 | Train Loss: 2.371 | Train Acc: 52.326%
Epoch 30 | Train Loss: 2.346 | Train Acc: 52.972%
Epoch 31 | Train Loss: 2.312 | Train Acc: 53.792%
Epoch 32 | Train Loss: 2.287 | Train Acc: 54.752%
Epoch 33 | Train Loss: 2.267 | Train Acc: 55.283%
Epoch 34 | Train Loss: 2.237 | Train Acc: 56.036%
Epoch 35 | Train Loss: 2.214 | Train Acc: 56.660%
Epoch 36 | Train Loss: 2.183 | Train Acc: 57.631%
Epoch 37 | Train Loss: 2.166 | Train Acc: 58.033%
Epoch 38 | Train Loss: 2.144 | Train Acc: 58.739%
Epoch 39 | Train Loss: 2.117 | Train Acc: 59.571%
Epoch 40 | Train Loss: 2.102 | Train Acc: 60.009%
Epoch 41 | Train Loss: 2.083 | Train Acc: 60.714%
Epoch 42 | Train Loss: 2.063 | Train Acc: 61.069%
Epoch 43 | Train Loss: 2.043 | Train Acc: 61.637%
Epoch 44 | Train Loss: 2.021 | Train Acc: 62.404%
Epoch 45 | Train Loss: 1.998 | Train Acc: 63.052%
Epoch 46 | Train Loss: 1.985 | Train Acc: 63.337%
Epoch 47 | Train Loss: 1.966 | Train Acc: 64.050%
Epoch 48 | Train Loss: 1.944 | Train Acc: 64.647%
Epoch 49 | Train Loss: 1.932 | Train Acc: 64.984%
Epoch 50 | Train Loss: 1.915 | Train Acc: 65.533%
Epoch 51 | Train Loss: 1.896 | Train Acc: 66.259%
Epoch 52 | Train Loss: 1.879 | Train Acc: 66.755%
Epoch 53 | Train Loss: 1.858 | Train Acc: 67.386%
Epoch 54 | Train Loss: 1.853 | Train Acc: 67.454%
Epoch 55 | Train Loss: 1.840 | Train Acc: 67.876%
Epoch 56 | Train Loss: 1.817 | Train Acc: 68.704%
Epoch 57 | Train Loss: 1.805 | Train Acc: 69.128%
Epoch 58 | Train Loss: 1.792 | Train Acc: 69.439%
Epoch 59 | Train Loss: 1.770 | Train Acc: 70.072%
Epoch 60 | Train Loss: 1.761 | Train Acc: 70.373%
Epoch 61 | Train Loss: 1.744 | Train Acc: 71.026%
Epoch 62 | Train Loss: 1.728 | Train Acc: 71.526%
Epoch 63 | Train Loss: 1.724 | Train Acc: 71.780%
Epoch 64 | Train Loss: 1.711 | Train Acc: 71.939%
Epoch 65 | Train Loss: 1.697 | Train Acc: 72.538%
Epoch 66 | Train Loss: 1.688 | Train Acc: 72.727%
Epoch 67 | Train Loss: 1.677 | Train Acc: 73.220%
Epoch 68 | Train Loss: 1.665 | Train Acc: 73.506%
Epoch 69 | Train Loss: 1.650 | Train Acc: 73.908%
Epoch 70 | Train Loss: 1.641 | Train Acc: 74.231%
Epoch 71 | Train Loss: 1.639 | Train Acc: 74.264%
Epoch 72 | Train Loss: 1.628 | Train Acc: 74.880%
Epoch 73 | Train Loss: 1.615 | Train Acc: 75.216%
Epoch 74 | Train Loss: 1.606 | Train Acc: 75.596%
Epoch 75 | Train Loss: 1.594 | Train Acc: 75.874%
Epoch 76 | Train Loss: 1.587 | Train Acc: 76.065%
Epoch 77 | Train Loss: 1.584 | Train Acc: 76.194%
Epoch 78 | Train Loss: 1.579 | Train Acc: 76.298%
Epoch 79 | Train Loss: 1.574 | Train Acc: 76.551%
Epoch 80 | Train Loss: 1.564 | Train Acc: 76.825%
Epoch 81 | Train Loss: 1.564 | Train Acc: 76.931%
Epoch 82 | Train Loss: 1.555 | Train Acc: 77.157%
Epoch 83 | Train Loss: 1.552 | Train Acc: 77.288%
Epoch 84 | Train Loss: 1.549 | Train Acc: 77.315%
Epoch 85 | Train Loss: 1.546 | Train Acc: 77.513%
Epoch 86 | Train Loss: 1.542 | Train Acc: 77.639%
Epoch 87 | Train Loss: 1.539 | Train Acc: 77.678%
Epoch 88 | Train Loss: 1.539 | Train Acc: 77.542%
