Epoch 0 | Train Loss: 4.600 | Train Acc: 2.614%
Epoch 1 | Train Loss: 4.433 | Train Acc: 5.276%
Epoch 2 | Train Loss: 4.299 | Train Acc: 7.287%
Epoch 3 | Train Loss: 4.131 | Train Acc: 9.963%
Epoch 4 | Train Loss: 3.940 | Train Acc: 13.570%
Epoch 5 | Train Loss: 3.777 | Train Acc: 16.812%
Epoch 6 | Train Loss: 3.619 | Train Acc: 20.243%
Epoch 7 | Train Loss: 3.486 | Train Acc: 23.042%
Epoch 8 | Train Loss: 3.362 | Train Acc: 26.117%
Epoch 9 | Train Loss: 3.247 | Train Acc: 29.111%
Epoch 10 | Train Loss: 3.162 | Train Acc: 31.344%
Epoch 11 | Train Loss: 3.083 | Train Acc: 33.126%
Epoch 12 | Train Loss: 3.007 | Train Acc: 34.903%
Epoch 13 | Train Loss: 2.940 | Train Acc: 36.716%
Epoch 14 | Train Loss: 2.877 | Train Acc: 38.475%
Epoch 15 | Train Loss: 2.820 | Train Acc: 39.885%
Epoch 16 | Train Loss: 2.772 | Train Acc: 41.400%
Epoch 17 | Train Loss: 2.723 | Train Acc: 42.415%
Epoch 18 | Train Loss: 2.681 | Train Acc: 43.613%
Epoch 19 | Train Loss: 2.636 | Train Acc: 44.970%
Epoch 20 | Train Loss: 2.590 | Train Acc: 46.212%
Epoch 21 | Train Loss: 2.550 | Train Acc: 47.410%
Epoch 22 | Train Loss: 2.508 | Train Acc: 48.486%
Epoch 23 | Train Loss: 2.475 | Train Acc: 49.274%
Epoch 24 | Train Loss: 2.439 | Train Acc: 50.444%
Epoch 25 | Train Loss: 2.407 | Train Acc: 51.396%
Epoch 26 | Train Loss: 2.370 | Train Acc: 52.352%
Epoch 27 | Train Loss: 2.335 | Train Acc: 53.357%
Epoch 28 | Train Loss: 2.308 | Train Acc: 54.108%
Epoch 29 | Train Loss: 2.276 | Train Acc: 54.985%
Epoch 30 | Train Loss: 2.246 | Train Acc: 55.600%
Epoch 31 | Train Loss: 2.217 | Train Acc: 56.649%
Epoch 32 | Train Loss: 2.182 | Train Acc: 57.684%
Epoch 33 | Train Loss: 2.161 | Train Acc: 58.192%
Epoch 34 | Train Loss: 2.135 | Train Acc: 58.892%
Epoch 35 | Train Loss: 2.109 | Train Acc: 59.746%
Epoch 36 | Train Loss: 2.086 | Train Acc: 60.342%
Epoch 37 | Train Loss: 2.058 | Train Acc: 61.120%
Epoch 38 | Train Loss: 2.036 | Train Acc: 61.878%
Epoch 39 | Train Loss: 2.010 | Train Acc: 62.611%
Epoch 40 | Train Loss: 1.989 | Train Acc: 63.186%
Epoch 41 | Train Loss: 1.970 | Train Acc: 63.859%
Epoch 42 | Train Loss: 1.944 | Train Acc: 64.664%
Epoch 43 | Train Loss: 1.925 | Train Acc: 65.181%
Epoch 44 | Train Loss: 1.899 | Train Acc: 65.996%
Epoch 45 | Train Loss: 1.877 | Train Acc: 66.700%
Epoch 46 | Train Loss: 1.866 | Train Acc: 67.090%
Epoch 47 | Train Loss: 1.847 | Train Acc: 67.803%
Epoch 48 | Train Loss: 1.831 | Train Acc: 68.220%
Epoch 49 | Train Loss: 1.805 | Train Acc: 68.910%
Epoch 50 | Train Loss: 1.793 | Train Acc: 69.369%
Epoch 51 | Train Loss: 1.775 | Train Acc: 69.853%
Epoch 52 | Train Loss: 1.756 | Train Acc: 70.391%
Epoch 53 | Train Loss: 1.735 | Train Acc: 71.135%
Epoch 54 | Train Loss: 1.714 | Train Acc: 71.902%
Epoch 55 | Train Loss: 1.708 | Train Acc: 72.102%
Epoch 56 | Train Loss: 1.678 | Train Acc: 72.900%
Epoch 57 | Train Loss: 1.672 | Train Acc: 73.195%
Epoch 58 | Train Loss: 1.656 | Train Acc: 73.718%
Epoch 59 | Train Loss: 1.646 | Train Acc: 74.218%
Epoch 60 | Train Loss: 1.622 | Train Acc: 74.787%
Epoch 61 | Train Loss: 1.612 | Train Acc: 75.036%
Epoch 62 | Train Loss: 1.606 | Train Acc: 75.337%
Epoch 63 | Train Loss: 1.581 | Train Acc: 76.107%
Epoch 64 | Train Loss: 1.574 | Train Acc: 76.393%
Epoch 65 | Train Loss: 1.559 | Train Acc: 76.808%
Epoch 66 | Train Loss: 1.550 | Train Acc: 77.177%
Epoch 67 | Train Loss: 1.537 | Train Acc: 77.629%
Epoch 68 | Train Loss: 1.524 | Train Acc: 78.030%
Epoch 69 | Train Loss: 1.522 | Train Acc: 78.162%
Epoch 70 | Train Loss: 1.510 | Train Acc: 78.443%
Epoch 71 | Train Loss: 1.492 | Train Acc: 79.048%
Epoch 72 | Train Loss: 1.491 | Train Acc: 79.152%
Epoch 73 | Train Loss: 1.479 | Train Acc: 79.445%
Epoch 74 | Train Loss: 1.472 | Train Acc: 79.658%
Epoch 75 | Train Loss: 1.467 | Train Acc: 79.774%
Epoch 76 | Train Loss: 1.458 | Train Acc: 80.226%
Epoch 77 | Train Loss: 1.448 | Train Acc: 80.416%
Epoch 78 | Train Loss: 1.444 | Train Acc: 80.675%
Epoch 79 | Train Loss: 1.440 | Train Acc: 80.719%
Epoch 80 | Train Loss: 1.437 | Train Acc: 80.889%
Epoch 81 | Train Loss: 1.424 | Train Acc: 81.232%
Epoch 82 | Train Loss: 1.422 | Train Acc: 81.406%
Epoch 83 | Train Loss: 1.418 | Train Acc: 81.523%
Epoch 84 | Train Loss: 1.411 | Train Acc: 81.723%
Epoch 85 | Train Loss: 1.412 | Train Acc: 81.710%
Epoch 86 | Train Loss: 1.410 | Train Acc: 81.794%
Epoch 87 | Train Loss: 1.407 | Train Acc: 81.835%
Epoch 88 | Train Loss: 1.403 | Train Acc: 81.926%
Epoch 89 | Train Loss: 1.398 | Train Acc: 82.149%
Epoch 90 | Train Loss: 1.402 | Train Acc: 81.887%
Epoch 91 | Train Loss: 1.396 | Train Acc: 82.114%
Epoch 92 | Train Loss: 1.401 | Train Acc: 82.064%
Epoch 93 | Train Loss: 1.395 | Train Acc: 82.160%
Epoch 94 | Train Loss: 1.396 | Train Acc: 82.216%
Epoch 95 | Train Loss: 1.397 | Train Acc: 82.094%
Epoch 96 | Train Loss: 1.402 | Train Acc: 81.897%
Epoch 97 | Train Loss: 1.402 | Train Acc: 81.987%
Epoch 98 | Train Loss: 1.396 | Train Acc: 82.347%
Epoch 99 | Train Loss: 1.396 | Train Acc: 82.226%

🏆 Best Training Accuracy: 82.347%
