Epoch 0 | Train Loss: 4.565 | Train Acc: 3.120%
Epoch 1 | Train Loss: 4.425 | Train Acc: 5.227%
Epoch 2 | Train Loss: 4.295 | Train Acc: 7.289%
Epoch 3 | Train Loss: 4.146 | Train Acc: 9.500%
Epoch 4 | Train Loss: 3.972 | Train Acc: 12.709%
Epoch 5 | Train Loss: 3.791 | Train Acc: 16.544%
Epoch 6 | Train Loss: 3.632 | Train Acc: 19.834%
Epoch 7 | Train Loss: 3.492 | Train Acc: 22.919%
Epoch 8 | Train Loss: 3.365 | Train Acc: 26.023%
Epoch 9 | Train Loss: 3.242 | Train Acc: 29.089%
Epoch 10 | Train Loss: 3.137 | Train Acc: 31.649%
Epoch 11 | Train Loss: 3.045 | Train Acc: 34.028%
Epoch 12 | Train Loss: 2.962 | Train Acc: 36.096%
Epoch 13 | Train Loss: 2.887 | Train Acc: 38.003%
Epoch 14 | Train Loss: 2.819 | Train Acc: 39.838%
Epoch 15 | Train Loss: 2.746 | Train Acc: 41.947%
Epoch 16 | Train Loss: 2.696 | Train Acc: 43.061%
Epoch 17 | Train Loss: 2.632 | Train Acc: 44.921%
Epoch 18 | Train Loss: 2.581 | Train Acc: 46.290%
Epoch 19 | Train Loss: 2.536 | Train Acc: 47.563%
Epoch 20 | Train Loss: 2.481 | Train Acc: 49.060%
Epoch 21 | Train Loss: 2.434 | Train Acc: 50.246%
Epoch 22 | Train Loss: 2.397 | Train Acc: 51.298%
Epoch 23 | Train Loss: 2.356 | Train Acc: 52.558%
Epoch 24 | Train Loss: 2.314 | Train Acc: 53.638%
Epoch 25 | Train Loss: 2.270 | Train Acc: 54.872%
Epoch 26 | Train Loss: 2.240 | Train Acc: 55.693%
Epoch 27 | Train Loss: 2.205 | Train Acc: 56.725%
Epoch 28 | Train Loss: 2.174 | Train Acc: 57.685%
Epoch 29 | Train Loss: 2.137 | Train Acc: 58.688%
Epoch 30 | Train Loss: 2.111 | Train Acc: 59.448%
Epoch 31 | Train Loss: 2.077 | Train Acc: 60.404%
Epoch 32 | Train Loss: 2.047 | Train Acc: 61.150%
Epoch 33 | Train Loss: 2.018 | Train Acc: 62.043%
Epoch 34 | Train Loss: 1.991 | Train Acc: 62.893%
Epoch 35 | Train Loss: 1.966 | Train Acc: 63.731%
Epoch 36 | Train Loss: 1.933 | Train Acc: 64.563%
Epoch 37 | Train Loss: 1.916 | Train Acc: 65.322%
Epoch 38 | Train Loss: 1.889 | Train Acc: 66.013%
Epoch 39 | Train Loss: 1.862 | Train Acc: 66.756%
Epoch 40 | Train Loss: 1.843 | Train Acc: 67.412%
Epoch 41 | Train Loss: 1.816 | Train Acc: 68.256%
Epoch 42 | Train Loss: 1.795 | Train Acc: 68.773%
Epoch 43 | Train Loss: 1.774 | Train Acc: 69.658%
Epoch 44 | Train Loss: 1.757 | Train Acc: 70.006%
Epoch 45 | Train Loss: 1.728 | Train Acc: 71.038%
Epoch 46 | Train Loss: 1.713 | Train Acc: 71.297%
Epoch 47 | Train Loss: 1.692 | Train Acc: 72.192%
Epoch 48 | Train Loss: 1.673 | Train Acc: 72.725%
Epoch 49 | Train Loss: 1.649 | Train Acc: 73.548%
Epoch 50 | Train Loss: 1.634 | Train Acc: 73.876%
Epoch 51 | Train Loss: 1.616 | Train Acc: 74.606%
Epoch 52 | Train Loss: 1.596 | Train Acc: 75.194%
Epoch 53 | Train Loss: 1.582 | Train Acc: 75.641%
Epoch 54 | Train Loss: 1.566 | Train Acc: 76.303%
Epoch 55 | Train Loss: 1.546 | Train Acc: 76.792%
Epoch 56 | Train Loss: 1.531 | Train Acc: 77.249%
Epoch 57 | Train Loss: 1.519 | Train Acc: 77.567%
Epoch 58 | Train Loss: 1.506 | Train Acc: 78.050%
Epoch 59 | Train Loss: 1.489 | Train Acc: 78.656%
Epoch 60 | Train Loss: 1.473 | Train Acc: 79.217%
Epoch 61 | Train Loss: 1.462 | Train Acc: 79.620%
Epoch 62 | Train Loss: 1.450 | Train Acc: 79.871%
Epoch 63 | Train Loss: 1.434 | Train Acc: 80.432%
Epoch 64 | Train Loss: 1.425 | Train Acc: 80.785%
Epoch 65 | Train Loss: 1.406 | Train Acc: 81.323%
Epoch 66 | Train Loss: 1.402 | Train Acc: 81.538%
Epoch 67 | Train Loss: 1.395 | Train Acc: 81.788%
Epoch 68 | Train Loss: 1.377 | Train Acc: 82.161%
Epoch 69 | Train Loss: 1.371 | Train Acc: 82.473%
Epoch 70 | Train Loss: 1.356 | Train Acc: 82.956%
Epoch 71 | Train Loss: 1.345 | Train Acc: 83.340%
Epoch 72 | Train Loss: 1.341 | Train Acc: 83.478%
Epoch 73 | Train Loss: 1.332 | Train Acc: 83.661%
Epoch 74 | Train Loss: 1.322 | Train Acc: 84.051%
Epoch 75 | Train Loss: 1.320 | Train Acc: 84.110%
Epoch 76 | Train Loss: 1.312 | Train Acc: 84.304%
Epoch 77 | Train Loss: 1.306 | Train Acc: 84.556%
Epoch 78 | Train Loss: 1.298 | Train Acc: 84.824%
Epoch 79 | Train Loss: 1.294 | Train Acc: 84.892%
Epoch 80 | Train Loss: 1.282 | Train Acc: 85.403%
Epoch 81 | Train Loss: 1.279 | Train Acc: 85.304%
Epoch 82 | Train Loss: 1.276 | Train Acc: 85.576%
Epoch 83 | Train Loss: 1.274 | Train Acc: 85.538%
Epoch 84 | Train Loss: 1.269 | Train Acc: 85.749%
Epoch 85 | Train Loss: 1.268 | Train Acc: 85.686%
Epoch 86 | Train Loss: 1.266 | Train Acc: 85.843%
Epoch 87 | Train Loss: 1.259 | Train Acc: 85.984%
Epoch 88 | Train Loss: 1.257 | Train Acc: 86.152%
Epoch 89 | Train Loss: 1.254 | Train Acc: 86.097%
Epoch 90 | Train Loss: 1.257 | Train Acc: 86.044%
Epoch 91 | Train Loss: 1.256 | Train Acc: 86.129%
Epoch 92 | Train Loss: 1.254 | Train Acc: 86.227%
Epoch 93 | Train Loss: 1.253 | Train Acc: 86.238%
Epoch 94 | Train Loss: 1.250 | Train Acc: 86.269%
Epoch 95 | Train Loss: 1.246 | Train Acc: 86.446%
Epoch 96 | Train Loss: 1.250 | Train Acc: 86.345%
Epoch 97 | Train Loss: 1.252 | Train Acc: 86.258%
Epoch 98 | Train Loss: 1.249 | Train Acc: 86.376%
Epoch 99 | Train Loss: 1.254 | Train Acc: 86.130%

🏆 Best Training Accuracy: 86.446%
