Epoch 0 | Train Loss: 4.592 | Train Acc: 1.941%
Epoch 1 | Train Loss: 4.095 | Train Acc: 10.382%
Epoch 2 | Train Loss: 3.690 | Train Acc: 18.755%
Epoch 3 | Train Loss: 3.498 | Train Acc: 22.791%
Epoch 4 | Train Loss: 3.378 | Train Acc: 25.567%
Epoch 5 | Train Loss: 3.276 | Train Acc: 28.025%
Epoch 6 | Train Loss: 3.135 | Train Acc: 31.623%
Epoch 7 | Train Loss: 3.010 | Train Acc: 34.849%
Epoch 8 | Train Loss: 2.918 | Train Acc: 36.986%
Epoch 9 | Train Loss: 2.843 | Train Acc: 39.243%
Epoch 10 | Train Loss: 2.775 | Train Acc: 40.986%
Epoch 11 | Train Loss: 2.721 | Train Acc: 42.519%
Epoch 12 | Train Loss: 2.672 | Train Acc: 43.834%
Epoch 13 | Train Loss: 2.634 | Train Acc: 44.853%
Epoch 14 | Train Loss: 2.597 | Train Acc: 45.866%
Epoch 15 | Train Loss: 2.560 | Train Acc: 46.853%
Epoch 16 | Train Loss: 2.534 | Train Acc: 47.529%
Epoch 17 | Train Loss: 2.503 | Train Acc: 48.541%
Epoch 18 | Train Loss: 2.473 | Train Acc: 49.154%
Epoch 19 | Train Loss: 2.447 | Train Acc: 50.010%
Epoch 20 | Train Loss: 2.429 | Train Acc: 50.415%
Epoch 21 | Train Loss: 2.405 | Train Acc: 51.131%
Epoch 22 | Train Loss: 2.387 | Train Acc: 51.579%
Epoch 23 | Train Loss: 2.368 | Train Acc: 52.179%
Epoch 24 | Train Loss: 2.354 | Train Acc: 52.483%
Epoch 25 | Train Loss: 2.331 | Train Acc: 53.105%
Epoch 26 | Train Loss: 2.315 | Train Acc: 53.671%
Epoch 27 | Train Loss: 2.294 | Train Acc: 54.277%
Epoch 28 | Train Loss: 2.282 | Train Acc: 54.721%
Epoch 29 | Train Loss: 2.260 | Train Acc: 55.263%
Epoch 30 | Train Loss: 2.249 | Train Acc: 55.535%
Epoch 31 | Train Loss: 2.224 | Train Acc: 56.200%
Epoch 32 | Train Loss: 2.213 | Train Acc: 56.529%
Epoch 33 | Train Loss: 2.202 | Train Acc: 56.949%
Epoch 34 | Train Loss: 2.187 | Train Acc: 57.220%
Epoch 35 | Train Loss: 2.172 | Train Acc: 57.620%
Epoch 36 | Train Loss: 2.154 | Train Acc: 58.238%
Epoch 37 | Train Loss: 2.137 | Train Acc: 58.866%
Epoch 38 | Train Loss: 2.125 | Train Acc: 59.043%
Epoch 39 | Train Loss: 2.110 | Train Acc: 59.590%
Epoch 40 | Train Loss: 2.094 | Train Acc: 59.949%
Epoch 41 | Train Loss: 2.080 | Train Acc: 60.445%
Epoch 42 | Train Loss: 2.066 | Train Acc: 60.865%
Epoch 43 | Train Loss: 2.055 | Train Acc: 61.159%
Epoch 44 | Train Loss: 2.035 | Train Acc: 61.727%
Epoch 45 | Train Loss: 2.020 | Train Acc: 62.180%
Epoch 46 | Train Loss: 2.014 | Train Acc: 62.187%
Epoch 47 | Train Loss: 1.994 | Train Acc: 62.915%
Epoch 48 | Train Loss: 1.979 | Train Acc: 63.435%
Epoch 49 | Train Loss: 1.967 | Train Acc: 63.671%
Epoch 50 | Train Loss: 1.948 | Train Acc: 64.192%
Epoch 51 | Train Loss: 1.938 | Train Acc: 64.619%
Epoch 52 | Train Loss: 1.930 | Train Acc: 64.859%
Epoch 53 | Train Loss: 1.913 | Train Acc: 65.356%
Epoch 54 | Train Loss: 1.893 | Train Acc: 65.792%
Epoch 55 | Train Loss: 1.884 | Train Acc: 66.129%
Epoch 56 | Train Loss: 1.868 | Train Acc: 66.614%
Epoch 57 | Train Loss: 1.858 | Train Acc: 66.879%
Epoch 58 | Train Loss: 1.843 | Train Acc: 67.369%
Epoch 59 | Train Loss: 1.826 | Train Acc: 67.860%
Epoch 60 | Train Loss: 1.818 | Train Acc: 68.307%
Epoch 61 | Train Loss: 1.805 | Train Acc: 68.529%
Epoch 62 | Train Loss: 1.791 | Train Acc: 68.849%
Epoch 63 | Train Loss: 1.776 | Train Acc: 69.464%
Epoch 64 | Train Loss: 1.765 | Train Acc: 69.706%
Epoch 65 | Train Loss: 1.750 | Train Acc: 70.191%
Epoch 66 | Train Loss: 1.739 | Train Acc: 70.542%
Epoch 67 | Train Loss: 1.731 | Train Acc: 70.785%
Epoch 68 | Train Loss: 1.715 | Train Acc: 71.316%
