Epoch 0 | Train Loss: 4.603 | Train Acc: 1.919%
Epoch 1 | Train Loss: 4.101 | Train Acc: 9.629%
Epoch 2 | Train Loss: 3.575 | Train Acc: 20.313%
Epoch 3 | Train Loss: 3.268 | Train Acc: 27.969%
Epoch 4 | Train Loss: 3.053 | Train Acc: 33.687%
Epoch 5 | Train Loss: 2.882 | Train Acc: 38.154%
Epoch 6 | Train Loss: 2.718 | Train Acc: 42.590%
Epoch 7 | Train Loss: 2.606 | Train Acc: 45.826%
Epoch 8 | Train Loss: 2.509 | Train Acc: 48.546%
Epoch 9 | Train Loss: 2.443 | Train Acc: 50.581%
Epoch 10 | Train Loss: 2.384 | Train Acc: 52.200%
Epoch 11 | Train Loss: 2.331 | Train Acc: 53.699%
Epoch 12 | Train Loss: 2.282 | Train Acc: 55.176%
Epoch 13 | Train Loss: 2.242 | Train Acc: 56.488%
Epoch 14 | Train Loss: 2.208 | Train Acc: 57.325%
Epoch 15 | Train Loss: 2.173 | Train Acc: 58.386%
Epoch 16 | Train Loss: 2.140 | Train Acc: 59.199%
Epoch 17 | Train Loss: 2.114 | Train Acc: 60.131%
Epoch 18 | Train Loss: 2.086 | Train Acc: 60.958%
Epoch 19 | Train Loss: 2.065 | Train Acc: 61.488%
Epoch 20 | Train Loss: 2.043 | Train Acc: 62.141%
Epoch 21 | Train Loss: 2.017 | Train Acc: 63.077%
Epoch 22 | Train Loss: 2.007 | Train Acc: 63.324%
Epoch 23 | Train Loss: 1.984 | Train Acc: 63.914%
Epoch 24 | Train Loss: 1.966 | Train Acc: 64.564%
Epoch 25 | Train Loss: 1.950 | Train Acc: 64.982%
Epoch 26 | Train Loss: 1.928 | Train Acc: 65.588%
Epoch 27 | Train Loss: 1.922 | Train Acc: 65.792%
Epoch 28 | Train Loss: 1.901 | Train Acc: 66.330%
Epoch 29 | Train Loss: 1.891 | Train Acc: 66.824%
Epoch 30 | Train Loss: 1.876 | Train Acc: 67.255%
Epoch 31 | Train Loss: 1.865 | Train Acc: 67.500%
Epoch 32 | Train Loss: 1.850 | Train Acc: 67.977%
Epoch 33 | Train Loss: 1.837 | Train Acc: 68.330%
Epoch 34 | Train Loss: 1.828 | Train Acc: 68.600%
Epoch 35 | Train Loss: 1.812 | Train Acc: 69.172%
Epoch 36 | Train Loss: 1.801 | Train Acc: 69.474%
Epoch 37 | Train Loss: 1.797 | Train Acc: 69.451%
Epoch 38 | Train Loss: 1.785 | Train Acc: 69.794%
Epoch 39 | Train Loss: 1.775 | Train Acc: 70.407%
Epoch 40 | Train Loss: 1.770 | Train Acc: 70.346%
Epoch 41 | Train Loss: 1.749 | Train Acc: 71.008%
Epoch 42 | Train Loss: 1.749 | Train Acc: 71.056%
Epoch 43 | Train Loss: 1.732 | Train Acc: 71.595%
Epoch 44 | Train Loss: 1.730 | Train Acc: 71.549%
Epoch 45 | Train Loss: 1.715 | Train Acc: 71.980%
Epoch 46 | Train Loss: 1.708 | Train Acc: 72.348%
Epoch 47 | Train Loss: 1.702 | Train Acc: 72.406%
Epoch 48 | Train Loss: 1.694 | Train Acc: 72.697%
Epoch 49 | Train Loss: 1.682 | Train Acc: 73.212%
Epoch 50 | Train Loss: 1.676 | Train Acc: 73.342%
Epoch 51 | Train Loss: 1.675 | Train Acc: 73.293%
Epoch 52 | Train Loss: 1.663 | Train Acc: 73.652%
Epoch 53 | Train Loss: 1.654 | Train Acc: 74.007%
Epoch 54 | Train Loss: 1.648 | Train Acc: 74.218%
Epoch 55 | Train Loss: 1.636 | Train Acc: 74.421%
Epoch 56 | Train Loss: 1.636 | Train Acc: 74.518%
Epoch 57 | Train Loss: 1.626 | Train Acc: 74.842%
Epoch 58 | Train Loss: 1.622 | Train Acc: 75.040%
Epoch 59 | Train Loss: 1.613 | Train Acc: 75.192%
Epoch 60 | Train Loss: 1.610 | Train Acc: 75.358%
Epoch 61 | Train Loss: 1.600 | Train Acc: 75.709%
Epoch 62 | Train Loss: 1.593 | Train Acc: 75.919%
Epoch 63 | Train Loss: 1.591 | Train Acc: 76.013%
Epoch 64 | Train Loss: 1.581 | Train Acc: 76.372%
Epoch 65 | Train Loss: 1.579 | Train Acc: 76.367%
Epoch 66 | Train Loss: 1.572 | Train Acc: 76.567%
Epoch 67 | Train Loss: 1.566 | Train Acc: 76.729%
Epoch 68 | Train Loss: 1.561 | Train Acc: 76.960%
Epoch 69 | Train Loss: 1.555 | Train Acc: 77.154%
Epoch 70 | Train Loss: 1.548 | Train Acc: 77.296%
Epoch 71 | Train Loss: 1.545 | Train Acc: 77.421%
Epoch 72 | Train Loss: 1.543 | Train Acc: 77.569%
Epoch 73 | Train Loss: 1.538 | Train Acc: 77.725%
Epoch 74 | Train Loss: 1.532 | Train Acc: 77.843%
Epoch 75 | Train Loss: 1.529 | Train Acc: 78.010%
Epoch 76 | Train Loss: 1.529 | Train Acc: 77.841%
Epoch 77 | Train Loss: 1.521 | Train Acc: 78.139%
Epoch 78 | Train Loss: 1.526 | Train Acc: 78.017%
Epoch 79 | Train Loss: 1.520 | Train Acc: 78.240%
Epoch 80 | Train Loss: 1.518 | Train Acc: 78.327%
Epoch 81 | Train Loss: 1.518 | Train Acc: 78.314%
Epoch 82 | Train Loss: 1.514 | Train Acc: 78.437%
Epoch 83 | Train Loss: 1.510 | Train Acc: 78.668%
Epoch 84 | Train Loss: 1.510 | Train Acc: 78.633%
Epoch 85 | Train Loss: 1.507 | Train Acc: 78.707%
Epoch 86 | Train Loss: 1.501 | Train Acc: 78.792%
Epoch 87 | Train Loss: 1.498 | Train Acc: 78.948%
Epoch 88 | Train Loss: 1.500 | Train Acc: 78.913%
Epoch 89 | Train Loss: 1.496 | Train Acc: 79.068%
Epoch 90 | Train Loss: 1.495 | Train Acc: 79.146%
Epoch 91 | Train Loss: 1.497 | Train Acc: 79.018%
Epoch 92 | Train Loss: 1.496 | Train Acc: 79.131%
Epoch 93 | Train Loss: 1.492 | Train Acc: 79.171%
Epoch 94 | Train Loss: 1.498 | Train Acc: 78.965%
Epoch 95 | Train Loss: 1.497 | Train Acc: 79.034%
Epoch 96 | Train Loss: 1.501 | Train Acc: 78.909%
Epoch 97 | Train Loss: 1.496 | Train Acc: 79.124%
Epoch 98 | Train Loss: 1.501 | Train Acc: 78.876%
Epoch 99 | Train Loss: 1.498 | Train Acc: 78.933%

🏆 Best Training Accuracy: 79.171%
