Epoch 0 | Train Loss: 2.180 | Train Acc: 18.970%
Epoch 1 | Train Loss: 2.052 | Train Acc: 25.415%
Epoch 2 | Train Loss: 1.974 | Train Acc: 30.076%
Epoch 3 | Train Loss: 1.891 | Train Acc: 35.441%
Epoch 4 | Train Loss: 1.799 | Train Acc: 40.200%
Epoch 5 | Train Loss: 1.715 | Train Acc: 44.920%
Epoch 6 | Train Loss: 1.651 | Train Acc: 48.229%
Epoch 7 | Train Loss: 1.596 | Train Acc: 51.538%
Epoch 8 | Train Loss: 1.575 | Train Acc: 52.408%
Epoch 9 | Train Loss: 1.551 | Train Acc: 54.000%
Epoch 10 | Train Loss: 1.534 | Train Acc: 54.503%
Epoch 11 | Train Loss: 1.499 | Train Acc: 56.480%
Epoch 12 | Train Loss: 1.484 | Train Acc: 57.139%
Epoch 13 | Train Loss: 1.447 | Train Acc: 58.618%
Epoch 14 | Train Loss: 1.468 | Train Acc: 57.796%
Epoch 15 | Train Loss: 1.451 | Train Acc: 58.490%
Epoch 16 | Train Loss: 1.412 | Train Acc: 60.256%
Epoch 17 | Train Loss: 1.401 | Train Acc: 60.815%
Epoch 18 | Train Loss: 1.401 | Train Acc: 60.954%
Epoch 19 | Train Loss: 1.376 | Train Acc: 61.835%
Epoch 20 | Train Loss: 1.383 | Train Acc: 61.903%
Epoch 21 | Train Loss: 1.376 | Train Acc: 62.033%
Epoch 22 | Train Loss: 1.379 | Train Acc: 61.803%
Epoch 23 | Train Loss: 1.379 | Train Acc: 61.767%
Epoch 24 | Train Loss: 1.361 | Train Acc: 62.883%
Epoch 25 | Train Loss: 1.355 | Train Acc: 62.985%
Epoch 26 | Train Loss: 1.354 | Train Acc: 63.265%
Epoch 27 | Train Loss: 1.343 | Train Acc: 63.608%
Epoch 28 | Train Loss: 1.318 | Train Acc: 64.750%
Epoch 29 | Train Loss: 1.334 | Train Acc: 64.141%
Epoch 30 | Train Loss: 1.378 | Train Acc: 62.206%
Epoch 31 | Train Loss: 1.302 | Train Acc: 65.471%
