Epoch 0 | Train Loss: 2.096 | Train Acc: 24.565%
Epoch 1 | Train Loss: 1.906 | Train Acc: 35.196%
Epoch 2 | Train Loss: 1.787 | Train Acc: 41.687%
Epoch 3 | Train Loss: 1.708 | Train Acc: 45.621%
Epoch 4 | Train Loss: 1.619 | Train Acc: 50.302%
Epoch 5 | Train Loss: 1.534 | Train Acc: 54.056%
Epoch 6 | Train Loss: 1.487 | Train Acc: 56.745%
Epoch 7 | Train Loss: 1.442 | Train Acc: 58.870%
Epoch 8 | Train Loss: 1.439 | Train Acc: 59.119%
Epoch 9 | Train Loss: 1.409 | Train Acc: 60.659%
Epoch 10 | Train Loss: 1.403 | Train Acc: 60.954%
Epoch 11 | Train Loss: 1.355 | Train Acc: 63.007%
Epoch 12 | Train Loss: 1.340 | Train Acc: 63.624%
Epoch 13 | Train Loss: 1.307 | Train Acc: 65.363%
Epoch 14 | Train Loss: 1.332 | Train Acc: 64.443%
Epoch 15 | Train Loss: 1.317 | Train Acc: 64.834%
Epoch 16 | Train Loss: 1.268 | Train Acc: 66.995%
Epoch 17 | Train Loss: 1.255 | Train Acc: 67.608%
Epoch 18 | Train Loss: 1.256 | Train Acc: 67.606%
Epoch 19 | Train Loss: 1.224 | Train Acc: 68.770%
Epoch 20 | Train Loss: 1.244 | Train Acc: 68.091%
Epoch 21 | Train Loss: 1.229 | Train Acc: 68.550%
Epoch 22 | Train Loss: 1.227 | Train Acc: 68.820%
Epoch 23 | Train Loss: 1.236 | Train Acc: 68.347%
Epoch 24 | Train Loss: 1.214 | Train Acc: 69.247%
Epoch 25 | Train Loss: 1.207 | Train Acc: 69.631%
Epoch 26 | Train Loss: 1.215 | Train Acc: 69.301%
Epoch 27 | Train Loss: 1.194 | Train Acc: 70.180%
Epoch 28 | Train Loss: 1.167 | Train Acc: 71.244%
Epoch 29 | Train Loss: 1.192 | Train Acc: 70.485%
Epoch 30 | Train Loss: 1.227 | Train Acc: 69.109%
Epoch 31 | Train Loss: 1.151 | Train Acc: 72.175%
Epoch 32 | Train Loss: 1.191 | Train Acc: 70.683%
Epoch 33 | Train Loss: 1.167 | Train Acc: 71.402%
Epoch 34 | Train Loss: 1.147 | Train Acc: 72.242%
Epoch 35 | Train Loss: 1.150 | Train Acc: 72.226%
Epoch 36 | Train Loss: 1.126 | Train Acc: 73.091%
Epoch 37 | Train Loss: 1.113 | Train Acc: 73.722%
Epoch 38 | Train Loss: 1.155 | Train Acc: 71.861%
Epoch 39 | Train Loss: 1.137 | Train Acc: 72.877%
Epoch 40 | Train Loss: 1.137 | Train Acc: 72.758%
Epoch 41 | Train Loss: 1.147 | Train Acc: 72.396%
Epoch 42 | Train Loss: 1.151 | Train Acc: 72.200%
Epoch 43 | Train Loss: 1.106 | Train Acc: 74.069%
Epoch 44 | Train Loss: 1.129 | Train Acc: 73.157%
Epoch 45 | Train Loss: 1.102 | Train Acc: 74.229%
Epoch 46 | Train Loss: 1.094 | Train Acc: 74.553%
Epoch 47 | Train Loss: 1.115 | Train Acc: 73.710%
Epoch 48 | Train Loss: 1.083 | Train Acc: 75.359%
Epoch 49 | Train Loss: 1.126 | Train Acc: 73.588%
Epoch 50 | Train Loss: 1.079 | Train Acc: 75.485%
Epoch 51 | Train Loss: 1.113 | Train Acc: 73.652%
Epoch 52 | Train Loss: 1.102 | Train Acc: 74.359%
Epoch 53 | Train Loss: 1.099 | Train Acc: 74.545%
Epoch 54 | Train Loss: 1.092 | Train Acc: 74.780%
Epoch 55 | Train Loss: 1.097 | Train Acc: 74.509%
Epoch 56 | Train Loss: 1.102 | Train Acc: 74.343%
Epoch 57 | Train Loss: 1.057 | Train Acc: 76.162%
Epoch 58 | Train Loss: 1.054 | Train Acc: 76.310%
Epoch 59 | Train Loss: 1.075 | Train Acc: 75.609%
Epoch 60 | Train Loss: 1.079 | Train Acc: 75.401%
Epoch 61 | Train Loss: 1.100 | Train Acc: 74.427%
Epoch 62 | Train Loss: 1.065 | Train Acc: 75.962%
Epoch 63 | Train Loss: 1.060 | Train Acc: 76.102%
Epoch 64 | Train Loss: 1.063 | Train Acc: 75.753%
Epoch 65 | Train Loss: 1.065 | Train Acc: 75.891%
Epoch 66 | Train Loss: 1.063 | Train Acc: 75.863%
Epoch 67 | Train Loss: 1.045 | Train Acc: 77.019%
Epoch 68 | Train Loss: 1.033 | Train Acc: 77.149%
Epoch 69 | Train Loss: 1.078 | Train Acc: 75.429%
Epoch 70 | Train Loss: 1.051 | Train Acc: 76.336%
Epoch 71 | Train Loss: 1.058 | Train Acc: 76.134%
Epoch 72 | Train Loss: 1.051 | Train Acc: 76.494%
Epoch 73 | Train Loss: 1.052 | Train Acc: 76.464%
Epoch 74 | Train Loss: 1.046 | Train Acc: 76.741%
Epoch 75 | Train Loss: 1.036 | Train Acc: 77.007%
Epoch 76 | Train Loss: 1.026 | Train Acc: 77.328%
Epoch 77 | Train Loss: 1.030 | Train Acc: 77.674%
Epoch 78 | Train Loss: 1.052 | Train Acc: 76.530%
Epoch 79 | Train Loss: 1.085 | Train Acc: 75.196%
Epoch 80 | Train Loss: 1.050 | Train Acc: 76.488%
Epoch 81 | Train Loss: 1.019 | Train Acc: 77.901%
Epoch 82 | Train Loss: 1.044 | Train Acc: 76.771%
Epoch 83 | Train Loss: 1.055 | Train Acc: 76.362%
Epoch 84 | Train Loss: 1.042 | Train Acc: 76.715%
Epoch 85 | Train Loss: 1.023 | Train Acc: 77.644%
Epoch 86 | Train Loss: 0.996 | Train Acc: 78.806%
Epoch 87 | Train Loss: 1.004 | Train Acc: 78.540%
Epoch 88 | Train Loss: 1.069 | Train Acc: 75.777%
Epoch 89 | Train Loss: 1.055 | Train Acc: 76.526%
Epoch 90 | Train Loss: 1.042 | Train Acc: 76.871%
Epoch 91 | Train Loss: 1.029 | Train Acc: 77.410%
Epoch 92 | Train Loss: 1.023 | Train Acc: 77.861%
Epoch 93 | Train Loss: 1.016 | Train Acc: 78.039%
