Epoch 0 | Train Loss: 2.094 | Train Acc: 24.571%
Epoch 1 | Train Loss: 1.890 | Train Acc: 36.088%
Epoch 2 | Train Loss: 1.759 | Train Acc: 42.957%
Epoch 3 | Train Loss: 1.670 | Train Acc: 47.608%
Epoch 4 | Train Loss: 1.566 | Train Acc: 53.041%
Epoch 5 | Train Loss: 1.494 | Train Acc: 56.500%
Epoch 6 | Train Loss: 1.451 | Train Acc: 58.458%
Epoch 7 | Train Loss: 1.411 | Train Acc: 60.447%
Epoch 8 | Train Loss: 1.411 | Train Acc: 60.635%
Epoch 9 | Train Loss: 1.390 | Train Acc: 61.558%
Epoch 10 | Train Loss: 1.376 | Train Acc: 62.081%
Epoch 11 | Train Loss: 1.329 | Train Acc: 64.361%
Epoch 12 | Train Loss: 1.312 | Train Acc: 65.086%
Epoch 13 | Train Loss: 1.284 | Train Acc: 66.252%
Epoch 14 | Train Loss: 1.302 | Train Acc: 65.327%
Epoch 15 | Train Loss: 1.288 | Train Acc: 65.891%
Epoch 16 | Train Loss: 1.245 | Train Acc: 68.101%
Epoch 17 | Train Loss: 1.230 | Train Acc: 68.423%
Epoch 18 | Train Loss: 1.219 | Train Acc: 69.155%
Epoch 19 | Train Loss: 1.198 | Train Acc: 69.958%
Epoch 20 | Train Loss: 1.211 | Train Acc: 69.553%
Epoch 21 | Train Loss: 1.204 | Train Acc: 69.762%
Epoch 22 | Train Loss: 1.198 | Train Acc: 70.256%
Epoch 23 | Train Loss: 1.202 | Train Acc: 69.808%
Epoch 24 | Train Loss: 1.184 | Train Acc: 70.849%
Epoch 25 | Train Loss: 1.167 | Train Acc: 71.296%
Epoch 26 | Train Loss: 1.174 | Train Acc: 71.178%
Epoch 27 | Train Loss: 1.158 | Train Acc: 71.767%
Epoch 28 | Train Loss: 1.125 | Train Acc: 73.341%
Epoch 29 | Train Loss: 1.152 | Train Acc: 72.181%
Epoch 30 | Train Loss: 1.194 | Train Acc: 70.371%
Epoch 31 | Train Loss: 1.114 | Train Acc: 73.714%
Epoch 32 | Train Loss: 1.150 | Train Acc: 72.282%
Epoch 33 | Train Loss: 1.130 | Train Acc: 73.065%
Epoch 34 | Train Loss: 1.095 | Train Acc: 74.491%
Epoch 35 | Train Loss: 1.111 | Train Acc: 73.846%
Epoch 36 | Train Loss: 1.085 | Train Acc: 75.042%
Epoch 37 | Train Loss: 1.074 | Train Acc: 75.483%
Epoch 38 | Train Loss: 1.109 | Train Acc: 73.802%
Epoch 39 | Train Loss: 1.100 | Train Acc: 74.449%
Epoch 40 | Train Loss: 1.085 | Train Acc: 74.696%
Epoch 41 | Train Loss: 1.102 | Train Acc: 74.465%
Epoch 42 | Train Loss: 1.108 | Train Acc: 73.864%
Epoch 43 | Train Loss: 1.068 | Train Acc: 75.783%
Epoch 44 | Train Loss: 1.083 | Train Acc: 75.098%
Epoch 45 | Train Loss: 1.057 | Train Acc: 76.100%
Epoch 46 | Train Loss: 1.046 | Train Acc: 76.512%
Epoch 47 | Train Loss: 1.068 | Train Acc: 75.649%
Epoch 48 | Train Loss: 1.038 | Train Acc: 76.973%
Epoch 49 | Train Loss: 1.086 | Train Acc: 74.906%
Epoch 50 | Train Loss: 1.036 | Train Acc: 77.107%
Epoch 51 | Train Loss: 1.062 | Train Acc: 76.002%
Epoch 52 | Train Loss: 1.053 | Train Acc: 76.368%
Epoch 53 | Train Loss: 1.048 | Train Acc: 76.605%
Epoch 54 | Train Loss: 1.052 | Train Acc: 76.524%
Epoch 55 | Train Loss: 1.044 | Train Acc: 76.773%
Epoch 56 | Train Loss: 1.052 | Train Acc: 76.474%
Epoch 57 | Train Loss: 1.013 | Train Acc: 78.011%
Epoch 58 | Train Loss: 1.003 | Train Acc: 78.504%
Epoch 59 | Train Loss: 1.023 | Train Acc: 77.552%
Epoch 60 | Train Loss: 1.029 | Train Acc: 77.330%
Epoch 61 | Train Loss: 1.049 | Train Acc: 76.512%
Epoch 62 | Train Loss: 1.019 | Train Acc: 78.057%
Epoch 63 | Train Loss: 1.007 | Train Acc: 78.331%
Epoch 64 | Train Loss: 1.010 | Train Acc: 78.093%
Epoch 65 | Train Loss: 1.014 | Train Acc: 77.883%
Epoch 66 | Train Loss: 1.004 | Train Acc: 78.379%
Epoch 67 | Train Loss: 0.996 | Train Acc: 78.814%
Epoch 68 | Train Loss: 0.984 | Train Acc: 79.157%
Epoch 69 | Train Loss: 1.034 | Train Acc: 77.125%
Epoch 70 | Train Loss: 1.004 | Train Acc: 78.377%
Epoch 71 | Train Loss: 1.011 | Train Acc: 78.113%
Epoch 72 | Train Loss: 0.999 | Train Acc: 78.560%
Epoch 73 | Train Loss: 1.002 | Train Acc: 78.508%
Epoch 74 | Train Loss: 0.997 | Train Acc: 78.634%
Epoch 75 | Train Loss: 0.989 | Train Acc: 78.982%
Epoch 76 | Train Loss: 0.977 | Train Acc: 79.469%
Epoch 77 | Train Loss: 0.983 | Train Acc: 79.401%
Epoch 78 | Train Loss: 1.004 | Train Acc: 78.287%
Epoch 79 | Train Loss: 1.027 | Train Acc: 77.492%
Epoch 80 | Train Loss: 1.001 | Train Acc: 78.387%
Epoch 81 | Train Loss: 0.968 | Train Acc: 79.928%
Epoch 82 | Train Loss: 0.994 | Train Acc: 78.858%
Epoch 83 | Train Loss: 0.997 | Train Acc: 78.644%
Epoch 84 | Train Loss: 0.994 | Train Acc: 78.862%
Epoch 85 | Train Loss: 0.972 | Train Acc: 79.764%
Epoch 86 | Train Loss: 0.941 | Train Acc: 80.935%
Epoch 87 | Train Loss: 0.955 | Train Acc: 80.501%
Epoch 88 | Train Loss: 1.014 | Train Acc: 78.123%
Epoch 89 | Train Loss: 0.995 | Train Acc: 78.936%
Epoch 90 | Train Loss: 0.985 | Train Acc: 79.269%
Epoch 91 | Train Loss: 0.974 | Train Acc: 79.451%
Epoch 92 | Train Loss: 0.968 | Train Acc: 79.856%
Epoch 93 | Train Loss: 0.960 | Train Acc: 80.453%
Epoch 94 | Train Loss: 0.984 | Train Acc: 79.219%
Epoch 95 | Train Loss: 0.968 | Train Acc: 79.704%
Epoch 96 | Train Loss: 0.942 | Train Acc: 81.048%
Epoch 97 | Train Loss: 0.949 | Train Acc: 80.767%
Epoch 98 | Train Loss: 0.920 | Train Acc: 81.893%
Epoch 99 | Train Loss: 0.944 | Train Acc: 80.911%
Epoch 100 | Train Loss: 0.947 | Train Acc: 80.743%
Epoch 101 | Train Loss: 0.973 | Train Acc: 79.571%
Epoch 102 | Train Loss: 0.938 | Train Acc: 81.250%
Epoch 103 | Train Loss: 0.940 | Train Acc: 81.102%
Epoch 104 | Train Loss: 0.934 | Train Acc: 81.242%
Epoch 105 | Train Loss: 0.949 | Train Acc: 80.651%
Epoch 106 | Train Loss: 0.934 | Train Acc: 81.228%
Epoch 107 | Train Loss: 0.938 | Train Acc: 81.332%
Epoch 108 | Train Loss: 0.915 | Train Acc: 82.200%
Epoch 109 | Train Loss: 0.916 | Train Acc: 82.015%
Epoch 110 | Train Loss: 0.927 | Train Acc: 81.645%
Epoch 111 | Train Loss: 0.964 | Train Acc: 80.383%
Epoch 112 | Train Loss: 0.917 | Train Acc: 82.206%
Epoch 113 | Train Loss: 0.965 | Train Acc: 80.000%
Epoch 114 | Train Loss: 0.921 | Train Acc: 81.695%
Epoch 115 | Train Loss: 0.915 | Train Acc: 81.987%
Epoch 116 | Train Loss: 0.930 | Train Acc: 81.627%
Epoch 117 | Train Loss: 0.926 | Train Acc: 81.645%
Epoch 118 | Train Loss: 0.965 | Train Acc: 80.096%
Epoch 119 | Train Loss: 0.935 | Train Acc: 81.280%
Epoch 120 | Train Loss: 0.946 | Train Acc: 80.783%
Epoch 121 | Train Loss: 0.918 | Train Acc: 81.863%
Epoch 122 | Train Loss: 0.905 | Train Acc: 82.656%
Epoch 123 | Train Loss: 0.922 | Train Acc: 81.883%
Epoch 124 | Train Loss: 0.933 | Train Acc: 81.396%
Epoch 125 | Train Loss: 0.943 | Train Acc: 80.917%
Epoch 126 | Train Loss: 0.912 | Train Acc: 82.272%
Epoch 127 | Train Loss: 0.930 | Train Acc: 81.430%
Epoch 128 | Train Loss: 0.920 | Train Acc: 81.861%
Epoch 129 | Train Loss: 0.935 | Train Acc: 81.354%
Epoch 130 | Train Loss: 0.896 | Train Acc: 82.931%
Epoch 131 | Train Loss: 0.885 | Train Acc: 83.321%
