Epoch 0 | Train Loss: 2.181 | Train Acc: 21.306%
Epoch 1 | Train Loss: 2.127 | Train Acc: 24.569%
Epoch 2 | Train Loss: 2.102 | Train Acc: 25.887%
Epoch 3 | Train Loss: 2.090 | Train Acc: 26.256%
Epoch 4 | Train Loss: 2.067 | Train Acc: 27.694%
Epoch 5 | Train Loss: 2.036 | Train Acc: 28.744%
Epoch 6 | Train Loss: 2.015 | Train Acc: 29.712%
Epoch 7 | Train Loss: 1.992 | Train Acc: 31.032%
Epoch 8 | Train Loss: 1.988 | Train Acc: 31.458%
Epoch 9 | Train Loss: 1.974 | Train Acc: 31.815%
Epoch 10 | Train Loss: 1.965 | Train Acc: 32.376%
Epoch 11 | Train Loss: 1.946 | Train Acc: 33.548%
Epoch 12 | Train Loss: 1.927 | Train Acc: 34.271%
Epoch 13 | Train Loss: 1.912 | Train Acc: 34.994%
Epoch 14 | Train Loss: 1.918 | Train Acc: 34.842%
Epoch 15 | Train Loss: 1.909 | Train Acc: 35.278%
Epoch 16 | Train Loss: 1.887 | Train Acc: 36.334%
Epoch 17 | Train Loss: 1.873 | Train Acc: 36.843%
Epoch 18 | Train Loss: 1.864 | Train Acc: 37.350%
Epoch 19 | Train Loss: 1.845 | Train Acc: 38.323%
Epoch 20 | Train Loss: 1.845 | Train Acc: 38.504%
Epoch 21 | Train Loss: 1.838 | Train Acc: 38.892%
Epoch 22 | Train Loss: 1.844 | Train Acc: 39.097%
Epoch 23 | Train Loss: 1.833 | Train Acc: 39.183%
Epoch 24 | Train Loss: 1.820 | Train Acc: 40.074%
Epoch 25 | Train Loss: 1.804 | Train Acc: 40.489%
Epoch 26 | Train Loss: 1.808 | Train Acc: 40.777%
Epoch 27 | Train Loss: 1.800 | Train Acc: 40.839%
Epoch 28 | Train Loss: 1.770 | Train Acc: 42.141%
Epoch 29 | Train Loss: 1.783 | Train Acc: 41.899%
Epoch 30 | Train Loss: 1.803 | Train Acc: 41.072%
Epoch 31 | Train Loss: 1.751 | Train Acc: 43.245%
Epoch 32 | Train Loss: 1.768 | Train Acc: 42.712%
Epoch 33 | Train Loss: 1.754 | Train Acc: 43.227%
Epoch 34 | Train Loss: 1.732 | Train Acc: 44.275%
Epoch 35 | Train Loss: 1.733 | Train Acc: 44.407%
Epoch 36 | Train Loss: 1.720 | Train Acc: 44.992%
Epoch 37 | Train Loss: 1.708 | Train Acc: 45.445%
Epoch 38 | Train Loss: 1.719 | Train Acc: 44.896%
Epoch 39 | Train Loss: 1.709 | Train Acc: 45.419%
Epoch 40 | Train Loss: 1.714 | Train Acc: 45.226%
Epoch 41 | Train Loss: 1.708 | Train Acc: 45.789%
Epoch 42 | Train Loss: 1.710 | Train Acc: 45.753%
Epoch 43 | Train Loss: 1.677 | Train Acc: 47.210%
Epoch 44 | Train Loss: 1.684 | Train Acc: 46.825%
Epoch 45 | Train Loss: 1.670 | Train Acc: 47.208%
Epoch 46 | Train Loss: 1.663 | Train Acc: 47.626%
Epoch 47 | Train Loss: 1.668 | Train Acc: 47.540%
Epoch 48 | Train Loss: 1.642 | Train Acc: 48.662%
Epoch 49 | Train Loss: 1.672 | Train Acc: 47.410%
Epoch 50 | Train Loss: 1.642 | Train Acc: 48.826%
Epoch 51 | Train Loss: 1.660 | Train Acc: 48.005%
Epoch 52 | Train Loss: 1.647 | Train Acc: 48.690%
Epoch 53 | Train Loss: 1.640 | Train Acc: 48.904%
Epoch 54 | Train Loss: 1.637 | Train Acc: 49.215%
Epoch 55 | Train Loss: 1.637 | Train Acc: 48.922%
Epoch 56 | Train Loss: 1.634 | Train Acc: 49.291%
Epoch 57 | Train Loss: 1.613 | Train Acc: 49.848%
Epoch 58 | Train Loss: 1.599 | Train Acc: 50.968%
Epoch 59 | Train Loss: 1.606 | Train Acc: 50.451%
Epoch 60 | Train Loss: 1.611 | Train Acc: 50.427%
Epoch 61 | Train Loss: 1.625 | Train Acc: 49.621%
Epoch 62 | Train Loss: 1.601 | Train Acc: 50.549%
Epoch 63 | Train Loss: 1.588 | Train Acc: 51.494%
Epoch 64 | Train Loss: 1.598 | Train Acc: 50.733%
Epoch 65 | Train Loss: 1.592 | Train Acc: 51.462%
Epoch 66 | Train Loss: 1.586 | Train Acc: 51.558%
Epoch 67 | Train Loss: 1.576 | Train Acc: 51.979%
Epoch 68 | Train Loss: 1.564 | Train Acc: 52.216%
Epoch 69 | Train Loss: 1.588 | Train Acc: 51.593%
Epoch 70 | Train Loss: 1.574 | Train Acc: 52.460%
Epoch 71 | Train Loss: 1.573 | Train Acc: 52.226%
Epoch 72 | Train Loss: 1.566 | Train Acc: 52.560%
Epoch 73 | Train Loss: 1.556 | Train Acc: 53.421%
Epoch 74 | Train Loss: 1.560 | Train Acc: 52.815%
Epoch 75 | Train Loss: 1.562 | Train Acc: 52.550%
Epoch 76 | Train Loss: 1.540 | Train Acc: 53.754%
Epoch 77 | Train Loss: 1.540 | Train Acc: 53.662%
Epoch 78 | Train Loss: 1.562 | Train Acc: 52.847%
Epoch 79 | Train Loss: 1.566 | Train Acc: 52.897%
Epoch 80 | Train Loss: 1.554 | Train Acc: 53.285%
Epoch 81 | Train Loss: 1.519 | Train Acc: 54.551%
Epoch 82 | Train Loss: 1.537 | Train Acc: 53.980%
Epoch 83 | Train Loss: 1.557 | Train Acc: 53.099%
Epoch 84 | Train Loss: 1.527 | Train Acc: 54.585%
Epoch 85 | Train Loss: 1.525 | Train Acc: 54.351%
Epoch 86 | Train Loss: 1.491 | Train Acc: 56.112%
Epoch 87 | Train Loss: 1.498 | Train Acc: 55.699%
Epoch 88 | Train Loss: 1.551 | Train Acc: 53.526%
Epoch 89 | Train Loss: 1.526 | Train Acc: 54.760%
Epoch 90 | Train Loss: 1.516 | Train Acc: 54.936%
Epoch 91 | Train Loss: 1.516 | Train Acc: 54.840%
Epoch 92 | Train Loss: 1.497 | Train Acc: 55.849%
Epoch 93 | Train Loss: 1.490 | Train Acc: 56.396%
Epoch 94 | Train Loss: 1.514 | Train Acc: 55.116%
Epoch 95 | Train Loss: 1.498 | Train Acc: 55.537%
Epoch 96 | Train Loss: 1.467 | Train Acc: 57.075%
Epoch 97 | Train Loss: 1.487 | Train Acc: 56.308%
Epoch 98 | Train Loss: 1.456 | Train Acc: 57.684%
Epoch 99 | Train Loss: 1.480 | Train Acc: 56.542%
Epoch 100 | Train Loss: 1.465 | Train Acc: 57.276%
Epoch 101 | Train Loss: 1.498 | Train Acc: 55.923%
Epoch 102 | Train Loss: 1.449 | Train Acc: 57.979%
Epoch 103 | Train Loss: 1.452 | Train Acc: 57.827%
Epoch 104 | Train Loss: 1.454 | Train Acc: 57.666%
Epoch 105 | Train Loss: 1.483 | Train Acc: 56.587%
Epoch 106 | Train Loss: 1.453 | Train Acc: 57.778%
Epoch 107 | Train Loss: 1.449 | Train Acc: 57.963%
Epoch 108 | Train Loss: 1.432 | Train Acc: 58.916%
Epoch 109 | Train Loss: 1.434 | Train Acc: 58.628%
Epoch 110 | Train Loss: 1.431 | Train Acc: 59.065%
Epoch 111 | Train Loss: 1.452 | Train Acc: 58.069%
Epoch 112 | Train Loss: 1.411 | Train Acc: 59.880%
Epoch 113 | Train Loss: 1.469 | Train Acc: 57.336%
Epoch 114 | Train Loss: 1.432 | Train Acc: 58.790%
Epoch 115 | Train Loss: 1.419 | Train Acc: 59.399%
Epoch 116 | Train Loss: 1.433 | Train Acc: 58.804%
Epoch 117 | Train Loss: 1.427 | Train Acc: 59.056%
Epoch 118 | Train Loss: 1.448 | Train Acc: 58.303%
Epoch 119 | Train Loss: 1.427 | Train Acc: 59.135%
Epoch 120 | Train Loss: 1.441 | Train Acc: 58.534%
Epoch 121 | Train Loss: 1.411 | Train Acc: 59.868%
Epoch 122 | Train Loss: 1.392 | Train Acc: 60.781%
Epoch 123 | Train Loss: 1.400 | Train Acc: 60.377%
