Epoch 0 | Train Loss: 2.184 | Train Acc: 21.749%
Epoch 1 | Train Loss: 2.126 | Train Acc: 24.569%
Epoch 2 | Train Loss: 2.102 | Train Acc: 25.647%
Epoch 3 | Train Loss: 2.090 | Train Acc: 26.436%
Epoch 4 | Train Loss: 2.065 | Train Acc: 27.652%
Epoch 5 | Train Loss: 2.041 | Train Acc: 28.564%
Epoch 6 | Train Loss: 2.011 | Train Acc: 29.980%
Epoch 7 | Train Loss: 1.990 | Train Acc: 31.382%
Epoch 8 | Train Loss: 1.981 | Train Acc: 31.699%
Epoch 9 | Train Loss: 1.968 | Train Acc: 32.212%
Epoch 10 | Train Loss: 1.952 | Train Acc: 32.788%
Epoch 11 | Train Loss: 1.934 | Train Acc: 33.946%
Epoch 12 | Train Loss: 1.918 | Train Acc: 34.862%
Epoch 13 | Train Loss: 1.890 | Train Acc: 35.697%
Epoch 14 | Train Loss: 1.900 | Train Acc: 35.711%
Epoch 15 | Train Loss: 1.885 | Train Acc: 36.733%
Epoch 16 | Train Loss: 1.856 | Train Acc: 37.800%
Epoch 17 | Train Loss: 1.844 | Train Acc: 38.698%
Epoch 18 | Train Loss: 1.826 | Train Acc: 39.453%
Epoch 19 | Train Loss: 1.810 | Train Acc: 40.274%
Epoch 20 | Train Loss: 1.807 | Train Acc: 40.755%
Epoch 21 | Train Loss: 1.792 | Train Acc: 41.538%
Epoch 22 | Train Loss: 1.783 | Train Acc: 41.831%
Epoch 23 | Train Loss: 1.783 | Train Acc: 42.035%
Epoch 24 | Train Loss: 1.767 | Train Acc: 42.704%
Epoch 25 | Train Loss: 1.751 | Train Acc: 43.558%
Epoch 26 | Train Loss: 1.754 | Train Acc: 43.500%
Epoch 27 | Train Loss: 1.737 | Train Acc: 44.167%
Epoch 28 | Train Loss: 1.702 | Train Acc: 45.517%
Epoch 29 | Train Loss: 1.718 | Train Acc: 45.116%
Epoch 30 | Train Loss: 1.734 | Train Acc: 44.683%
Epoch 31 | Train Loss: 1.682 | Train Acc: 46.781%
Epoch 32 | Train Loss: 1.706 | Train Acc: 45.857%
Epoch 33 | Train Loss: 1.682 | Train Acc: 47.135%
Epoch 34 | Train Loss: 1.661 | Train Acc: 47.861%
Epoch 35 | Train Loss: 1.661 | Train Acc: 47.937%
Epoch 36 | Train Loss: 1.638 | Train Acc: 49.048%
Epoch 37 | Train Loss: 1.622 | Train Acc: 49.882%
Epoch 38 | Train Loss: 1.649 | Train Acc: 48.540%
Epoch 39 | Train Loss: 1.636 | Train Acc: 49.431%
Epoch 40 | Train Loss: 1.626 | Train Acc: 49.792%
Epoch 41 | Train Loss: 1.625 | Train Acc: 49.842%
Epoch 42 | Train Loss: 1.621 | Train Acc: 50.262%
Epoch 43 | Train Loss: 1.590 | Train Acc: 51.480%
Epoch 44 | Train Loss: 1.602 | Train Acc: 50.685%
Epoch 45 | Train Loss: 1.576 | Train Acc: 52.117%
Epoch 46 | Train Loss: 1.563 | Train Acc: 52.644%
Epoch 47 | Train Loss: 1.577 | Train Acc: 52.151%
