Epoch 0 | Train Loss: 4.440 | Train Acc: 3.790%
Epoch 1 | Train Loss: 4.235 | Train Acc: 7.155%
Epoch 2 | Train Loss: 4.025 | Train Acc: 11.222%
Epoch 3 | Train Loss: 3.838 | Train Acc: 15.120%
Epoch 4 | Train Loss: 3.642 | Train Acc: 19.527%
Epoch 5 | Train Loss: 3.508 | Train Acc: 22.586%
Epoch 6 | Train Loss: 3.363 | Train Acc: 26.298%
Epoch 7 | Train Loss: 3.226 | Train Acc: 29.896%
Epoch 8 | Train Loss: 3.142 | Train Acc: 32.101%
Epoch 9 | Train Loss: 3.100 | Train Acc: 33.454%
Epoch 10 | Train Loss: 3.029 | Train Acc: 35.174%
Epoch 11 | Train Loss: 2.948 | Train Acc: 37.666%
Epoch 12 | Train Loss: 2.918 | Train Acc: 38.081%
Epoch 13 | Train Loss: 2.797 | Train Acc: 41.340%
Epoch 14 | Train Loss: 2.826 | Train Acc: 40.950%
Epoch 15 | Train Loss: 2.729 | Train Acc: 43.247%
Epoch 16 | Train Loss: 2.717 | Train Acc: 44.002%
Epoch 17 | Train Loss: 2.762 | Train Acc: 42.905%
Epoch 18 | Train Loss: 2.639 | Train Acc: 45.974%
Epoch 19 | Train Loss: 2.604 | Train Acc: 47.039%
Epoch 20 | Train Loss: 2.650 | Train Acc: 46.200%
Epoch 21 | Train Loss: 2.587 | Train Acc: 47.700%
Epoch 22 | Train Loss: 2.586 | Train Acc: 47.857%
Epoch 23 | Train Loss: 2.557 | Train Acc: 48.726%
Epoch 24 | Train Loss: 2.591 | Train Acc: 48.053%
Epoch 25 | Train Loss: 2.503 | Train Acc: 50.084%
Epoch 26 | Train Loss: 2.490 | Train Acc: 50.361%
Epoch 27 | Train Loss: 2.469 | Train Acc: 51.060%
Epoch 28 | Train Loss: 2.480 | Train Acc: 50.893%
Epoch 29 | Train Loss: 2.487 | Train Acc: 50.715%
Epoch 30 | Train Loss: 2.453 | Train Acc: 51.587%
Epoch 31 | Train Loss: 2.468 | Train Acc: 51.444%
Epoch 32 | Train Loss: 2.408 | Train Acc: 52.923%
Epoch 33 | Train Loss: 2.420 | Train Acc: 52.530%
Epoch 34 | Train Loss: 2.394 | Train Acc: 53.419%
Epoch 35 | Train Loss: 2.390 | Train Acc: 53.339%
Epoch 36 | Train Loss: 2.392 | Train Acc: 53.592%
Epoch 37 | Train Loss: 2.291 | Train Acc: 55.944%
Epoch 38 | Train Loss: 2.361 | Train Acc: 54.537%
Epoch 39 | Train Loss: 2.301 | Train Acc: 56.372%
Epoch 40 | Train Loss: 2.304 | Train Acc: 56.230%
Epoch 41 | Train Loss: 2.357 | Train Acc: 54.455%
Epoch 42 | Train Loss: 2.245 | Train Acc: 57.552%
Epoch 43 | Train Loss: 2.240 | Train Acc: 57.628%
Epoch 44 | Train Loss: 2.268 | Train Acc: 57.031%
Epoch 45 | Train Loss: 2.231 | Train Acc: 58.149%
Epoch 46 | Train Loss: 2.241 | Train Acc: 57.790%
Epoch 47 | Train Loss: 2.235 | Train Acc: 57.849%
Epoch 48 | Train Loss: 2.241 | Train Acc: 57.987%
Epoch 49 | Train Loss: 2.210 | Train Acc: 58.870%
Epoch 50 | Train Loss: 2.159 | Train Acc: 60.242%
Epoch 51 | Train Loss: 2.176 | Train Acc: 59.317%
Epoch 52 | Train Loss: 2.224 | Train Acc: 58.800%
Epoch 53 | Train Loss: 2.191 | Train Acc: 59.253%
Epoch 54 | Train Loss: 2.133 | Train Acc: 61.022%
Epoch 55 | Train Loss: 2.227 | Train Acc: 59.075%
Epoch 56 | Train Loss: 2.193 | Train Acc: 59.519%
Epoch 57 | Train Loss: 2.133 | Train Acc: 61.134%
Epoch 58 | Train Loss: 2.125 | Train Acc: 61.244%
Epoch 59 | Train Loss: 2.101 | Train Acc: 62.041%
Epoch 60 | Train Loss: 2.109 | Train Acc: 61.747%
Epoch 61 | Train Loss: 2.191 | Train Acc: 59.904%
Epoch 62 | Train Loss: 2.105 | Train Acc: 62.059%
Epoch 63 | Train Loss: 2.086 | Train Acc: 62.558%
Epoch 64 | Train Loss: 2.135 | Train Acc: 61.042%
Epoch 65 | Train Loss: 2.089 | Train Acc: 62.192%
Epoch 66 | Train Loss: 2.056 | Train Acc: 63.381%
Epoch 67 | Train Loss: 2.032 | Train Acc: 64.291%
Epoch 68 | Train Loss: 2.093 | Train Acc: 62.318%
Epoch 69 | Train Loss: 2.071 | Train Acc: 62.768%
Epoch 70 | Train Loss: 2.038 | Train Acc: 63.958%
Epoch 71 | Train Loss: 2.075 | Train Acc: 63.015%
Epoch 72 | Train Loss: 2.082 | Train Acc: 62.624%
Epoch 73 | Train Loss: 2.009 | Train Acc: 64.818%
Epoch 74 | Train Loss: 1.961 | Train Acc: 65.958%
Epoch 75 | Train Loss: 2.073 | Train Acc: 62.913%
Epoch 76 | Train Loss: 1.968 | Train Acc: 65.793%
Epoch 77 | Train Loss: 2.063 | Train Acc: 63.345%
Epoch 78 | Train Loss: 1.963 | Train Acc: 66.136%
Epoch 79 | Train Loss: 1.980 | Train Acc: 65.629%
Epoch 80 | Train Loss: 1.977 | Train Acc: 65.515%
Epoch 81 | Train Loss: 2.011 | Train Acc: 64.962%
Epoch 82 | Train Loss: 1.996 | Train Acc: 65.276%
Epoch 83 | Train Loss: 1.992 | Train Acc: 65.485%
Epoch 84 | Train Loss: 2.000 | Train Acc: 65.012%
Epoch 85 | Train Loss: 2.005 | Train Acc: 65.018%
Epoch 86 | Train Loss: 1.962 | Train Acc: 66.076%
Epoch 87 | Train Loss: 1.959 | Train Acc: 66.597%
Epoch 88 | Train Loss: 1.955 | Train Acc: 66.172%
Epoch 89 | Train Loss: 2.006 | Train Acc: 64.988%
Epoch 90 | Train Loss: 1.954 | Train Acc: 66.140%
Epoch 91 | Train Loss: 1.936 | Train Acc: 67.045%
Epoch 92 | Train Loss: 1.941 | Train Acc: 67.059%
Epoch 93 | Train Loss: 1.960 | Train Acc: 66.484%
Epoch 94 | Train Loss: 1.982 | Train Acc: 65.829%
Epoch 95 | Train Loss: 1.916 | Train Acc: 67.758%
Epoch 96 | Train Loss: 2.021 | Train Acc: 64.842%
Epoch 97 | Train Loss: 1.895 | Train Acc: 68.079%
Epoch 98 | Train Loss: 1.930 | Train Acc: 66.975%
