Epoch 0 | Train Loss: 4.604 | Train Acc: 1.725%
Epoch 1 | Train Loss: 4.176 | Train Acc: 8.350%
Epoch 2 | Train Loss: 3.659 | Train Acc: 18.742%
Epoch 3 | Train Loss: 3.358 | Train Acc: 25.827%
Epoch 4 | Train Loss: 3.157 | Train Acc: 30.919%
Epoch 5 | Train Loss: 2.992 | Train Acc: 35.383%
Epoch 6 | Train Loss: 2.827 | Train Acc: 39.984%
Epoch 7 | Train Loss: 2.712 | Train Acc: 43.068%
Epoch 8 | Train Loss: 2.610 | Train Acc: 45.821%
Epoch 9 | Train Loss: 2.540 | Train Acc: 47.859%
Epoch 10 | Train Loss: 2.481 | Train Acc: 49.593%
Epoch 11 | Train Loss: 2.423 | Train Acc: 51.259%
Epoch 12 | Train Loss: 2.375 | Train Acc: 52.548%
Epoch 13 | Train Loss: 2.332 | Train Acc: 53.852%
Epoch 14 | Train Loss: 2.297 | Train Acc: 54.869%
Epoch 15 | Train Loss: 2.263 | Train Acc: 55.867%
Epoch 16 | Train Loss: 2.228 | Train Acc: 56.910%
Epoch 17 | Train Loss: 2.205 | Train Acc: 57.568%
Epoch 18 | Train Loss: 2.178 | Train Acc: 58.407%
Epoch 19 | Train Loss: 2.153 | Train Acc: 59.208%
Epoch 20 | Train Loss: 2.134 | Train Acc: 59.700%
Epoch 21 | Train Loss: 2.106 | Train Acc: 60.484%
Epoch 22 | Train Loss: 2.096 | Train Acc: 60.716%
Epoch 23 | Train Loss: 2.070 | Train Acc: 61.490%
Epoch 24 | Train Loss: 2.055 | Train Acc: 62.096%
Epoch 25 | Train Loss: 2.037 | Train Acc: 62.577%
Epoch 26 | Train Loss: 2.021 | Train Acc: 62.997%
Epoch 27 | Train Loss: 2.010 | Train Acc: 63.322%
Epoch 28 | Train Loss: 1.989 | Train Acc: 63.842%
Epoch 29 | Train Loss: 1.979 | Train Acc: 64.181%
Epoch 30 | Train Loss: 1.963 | Train Acc: 64.822%
Epoch 31 | Train Loss: 1.956 | Train Acc: 64.922%
Epoch 32 | Train Loss: 1.940 | Train Acc: 65.469%
Epoch 33 | Train Loss: 1.929 | Train Acc: 65.793%
Epoch 34 | Train Loss: 1.919 | Train Acc: 66.031%
Epoch 35 | Train Loss: 1.901 | Train Acc: 66.599%
Epoch 36 | Train Loss: 1.892 | Train Acc: 66.833%
Epoch 37 | Train Loss: 1.885 | Train Acc: 67.044%
Epoch 38 | Train Loss: 1.873 | Train Acc: 67.454%
Epoch 39 | Train Loss: 1.866 | Train Acc: 67.688%
Epoch 40 | Train Loss: 1.856 | Train Acc: 68.066%
