
===== farc =====
c,x_before_farc_energy,x_before_farc_grad_energy,freq_farc_scalar,freq_farc_scalar_grad,gates_farc,gates_farc_grad,y_farc_energy,y_farc_grad_energy
0,0.107891,0.000009,0.047446,-0.000730,0.461373,0.000578,0.049778,0.000032
1,0.166884,0.000015,0.068787,0.000656,0.475751,0.005340,0.079395,0.000063
2,0.132632,0.000002,0.039838,0.000588,0.396461,-0.002004,0.052583,0.000067
3,0.112881,0.000067,0.030783,0.001602,0.466026,-0.009217,0.052605,0.000156
4,0.172331,0.000035,0.009472,0.000058,0.541074,-0.002065,0.093244,0.000043
5,0.088346,0.000009,0.041548,0.000091,0.526655,-0.000981,0.046528,0.000015
6,0.098986,0.000001,0.041193,-0.000767,0.392614,-0.001153,0.038863,0.000015
7,0.162681,0.000000,0.067318,0.000112,0.326476,-0.001858,0.053111,0.000016
8,0.100342,0.000003,0.044171,0.000946,0.453199,-0.000921,0.045475,0.000017
9,0.109545,0.000025,0.046217,-0.001201,0.519191,0.003460,0.056875,0.000037
10,0.213625,0.000087,0.060853,-0.000863,0.565343,0.002159,0.120772,0.000104
11,0.221580,0.000001,0.051182,-0.000149,0.562705,-0.000085,0.124684,0.000001
12,0.186223,0.000001,0.075622,0.000321,0.428464,-0.001158,0.079790,0.000016
13,0.126152,0.000001,0.034347,0.000683,0.429136,-0.000267,0.054136,0.000004
14,0.090691,0.000065,0.030241,-0.001641,0.506923,0.007750,0.045973,0.000155
15,0.138728,0.000032,0.055328,0.000032,0.546706,0.003521,0.075844,0.000040
16,0.039239,0.000002,0.024174,0.001119,0.395445,-0.000191,0.015517,0.000045
17,0.089518,0.000004,0.025547,0.000124,0.458840,-0.001027,0.041075,0.000015
18,0.039857,0.000069,0.019019,-0.000310,0.561724,-0.001866,0.022389,0.000072
19,0.230522,0.000054,0.041484,-0.000176,0.586060,-0.001210,0.135100,0.000064
20,0.146541,0.000006,0.046169,-0.000448,0.459423,-0.000687,0.067324,0.000016
21,0.042246,0.000046,0.018600,-0.000177,0.538055,0.001329,0.022731,0.000053
22,0.249368,0.000035,0.028061,0.000471,0.544603,-0.002264,0.135806,0.000044
23,0.161819,0.000016,0.043211,0.000033,0.561084,0.000386,0.090794,0.000021
24,0.084047,0.000025,0.020525,-0.000541,0.456514,-0.005055,0.038368,0.000077
25,0.252602,0.000004,0.013472,0.001534,0.562039,-0.000632,0.141972,0.000007
26,0.056014,0.000003,0.021684,-0.000373,0.352652,0.002721,0.019753,0.000058
27,0.033055,0.000015,0.017558,-0.000012,0.547332,0.001154,0.018092,0.000018
28,0.106800,0.000022,0.051276,-0.000450,0.481287,0.000271,0.051401,0.000029
29,0.149819,0.000011,0.060785,-0.000195,0.474773,0.000616,0.071130,0.000030
30,0.330841,0.000042,0.032866,-0.001994,0.701256,-0.000445,0.232004,0.000043
31,0.143325,0.000013,0.037983,0.000933,0.474254,-0.000606,0.067972,0.000027
32,0.095149,0.000019,0.043033,0.000670,0.498276,-0.000402,0.047411,0.000033
33,0.199339,0.000022,0.075261,0.000969,0.432369,-0.009762,0.086188,0.000089
34,0.144345,0.000002,0.056640,0.000372,0.383724,-0.002071,0.055389,0.000023
35,0.225602,0.000023,0.090642,-0.001417,0.565929,-0.002473,0.127675,0.000032
