
===== faf =====
c,x_late_energy,x_late_grad_energy,x_early_energy,x_early_grad_energy,attn_faf_1,attn_faf_1_grad,attn_faf_2,attn_faf_2_grad,pure_gated_early_energy,pure_gated_early_grad_energy,pure_gated_late_energy,pure_gated_late_grad_energy,y_faf_energy,y_faf_grad_energy
0,0.180324,0.000198,0.055516,0.000032,0.162608,0.002182,0.012148,0.008855,0.009027,0.000195,0.002191,0.000209,0.181181,0.000195
1,0.227168,0.000105,0.084246,0.000063,0.683572,0.002047,0.124666,0.007096,0.057589,0.000093,0.028320,0.000099,0.247181,0.000093
2,0.413564,0.000104,0.002845,0.000067,0.922331,-0.000042,0.654253,0.010368,0.002624,0.000062,0.270576,0.000066,0.702156,0.000062
3,0.379674,0.000354,0.077871,0.000156,0.551950,-0.005127,0.262415,-0.041840,0.042981,0.000275,0.099632,0.000294,0.492853,0.000275
4,0.273068,0.000090,0.218529,0.000043,0.967503,-0.002098,0.929750,-0.004303,0.211428,0.000045,0.253885,0.000048,0.668561,0.000045
5,0.184884,0.000014,0.108201,0.000015,0.749332,-0.000313,0.285233,-0.000271,0.081078,0.000011,0.052735,0.000012,0.195941,0.000011
6,0.150295,0.000059,0.010901,0.000015,0.101874,0.000066,0.999976,0.000590,0.001111,0.000028,0.150292,0.000030,0.310369,0.000028
7,0.266217,0.000041,0.001954,0.000016,0.392795,-0.000018,0.164756,-0.003260,0.000767,0.000036,0.043861,0.000038,0.313422,0.000036
8,0.218789,0.000004,0.026155,0.000017,0.910812,0.000011,0.236919,0.000118,0.023822,0.000002,0.051835,0.000002,0.268101,0.000002
9,0.144948,0.000053,0.121437,0.000037,0.742966,0.001745,0.141240,-0.000315,0.090224,0.000046,0.020472,0.000049,0.192438,0.000046
10,0.512127,0.000161,0.126817,0.000104,0.903195,0.000824,0.370573,0.023408,0.114541,0.000115,0.189781,0.000123,0.754162,0.000115
