
===== block_0 =====
c,freq_fgconv_scalar,freq_fgconv_grad,gate_fgconv,gate_fgconv_grad,z_fgconv_energy,z_fgconv_grad_energy,pure_gated_fgconv_energy,pure_gated_fgconv_grad_energy,y_fgconv_energy,y_fgconv_grad_energy
0,0.047446,-0.001381,0.283577,-0.024952,0.639778,0.000054,0.181426,0.000147,0.237564,0.000147
1,0.068787,-0.003251,0.517135,0.017708,2.659620,0.000048,1.375383,0.000080,1.608753,0.000080
2,0.039838,0.001931,0.290085,0.001933,1.105004,0.000040,0.320546,0.000105,0.417505,0.000105
3,0.030783,0.002889,0.320549,-0.001777,0.360362,0.000049,0.115514,0.000119,0.147134,0.000119
4,0.009472,-0.004028,0.352491,0.003148,0.665713,0.000044,0.234658,0.000101,0.293071,0.000101
5,0.041548,0.003847,0.305890,0.005917,0.494783,0.000036,0.151349,0.000091,0.194764,0.000091
6,0.041193,0.002758,0.202597,-0.012701,0.664360,0.000028,0.134598,0.000096,0.192893,0.000096
7,0.067318,-0.002328,0.180854,-0.017521,0.475859,0.000065,0.086061,0.000243,0.127816,0.000243
8,0.044171,-0.007275,0.274218,0.011383,0.844936,0.000044,0.231697,0.000121,0.305836,0.000121
9,0.046217,0.001903,0.411518,-0.019074,0.662307,0.000039,0.272551,0.000078,0.330666,0.000078
10,0.060853,-0.003369,0.272298,0.002287,0.449186,0.000045,0.122313,0.000126,0.161727,0.000126
11,0.051182,-0.004901,0.245571,-0.009614,0.476847,0.000077,0.117100,0.000232,0.158941,0.000232
12,0.075622,0.004396,0.461755,-0.006614,1.477559,0.000037,0.682270,0.000067,0.811920,0.000067
13,0.034347,-0.002887,0.292304,0.001070,0.871832,0.000039,0.254840,0.000102,0.331340,0.000102
14,0.030241,0.004826,0.737550,-0.005288,2.925333,0.000037,2.157580,0.000045,2.414265,0.000045
15,0.055328,-0.004620,0.306140,0.012564,0.534563,0.000049,0.163651,0.000125,0.210557,0.000125
16,0.024174,-0.000468,0.195688,0.010905,0.440877,0.000059,0.086274,0.000209,0.124959,0.000209
17,0.025547,-0.002439,0.470604,0.002071,0.414708,0.000040,0.195163,0.000072,0.231552,0.000072
18,0.019019,-0.007082,0.206578,-0.027313,0.407978,0.000049,0.084279,0.000167,0.120078,0.000167
19,0.041484,-0.001047,0.325121,0.003781,0.406870,0.000049,0.132282,0.000119,0.167983,0.000119
20,0.046169,-0.003140,0.417382,-0.006493,0.285096,0.000037,0.118994,0.000073,0.144010,0.000073
21,0.018600,-0.004665,0.268243,0.007115,0.535733,0.000067,0.143707,0.000187,0.190715,0.000187
22,0.028061,0.002883,0.212610,-0.003834,0.448133,0.000060,0.095277,0.000200,0.134599,0.000200
23,0.043211,0.000822,0.197032,0.001811,0.460688,0.000049,0.090770,0.000170,0.131194,0.000170
24,0.020525,0.000974,0.500441,-0.012475,2.197679,0.000028,1.099809,0.000047,1.292646,0.000047
25,0.013472,-0.001718,0.321080,0.011733,0.804739,0.000041,0.258386,0.000101,0.328998,0.000101
26,0.021684,-0.000040,0.505565,-0.001173,1.788411,0.000024,0.904158,0.000040,1.061083,0.000040
27,0.017558,0.003088,0.448556,-0.001884,0.669235,0.000019,0.300189,0.000035,0.358912,0.000035
28,0.051276,-0.001853,0.232874,0.011590,0.469057,0.000030,0.109231,0.000094,0.150389,0.000094
29,0.060785,0.003096,0.322884,-0.000201,0.667345,0.000056,0.215475,0.000136,0.274032,0.000136
30,0.032866,-0.001147,0.260288,-0.015819,0.441150,0.000079,0.114826,0.000228,0.153535,0.000228
31,0.037983,0.003539,0.414296,-0.000064,1.267033,0.000026,0.524927,0.000051,0.636103,0.000051
32,0.043033,0.005680,0.239306,0.006306,0.621364,0.000037,0.148696,0.000112,0.203218,0.000112
33,0.075261,0.004326,0.324497,0.002403,0.671491,0.000056,0.217897,0.000136,0.276817,0.000136
34,0.056640,0.000471,0.437687,0.001046,1.767213,0.000031,0.773485,0.000059,0.928551,0.000059
35,0.090642,-0.000486,0.448958,0.005504,0.839760,0.000032,0.377017,0.000060,0.450702,0.000060
36,0.063037,0.006241,0.230635,-0.007523,0.501000,0.000026,0.115548,0.000081,0.159509,0.000081
37,0.002183,-0.000237,0.221305,-0.006116,0.417339,0.000042,0.092359,0.000136,0.128979,0.000136
38,0.066667,0.004865,0.288317,-0.011321,0.461063,0.000080,0.132932,0.000214,0.173389,0.000214
39,0.031423,0.006705,0.542906,0.018730,2.040309,0.000042,1.107697,0.000067,1.286725,0.000067
40,0.015133,0.002473,0.569603,-0.010962,2.801432,0.000065,1.595704,0.000098,1.841518,0.000098
41,0.024047,0.003189,0.382321,0.007449,0.994516,0.000050,0.380225,0.000107,0.467489,0.000107
42,0.051061,0.002706,0.732992,0.000633,2.242477,0.000026,1.643718,0.000032,1.840486,0.000032
43,0.035273,0.001164,0.318520,-0.000667,0.404197,0.000041,0.128745,0.000102,0.164211,0.000102
44,0.083153,-0.001079,0.595578,-0.002932,2.253934,0.000039,1.342394,0.000058,1.540167,0.000058
45,0.036725,-0.000999,0.643820,0.000783,2.515781,0.000040,1.619711,0.000054,1.840460,0.000054
46,0.015854,-0.000679,0.211543,0.001810,0.332718,0.000061,0.070384,0.000204,0.099579,0.000204
47,0.060608,0.001310,0.379753,-0.001987,0.338547,0.000051,0.128564,0.000109,0.158270,0.000109
48,0.043814,-0.000524,0.393263,0.016405,1.427626,0.000046,0.561432,0.000095,0.686701,0.000095
49,0.010085,0.002032,0.194314,-0.007620,0.512741,0.000043,0.099633,0.000152,0.144624,0.000152
50,0.091004,-0.003576,0.673672,-0.001287,1.801818,0.000039,1.213834,0.000051,1.371936,0.000051
51,0.022215,0.001122,0.221210,0.012498,0.503486,0.000039,0.111376,0.000125,0.155555,0.000125
52,0.031158,0.001108,0.171127,-0.002286,0.726658,0.000032,0.124351,0.000122,0.188112,0.000122
53,0.033474,-0.003925,0.238171,0.002179,0.598933,0.000038,0.142649,0.000115,0.195202,0.000115
54,0.099697,0.002820,0.250826,0.007400,0.336620,0.000038,0.084433,0.000111,0.113970,0.000111
55,0.026401,0.001154,0.142466,-0.002077,0.470173,0.000048,0.066984,0.000209,0.108240,0.000209
56,0.020050,-0.002972,0.223158,0.019159,0.431491,0.000040,0.096291,0.000130,0.134152,0.000130
57,0.039971,-0.006049,0.572615,0.004871,2.667195,0.000025,1.527276,0.000038,1.761311,0.000038
58,0.035106,0.003792,0.284770,-0.023230,0.415484,0.000081,0.118318,0.000218,0.154774,0.000218
59,0.018987,0.002533,0.429849,0.003352,1.863692,0.000036,0.801107,0.000070,0.964638,0.000070
60,0.027601,0.004397,0.261143,-0.021081,0.800811,0.000042,0.209126,0.000120,0.279394,0.000120
61,0.062378,0.003756,0.287151,0.021149,0.349902,0.000061,0.100475,0.000163,0.131177,0.000163
62,0.034563,-0.004529,0.220059,-0.001390,0.563230,0.000053,0.123944,0.000171,0.173365,0.000171
63,0.036414,0.003518,0.146606,-0.017622,0.596318,0.000053,0.087424,0.000228,0.139748,0.000228
64,0.025312,0.000636,0.263087,-0.003537,1.408143,0.000039,0.370464,0.000111,0.494022,0.000111
65,0.025027,-0.001067,0.361737,0.001756,0.435393,0.000036,0.157498,0.000081,0.195702,0.000081
66,0.053740,0.000962,0.341985,-0.003894,0.576444,0.000033,0.197135,0.000076,0.247715,0.000076
67,0.028580,0.004331,0.213441,0.004144,0.460996,0.000032,0.098396,0.000108,0.138846,0.000108
68,0.022595,-0.002437,0.766802,0.000562,2.827010,0.000059,2.167756,0.000070,2.415814,0.000070
69,0.030605,0.005383,0.237606,0.002119,0.362342,0.000046,0.086095,0.000141,0.117889,0.000141
70,0.046378,-0.005735,0.291487,0.005187,1.055217,0.000039,0.307582,0.000103,0.400173,0.000103
71,0.030841,-0.000180,0.416692,-0.009076,0.790351,0.000035,0.329332,0.000070,0.398682,0.000070
72,0.026188,0.001811,0.300252,-0.002938,0.950549,0.000032,0.285404,0.000081,0.368811,0.000081
73,0.055374,0.002178,0.321355,-0.005729,0.659820,0.000042,0.212037,0.000104,0.269933,0.000104
74,0.038934,0.003062,0.327766,-0.000345,0.498591,0.000045,0.163421,0.000109,0.207170,0.000109
75,0.020374,-0.002005,0.461971,-0.001243,1.790176,0.000025,0.827010,0.000045,0.984090,0.000045
76,0.025005,0.003149,0.228869,-0.001093,0.420709,0.000018,0.096287,0.000056,0.133203,0.000056
77,0.015672,0.002672,0.418061,-0.005391,1.055353,0.000044,0.441202,0.000088,0.533805,0.000088
78,0.038224,0.000866,0.280335,0.027141,0.763152,0.000022,0.213938,0.000059,0.280902,0.000059
79,0.035528,-0.004326,0.171537,0.015658,0.523107,0.000028,0.089732,0.000107,0.135633,0.000107
80,0.060714,0.005050,0.265253,-0.007105,0.599941,0.000049,0.159136,0.000140,0.211779,0.000140
81,0.040222,-0.007018,0.169885,-0.030743,0.589378,0.000043,0.100127,0.000166,0.151842,0.000166
82,0.038461,-0.001628,0.264055,-0.003647,0.501441,0.000048,0.132408,0.000138,0.176407,0.000138
83,0.077551,0.003518,0.116006,0.015918,0.694157,0.000023,0.080526,0.000112,0.141436,0.000112
84,0.025966,-0.005599,0.273200,-0.004349,0.428021,0.000030,0.116935,0.000082,0.154492,0.000082
85,0.012215,0.002563,0.511303,-0.009904,1.694675,0.000046,0.866492,0.000077,1.015193,0.000077
86,0.015744,0.001479,0.445240,0.000687,1.522911,0.000037,0.678060,0.000069,0.811689,0.000069
87,0.032894,0.004456,0.340544,-0.004599,0.938556,0.000042,0.319620,0.000097,0.401974,0.000097
88,0.065571,0.003710,0.309193,-0.000209,0.754073,0.000037,0.233154,0.000092,0.299321,0.000092
89,0.254566,0.004112,0.351506,-0.045691,1.290281,0.000060,0.453542,0.000135,0.566759,0.000135
90,0.043891,-0.005704,0.317669,-0.002785,0.604881,0.000050,0.192152,0.000123,0.245228,0.000123
91,0.056997,0.000445,0.156987,0.007292,0.433196,0.000045,0.068006,0.000182,0.106017,0.000182
92,0.080543,0.003903,0.127536,0.027688,0.767758,0.000024,0.097917,0.000111,0.165284,0.000111
93,0.029356,0.000409,0.671375,-0.001222,1.402917,0.000017,0.941884,0.000022,1.064983,0.000022
94,0.027821,-0.004416,0.501642,0.005639,1.660217,0.000034,0.832834,0.000057,0.978511,0.000057
95,0.082180,0.004186,0.419452,0.003739,1.228067,0.000026,0.515115,0.000052,0.622873,0.000052
96,0.031534,-0.005006,0.158138,-0.009697,0.455739,0.000038,0.072070,0.000153,0.112059,0.000153
97,0.040047,0.002315,0.625072,0.005873,2.092571,0.000026,1.308008,0.000036,1.491622,0.000036
98,0.017623,0.002655,0.299418,-0.045872,0.957448,0.000039,0.286677,0.000102,0.370689,0.000102
99,0.066271,0.005351,0.209652,-0.009358,0.495350,0.000034,0.103851,0.000115,0.147316,0.000115
100,0.061472,0.002182,0.201582,0.004559,0.809700,0.000027,0.163221,0.000093,0.234268,0.000093
101,0.028660,0.003165,0.213995,0.005071,0.298588,0.000081,0.063896,0.000267,0.090096,0.000267
102,0.045708,0.006516,0.172426,0.007166,0.553527,0.000015,0.095442,0.000059,0.144012,0.000059
103,0.042383,-0.007149,0.438430,-0.018415,1.284779,0.000058,0.563285,0.000110,0.676019,0.000110
104,0.052286,-0.004000,0.326072,-0.000082,0.302526,0.000056,0.098645,0.000135,0.125191,0.000135
105,0.014368,-0.000252,0.261603,-0.000852,0.385550,0.000035,0.100861,0.000099,0.134691,0.000099
106,0.035190,-0.001798,0.319153,-0.007891,0.539939,0.000037,0.172323,0.000091,0.219700,0.000091
107,0.057878,-0.001677,0.455248,-0.004072,1.828615,0.000044,0.832472,0.000081,0.992926,0.000081
108,0.021711,-0.002728,0.312808,-0.006143,1.008956,0.000028,0.315609,0.000069,0.404141,0.000069
109,0.062845,0.000261,0.251158,0.012555,0.586421,0.000034,0.147284,0.000100,0.198740,0.000100
110,0.038204,0.004298,0.885076,-0.003035,2.834941,0.000033,2.509137,0.000034,2.757892,0.000034
111,0.009151,0.002228,0.359834,0.010493,0.398794,0.000051,0.143500,0.000114,0.178492,0.000114
112,0.083260,0.004618,0.334618,0.002777,1.625191,0.000028,0.543818,0.000067,0.686422,0.000067
113,0.043853,-0.006164,0.427213,-0.007819,1.381998,0.000052,0.590408,0.000101,0.711672,0.000101
114,0.062852,0.002301,0.489171,-0.000558,0.561603,0.000038,0.274720,0.000067,0.323998,0.000067
115,0.098143,0.003932,0.218564,-0.000196,0.417697,0.000073,0.091294,0.000237,0.127945,0.000237
116,0.058505,0.003969,0.228560,-0.001950,0.455821,0.000030,0.104182,0.000094,0.144179,0.000094
117,0.048345,-0.002470,0.287655,-0.001835,1.005767,0.000025,0.289314,0.000066,0.377566,0.000066
118,0.030278,0.002869,0.492211,-0.000522,0.652869,0.000024,0.321349,0.000042,0.378636,0.000042
119,0.081216,0.000543,0.345559,-0.018679,2.021095,0.000042,0.698408,0.000096,0.875751,0.000096
120,0.028365,0.000147,0.391601,0.001707,0.944829,0.000032,0.369996,0.000067,0.452900,0.000067
