Epoch 0 | Train Loss: 4.465 | Train Acc: 3.448%
Epoch 1 | Train Loss: 4.271 | Train Acc: 6.208%
Epoch 2 | Train Loss: 4.107 | Train Acc: 9.617%
Epoch 3 | Train Loss: 3.944 | Train Acc: 12.758%
Epoch 4 | Train Loss: 3.755 | Train Acc: 16.597%
Epoch 5 | Train Loss: 3.613 | Train Acc: 20.090%
Epoch 6 | Train Loss: 3.461 | Train Acc: 23.722%
Epoch 7 | Train Loss: 3.337 | Train Acc: 26.799%
Epoch 8 | Train Loss: 3.227 | Train Acc: 29.700%
Epoch 9 | Train Loss: 3.179 | Train Acc: 31.062%
Epoch 10 | Train Loss: 3.110 | Train Acc: 33.095%
Epoch 11 | Train Loss: 3.024 | Train Acc: 35.357%
Epoch 12 | Train Loss: 3.000 | Train Acc: 36.032%
Epoch 13 | Train Loss: 2.885 | Train Acc: 38.800%
Epoch 14 | Train Loss: 2.902 | Train Acc: 38.834%
Epoch 15 | Train Loss: 2.805 | Train Acc: 41.064%
Epoch 16 | Train Loss: 2.807 | Train Acc: 41.230%
Epoch 17 | Train Loss: 2.846 | Train Acc: 40.391%
Epoch 18 | Train Loss: 2.720 | Train Acc: 43.337%
Epoch 19 | Train Loss: 2.676 | Train Acc: 44.730%
Epoch 20 | Train Loss: 2.726 | Train Acc: 44.069%
Epoch 21 | Train Loss: 2.656 | Train Acc: 45.615%
Epoch 22 | Train Loss: 2.666 | Train Acc: 45.194%
Epoch 23 | Train Loss: 2.654 | Train Acc: 45.657%
Epoch 24 | Train Loss: 2.669 | Train Acc: 45.343%
Epoch 25 | Train Loss: 2.585 | Train Acc: 47.770%
Epoch 26 | Train Loss: 2.577 | Train Acc: 47.971%
Epoch 27 | Train Loss: 2.564 | Train Acc: 48.498%
Epoch 28 | Train Loss: 2.569 | Train Acc: 48.347%
Epoch 29 | Train Loss: 2.578 | Train Acc: 48.159%
Epoch 30 | Train Loss: 2.551 | Train Acc: 48.816%
Epoch 31 | Train Loss: 2.550 | Train Acc: 48.920%
Epoch 32 | Train Loss: 2.493 | Train Acc: 50.495%
Epoch 33 | Train Loss: 2.506 | Train Acc: 50.194%
Epoch 34 | Train Loss: 2.499 | Train Acc: 50.270%
Epoch 35 | Train Loss: 2.484 | Train Acc: 50.545%
Epoch 36 | Train Loss: 2.496 | Train Acc: 50.435%
Epoch 37 | Train Loss: 2.401 | Train Acc: 52.899%
Epoch 38 | Train Loss: 2.463 | Train Acc: 51.562%
Epoch 39 | Train Loss: 2.384 | Train Acc: 53.744%
Epoch 40 | Train Loss: 2.401 | Train Acc: 53.321%
Epoch 41 | Train Loss: 2.453 | Train Acc: 51.937%
Epoch 42 | Train Loss: 2.360 | Train Acc: 54.119%
Epoch 43 | Train Loss: 2.334 | Train Acc: 54.892%
Epoch 44 | Train Loss: 2.367 | Train Acc: 54.273%
Epoch 45 | Train Loss: 2.330 | Train Acc: 55.090%
Epoch 46 | Train Loss: 2.330 | Train Acc: 55.056%
Epoch 47 | Train Loss: 2.341 | Train Acc: 54.972%
Epoch 48 | Train Loss: 2.351 | Train Acc: 55.008%
Epoch 49 | Train Loss: 2.307 | Train Acc: 56.198%
Epoch 50 | Train Loss: 2.280 | Train Acc: 56.502%
Epoch 51 | Train Loss: 2.288 | Train Acc: 56.290%
Epoch 52 | Train Loss: 2.319 | Train Acc: 55.749%
Epoch 53 | Train Loss: 2.297 | Train Acc: 56.330%
Epoch 54 | Train Loss: 2.243 | Train Acc: 57.873%
Epoch 55 | Train Loss: 2.333 | Train Acc: 55.623%
Epoch 56 | Train Loss: 2.299 | Train Acc: 56.268%
Epoch 57 | Train Loss: 2.246 | Train Acc: 57.690%
