Epoch 0 | Train Loss: 4.469 | Train Acc: 3.253%
Epoch 1 | Train Loss: 4.268 | Train Acc: 6.328%
Epoch 2 | Train Loss: 4.118 | Train Acc: 9.449%
Epoch 3 | Train Loss: 3.976 | Train Acc: 12.208%
Epoch 4 | Train Loss: 3.790 | Train Acc: 15.905%
Epoch 5 | Train Loss: 3.648 | Train Acc: 19.315%
Epoch 6 | Train Loss: 3.495 | Train Acc: 22.969%
Epoch 7 | Train Loss: 3.373 | Train Acc: 26.082%
Epoch 8 | Train Loss: 3.259 | Train Acc: 28.872%
Epoch 9 | Train Loss: 3.213 | Train Acc: 30.292%
Epoch 10 | Train Loss: 3.140 | Train Acc: 32.175%
Epoch 11 | Train Loss: 3.057 | Train Acc: 34.613%
Epoch 12 | Train Loss: 3.031 | Train Acc: 35.052%
Epoch 13 | Train Loss: 2.910 | Train Acc: 38.291%
Epoch 14 | Train Loss: 2.931 | Train Acc: 38.025%
Epoch 15 | Train Loss: 2.829 | Train Acc: 40.571%
Epoch 16 | Train Loss: 2.830 | Train Acc: 40.481%
Epoch 17 | Train Loss: 2.870 | Train Acc: 40.162%
Epoch 18 | Train Loss: 2.744 | Train Acc: 42.808%
Epoch 19 | Train Loss: 2.704 | Train Acc: 43.988%
Epoch 20 | Train Loss: 2.750 | Train Acc: 43.257%
Epoch 21 | Train Loss: 2.674 | Train Acc: 44.906%
Epoch 22 | Train Loss: 2.686 | Train Acc: 44.613%
Epoch 23 | Train Loss: 2.672 | Train Acc: 45.228%
Epoch 24 | Train Loss: 2.692 | Train Acc: 44.631%
Epoch 25 | Train Loss: 2.607 | Train Acc: 46.945%
Epoch 26 | Train Loss: 2.598 | Train Acc: 47.316%
Epoch 27 | Train Loss: 2.584 | Train Acc: 47.578%
Epoch 28 | Train Loss: 2.589 | Train Acc: 47.594%
Epoch 29 | Train Loss: 2.596 | Train Acc: 47.760%
Epoch 30 | Train Loss: 2.573 | Train Acc: 48.227%
Epoch 31 | Train Loss: 2.573 | Train Acc: 48.193%
Epoch 32 | Train Loss: 2.517 | Train Acc: 49.952%
Epoch 33 | Train Loss: 2.529 | Train Acc: 49.369%
Epoch 34 | Train Loss: 2.516 | Train Acc: 49.589%
