Epoch 0 | Train Loss: 4.473 | Train Acc: 3.259%
Epoch 1 | Train Loss: 4.285 | Train Acc: 6.092%
Epoch 2 | Train Loss: 4.152 | Train Acc: 8.640%
Epoch 3 | Train Loss: 4.042 | Train Acc: 10.933%
Epoch 4 | Train Loss: 3.894 | Train Acc: 13.618%
Epoch 5 | Train Loss: 3.779 | Train Acc: 16.609%
Epoch 6 | Train Loss: 3.642 | Train Acc: 19.756%
Epoch 7 | Train Loss: 3.530 | Train Acc: 22.432%
Epoch 8 | Train Loss: 3.418 | Train Acc: 24.956%
Epoch 9 | Train Loss: 3.366 | Train Acc: 26.490%
Epoch 10 | Train Loss: 3.289 | Train Acc: 28.317%
Epoch 11 | Train Loss: 3.211 | Train Acc: 30.411%
Epoch 12 | Train Loss: 3.181 | Train Acc: 31.206%
Epoch 13 | Train Loss: 3.068 | Train Acc: 34.157%
Epoch 14 | Train Loss: 3.074 | Train Acc: 34.375%
Epoch 15 | Train Loss: 2.980 | Train Acc: 36.318%
Epoch 16 | Train Loss: 2.976 | Train Acc: 36.773%
Epoch 17 | Train Loss: 3.007 | Train Acc: 36.230%
Epoch 18 | Train Loss: 2.887 | Train Acc: 39.153%
Epoch 19 | Train Loss: 2.847 | Train Acc: 39.988%
Epoch 20 | Train Loss: 2.880 | Train Acc: 39.589%
Epoch 21 | Train Loss: 2.810 | Train Acc: 41.388%
Epoch 22 | Train Loss: 2.821 | Train Acc: 40.803%
Epoch 23 | Train Loss: 2.800 | Train Acc: 41.791%
Epoch 24 | Train Loss: 2.821 | Train Acc: 41.198%
Epoch 25 | Train Loss: 2.739 | Train Acc: 43.367%
Epoch 26 | Train Loss: 2.730 | Train Acc: 43.620%
Epoch 27 | Train Loss: 2.712 | Train Acc: 44.121%
Epoch 28 | Train Loss: 2.713 | Train Acc: 44.315%
Epoch 29 | Train Loss: 2.723 | Train Acc: 43.924%
Epoch 30 | Train Loss: 2.695 | Train Acc: 44.826%
Epoch 31 | Train Loss: 2.694 | Train Acc: 44.896%
Epoch 32 | Train Loss: 2.639 | Train Acc: 46.358%
Epoch 33 | Train Loss: 2.655 | Train Acc: 45.972%
Epoch 34 | Train Loss: 2.640 | Train Acc: 46.370%
Epoch 35 | Train Loss: 2.632 | Train Acc: 46.260%
Epoch 36 | Train Loss: 2.633 | Train Acc: 46.605%
Epoch 37 | Train Loss: 2.545 | Train Acc: 48.620%
Epoch 38 | Train Loss: 2.602 | Train Acc: 47.306%
Epoch 39 | Train Loss: 2.527 | Train Acc: 49.339%
Epoch 40 | Train Loss: 2.548 | Train Acc: 49.048%
Epoch 41 | Train Loss: 2.593 | Train Acc: 47.694%
Epoch 42 | Train Loss: 2.507 | Train Acc: 49.824%
Epoch 43 | Train Loss: 2.474 | Train Acc: 50.839%
Epoch 44 | Train Loss: 2.508 | Train Acc: 50.120%
Epoch 45 | Train Loss: 2.471 | Train Acc: 51.354%
Epoch 46 | Train Loss: 2.473 | Train Acc: 50.887%
Epoch 47 | Train Loss: 2.483 | Train Acc: 50.873%
Epoch 48 | Train Loss: 2.489 | Train Acc: 50.843%
Epoch 49 | Train Loss: 2.443 | Train Acc: 52.093%
Epoch 50 | Train Loss: 2.419 | Train Acc: 52.388%
Epoch 51 | Train Loss: 2.429 | Train Acc: 52.127%
Epoch 52 | Train Loss: 2.457 | Train Acc: 51.709%
Epoch 53 | Train Loss: 2.436 | Train Acc: 52.526%
Epoch 54 | Train Loss: 2.390 | Train Acc: 53.624%
Epoch 55 | Train Loss: 2.463 | Train Acc: 51.817%
Epoch 56 | Train Loss: 2.441 | Train Acc: 52.238%
Epoch 57 | Train Loss: 2.391 | Train Acc: 53.532%
Epoch 58 | Train Loss: 2.386 | Train Acc: 53.654%
Epoch 59 | Train Loss: 2.354 | Train Acc: 54.649%
Epoch 60 | Train Loss: 2.361 | Train Acc: 54.533%
Epoch 61 | Train Loss: 2.431 | Train Acc: 52.704%
Epoch 62 | Train Loss: 2.375 | Train Acc: 53.934%
Epoch 63 | Train Loss: 2.346 | Train Acc: 54.445%
Epoch 64 | Train Loss: 2.384 | Train Acc: 53.866%
Epoch 65 | Train Loss: 2.348 | Train Acc: 54.605%
Epoch 66 | Train Loss: 2.320 | Train Acc: 55.365%
Epoch 67 | Train Loss: 2.291 | Train Acc: 56.198%
Epoch 68 | Train Loss: 2.350 | Train Acc: 54.696%
Epoch 69 | Train Loss: 2.329 | Train Acc: 55.178%
Epoch 70 | Train Loss: 2.301 | Train Acc: 56.190%
Epoch 71 | Train Loss: 2.330 | Train Acc: 55.375%
Epoch 72 | Train Loss: 2.353 | Train Acc: 54.964%
Epoch 73 | Train Loss: 2.284 | Train Acc: 56.821%
Epoch 74 | Train Loss: 2.239 | Train Acc: 57.494%
Epoch 75 | Train Loss: 2.343 | Train Acc: 55.214%
Epoch 76 | Train Loss: 2.241 | Train Acc: 57.893%
Epoch 77 | Train Loss: 2.336 | Train Acc: 55.501%
Epoch 78 | Train Loss: 2.229 | Train Acc: 58.057%
