Epoch 0 | Train Loss: 4.476 | Train Acc: 3.137%
Epoch 1 | Train Loss: 4.298 | Train Acc: 5.861%
Epoch 2 | Train Loss: 4.166 | Train Acc: 8.502%
Epoch 3 | Train Loss: 4.058 | Train Acc: 10.611%
Epoch 4 | Train Loss: 3.899 | Train Acc: 13.327%
Epoch 5 | Train Loss: 3.771 | Train Acc: 16.478%
Epoch 6 | Train Loss: 3.630 | Train Acc: 19.822%
Epoch 7 | Train Loss: 3.507 | Train Acc: 22.782%
Epoch 8 | Train Loss: 3.392 | Train Acc: 25.707%
Epoch 9 | Train Loss: 3.334 | Train Acc: 27.208%
Epoch 10 | Train Loss: 3.256 | Train Acc: 29.105%
Epoch 11 | Train Loss: 3.171 | Train Acc: 31.575%
Epoch 12 | Train Loss: 3.141 | Train Acc: 32.111%
Epoch 13 | Train Loss: 3.024 | Train Acc: 35.104%
Epoch 14 | Train Loss: 3.032 | Train Acc: 35.270%
Epoch 15 | Train Loss: 2.939 | Train Acc: 37.480%
Epoch 16 | Train Loss: 2.928 | Train Acc: 38.065%
Epoch 17 | Train Loss: 2.965 | Train Acc: 37.055%
Epoch 18 | Train Loss: 2.842 | Train Acc: 39.868%
Epoch 19 | Train Loss: 2.805 | Train Acc: 41.178%
Epoch 20 | Train Loss: 2.834 | Train Acc: 40.851%
Epoch 21 | Train Loss: 2.767 | Train Acc: 42.440%
Epoch 22 | Train Loss: 2.776 | Train Acc: 41.965%
Epoch 23 | Train Loss: 2.758 | Train Acc: 42.875%
Epoch 24 | Train Loss: 2.776 | Train Acc: 42.496%
Epoch 25 | Train Loss: 2.695 | Train Acc: 44.637%
Epoch 26 | Train Loss: 2.687 | Train Acc: 44.992%
Epoch 27 | Train Loss: 2.670 | Train Acc: 45.323%
Epoch 28 | Train Loss: 2.672 | Train Acc: 45.172%
Epoch 29 | Train Loss: 2.682 | Train Acc: 45.371%
Epoch 30 | Train Loss: 2.647 | Train Acc: 45.921%
Epoch 31 | Train Loss: 2.654 | Train Acc: 46.022%
Epoch 32 | Train Loss: 2.601 | Train Acc: 47.322%
Epoch 33 | Train Loss: 2.606 | Train Acc: 47.266%
Epoch 34 | Train Loss: 2.593 | Train Acc: 47.732%
Epoch 35 | Train Loss: 2.594 | Train Acc: 47.458%
Epoch 36 | Train Loss: 2.596 | Train Acc: 47.692%
Epoch 37 | Train Loss: 2.501 | Train Acc: 49.894%
Epoch 38 | Train Loss: 2.562 | Train Acc: 48.353%
Epoch 39 | Train Loss: 2.484 | Train Acc: 50.507%
Epoch 40 | Train Loss: 2.502 | Train Acc: 50.327%
Epoch 41 | Train Loss: 2.551 | Train Acc: 48.864%
Epoch 42 | Train Loss: 2.458 | Train Acc: 50.996%
Epoch 43 | Train Loss: 2.435 | Train Acc: 51.995%
Epoch 44 | Train Loss: 2.461 | Train Acc: 51.565%
Epoch 45 | Train Loss: 2.429 | Train Acc: 52.173%
Epoch 46 | Train Loss: 2.426 | Train Acc: 52.087%
Epoch 47 | Train Loss: 2.435 | Train Acc: 52.151%
Epoch 48 | Train Loss: 2.447 | Train Acc: 51.837%
Epoch 49 | Train Loss: 2.399 | Train Acc: 53.239%
