Epoch 0 | Train Loss: 4.476 | Train Acc: 3.069%
Epoch 1 | Train Loss: 4.297 | Train Acc: 5.629%
Epoch 2 | Train Loss: 4.160 | Train Acc: 8.421%
Epoch 3 | Train Loss: 4.045 | Train Acc: 10.617%
Epoch 4 | Train Loss: 3.881 | Train Acc: 13.820%
Epoch 5 | Train Loss: 3.739 | Train Acc: 17.226%
Epoch 6 | Train Loss: 3.589 | Train Acc: 20.697%
Epoch 7 | Train Loss: 3.467 | Train Acc: 23.496%
Epoch 8 | Train Loss: 3.349 | Train Acc: 26.432%
Epoch 9 | Train Loss: 3.297 | Train Acc: 28.069%
Epoch 10 | Train Loss: 3.221 | Train Acc: 29.776%
Epoch 11 | Train Loss: 3.132 | Train Acc: 32.306%
Epoch 12 | Train Loss: 3.101 | Train Acc: 33.119%
Epoch 13 | Train Loss: 2.985 | Train Acc: 35.946%
Epoch 14 | Train Loss: 2.996 | Train Acc: 36.118%
Epoch 15 | Train Loss: 2.902 | Train Acc: 38.341%
Epoch 16 | Train Loss: 2.899 | Train Acc: 38.492%
Epoch 17 | Train Loss: 2.927 | Train Acc: 38.045%
Epoch 18 | Train Loss: 2.803 | Train Acc: 40.990%
Epoch 19 | Train Loss: 2.765 | Train Acc: 41.849%
Epoch 20 | Train Loss: 2.801 | Train Acc: 41.569%
Epoch 21 | Train Loss: 2.733 | Train Acc: 43.051%
Epoch 22 | Train Loss: 2.738 | Train Acc: 43.073%
Epoch 23 | Train Loss: 2.723 | Train Acc: 43.778%
Epoch 24 | Train Loss: 2.741 | Train Acc: 43.295%
Epoch 25 | Train Loss: 2.657 | Train Acc: 45.300%
Epoch 26 | Train Loss: 2.648 | Train Acc: 45.827%
Epoch 27 | Train Loss: 2.633 | Train Acc: 46.130%
Epoch 28 | Train Loss: 2.633 | Train Acc: 46.302%
Epoch 29 | Train Loss: 2.645 | Train Acc: 46.144%
Epoch 30 | Train Loss: 2.612 | Train Acc: 46.759%
Epoch 31 | Train Loss: 2.619 | Train Acc: 46.763%
Epoch 32 | Train Loss: 2.559 | Train Acc: 48.586%
Epoch 33 | Train Loss: 2.573 | Train Acc: 47.965%
Epoch 34 | Train Loss: 2.557 | Train Acc: 48.381%
Epoch 35 | Train Loss: 2.551 | Train Acc: 48.331%
Epoch 36 | Train Loss: 2.552 | Train Acc: 48.768%
Epoch 37 | Train Loss: 2.459 | Train Acc: 50.859%
Epoch 38 | Train Loss: 2.515 | Train Acc: 49.870%
Epoch 39 | Train Loss: 2.444 | Train Acc: 51.464%
Epoch 40 | Train Loss: 2.460 | Train Acc: 51.579%
Epoch 41 | Train Loss: 2.509 | Train Acc: 50.048%
Epoch 42 | Train Loss: 2.412 | Train Acc: 52.574%
Epoch 43 | Train Loss: 2.390 | Train Acc: 53.137%
Epoch 44 | Train Loss: 2.422 | Train Acc: 52.498%
Epoch 45 | Train Loss: 2.388 | Train Acc: 53.325%
Epoch 46 | Train Loss: 2.385 | Train Acc: 53.387%
Epoch 47 | Train Loss: 2.386 | Train Acc: 53.554%
Epoch 48 | Train Loss: 2.402 | Train Acc: 52.947%
Epoch 49 | Train Loss: 2.359 | Train Acc: 54.481%
Epoch 50 | Train Loss: 2.332 | Train Acc: 54.844%
Epoch 51 | Train Loss: 2.339 | Train Acc: 54.782%
Epoch 52 | Train Loss: 2.372 | Train Acc: 54.008%
Epoch 53 | Train Loss: 2.348 | Train Acc: 54.511%
