Epoch 0 | Train Loss: 4.473 | Train Acc: 3.173%
Epoch 1 | Train Loss: 4.277 | Train Acc: 5.931%
Epoch 2 | Train Loss: 4.130 | Train Acc: 9.004%
Epoch 3 | Train Loss: 3.993 | Train Acc: 11.510%
Epoch 4 | Train Loss: 3.808 | Train Acc: 15.260%
Epoch 5 | Train Loss: 3.668 | Train Acc: 18.890%
Epoch 6 | Train Loss: 3.512 | Train Acc: 22.342%
Epoch 7 | Train Loss: 3.384 | Train Acc: 25.479%
Epoch 8 | Train Loss: 3.274 | Train Acc: 28.554%
Epoch 9 | Train Loss: 3.218 | Train Acc: 29.762%
Epoch 10 | Train Loss: 3.149 | Train Acc: 31.745%
Epoch 11 | Train Loss: 3.061 | Train Acc: 34.383%
Epoch 12 | Train Loss: 3.035 | Train Acc: 34.928%
Epoch 13 | Train Loss: 2.919 | Train Acc: 38.037%
Epoch 14 | Train Loss: 2.935 | Train Acc: 37.847%
Epoch 15 | Train Loss: 2.840 | Train Acc: 40.100%
Epoch 16 | Train Loss: 2.841 | Train Acc: 40.220%
Epoch 17 | Train Loss: 2.875 | Train Acc: 39.555%
Epoch 18 | Train Loss: 2.748 | Train Acc: 42.851%
Epoch 19 | Train Loss: 2.708 | Train Acc: 43.702%
Epoch 20 | Train Loss: 2.753 | Train Acc: 42.981%
Epoch 21 | Train Loss: 2.686 | Train Acc: 44.688%
Epoch 22 | Train Loss: 2.693 | Train Acc: 44.235%
Epoch 23 | Train Loss: 2.680 | Train Acc: 44.934%
Epoch 24 | Train Loss: 2.696 | Train Acc: 44.429%
Epoch 25 | Train Loss: 2.613 | Train Acc: 46.987%
Epoch 26 | Train Loss: 2.603 | Train Acc: 47.358%
Epoch 27 | Train Loss: 2.591 | Train Acc: 47.444%
Epoch 28 | Train Loss: 2.595 | Train Acc: 47.404%
Epoch 29 | Train Loss: 2.607 | Train Acc: 47.155%
Epoch 30 | Train Loss: 2.573 | Train Acc: 48.011%
Epoch 31 | Train Loss: 2.576 | Train Acc: 48.293%
Epoch 32 | Train Loss: 2.525 | Train Acc: 49.651%
Epoch 33 | Train Loss: 2.530 | Train Acc: 49.325%
Epoch 34 | Train Loss: 2.524 | Train Acc: 49.335%
Epoch 35 | Train Loss: 2.513 | Train Acc: 49.667%
Epoch 36 | Train Loss: 2.520 | Train Acc: 49.818%
Epoch 37 | Train Loss: 2.426 | Train Acc: 52.163%
Epoch 38 | Train Loss: 2.485 | Train Acc: 50.915%
Epoch 39 | Train Loss: 2.404 | Train Acc: 52.897%
