Epoch 0 | Train Loss: 2.072 | Train Acc: 26.046%
Epoch 1 | Train Loss: 1.867 | Train Acc: 37.738%
Epoch 2 | Train Loss: 1.718 | Train Acc: 44.956%
Epoch 3 | Train Loss: 1.637 | Train Acc: 49.667%
Epoch 4 | Train Loss: 1.546 | Train Acc: 54.187%
Epoch 5 | Train Loss: 1.474 | Train Acc: 57.185%
Epoch 6 | Train Loss: 1.441 | Train Acc: 58.952%
Epoch 7 | Train Loss: 1.388 | Train Acc: 61.617%
Epoch 8 | Train Loss: 1.396 | Train Acc: 61.366%
Epoch 9 | Train Loss: 1.360 | Train Acc: 62.985%
Epoch 10 | Train Loss: 1.361 | Train Acc: 63.033%
Epoch 11 | Train Loss: 1.310 | Train Acc: 65.367%
Epoch 12 | Train Loss: 1.304 | Train Acc: 65.387%
Epoch 13 | Train Loss: 1.263 | Train Acc: 67.354%
Epoch 14 | Train Loss: 1.286 | Train Acc: 66.304%
Epoch 15 | Train Loss: 1.264 | Train Acc: 67.244%
Epoch 16 | Train Loss: 1.218 | Train Acc: 69.155%
Epoch 17 | Train Loss: 1.208 | Train Acc: 69.579%
Epoch 18 | Train Loss: 1.207 | Train Acc: 69.784%
Epoch 19 | Train Loss: 1.177 | Train Acc: 70.757%
Epoch 20 | Train Loss: 1.193 | Train Acc: 70.296%
Epoch 21 | Train Loss: 1.182 | Train Acc: 71.004%
Epoch 22 | Train Loss: 1.176 | Train Acc: 71.022%
Epoch 23 | Train Loss: 1.182 | Train Acc: 70.769%
Epoch 24 | Train Loss: 1.166 | Train Acc: 71.452%
Epoch 25 | Train Loss: 1.150 | Train Acc: 72.091%
Epoch 26 | Train Loss: 1.157 | Train Acc: 72.051%
Epoch 27 | Train Loss: 1.136 | Train Acc: 72.672%
Epoch 28 | Train Loss: 1.103 | Train Acc: 74.131%
Epoch 29 | Train Loss: 1.125 | Train Acc: 73.187%
Epoch 30 | Train Loss: 1.168 | Train Acc: 71.587%
Epoch 31 | Train Loss: 1.086 | Train Acc: 74.938%
Epoch 32 | Train Loss: 1.126 | Train Acc: 73.175%
Epoch 33 | Train Loss: 1.109 | Train Acc: 73.820%
Epoch 34 | Train Loss: 1.076 | Train Acc: 75.252%
Epoch 35 | Train Loss: 1.088 | Train Acc: 74.706%
Epoch 36 | Train Loss: 1.063 | Train Acc: 75.827%
Epoch 37 | Train Loss: 1.044 | Train Acc: 76.863%
Epoch 38 | Train Loss: 1.083 | Train Acc: 74.964%
Epoch 39 | Train Loss: 1.071 | Train Acc: 75.507%
Epoch 40 | Train Loss: 1.062 | Train Acc: 75.948%
Epoch 41 | Train Loss: 1.074 | Train Acc: 75.469%
Epoch 42 | Train Loss: 1.079 | Train Acc: 75.240%
Epoch 43 | Train Loss: 1.048 | Train Acc: 76.538%
Epoch 44 | Train Loss: 1.050 | Train Acc: 76.486%
Epoch 45 | Train Loss: 1.025 | Train Acc: 77.370%
Epoch 46 | Train Loss: 1.018 | Train Acc: 77.981%
Epoch 47 | Train Loss: 1.036 | Train Acc: 76.999%
Epoch 48 | Train Loss: 1.012 | Train Acc: 78.061%
Epoch 49 | Train Loss: 1.061 | Train Acc: 75.919%
Epoch 50 | Train Loss: 1.000 | Train Acc: 78.423%
Epoch 51 | Train Loss: 1.037 | Train Acc: 76.895%
Epoch 52 | Train Loss: 1.031 | Train Acc: 77.175%
Epoch 53 | Train Loss: 1.018 | Train Acc: 77.628%
Epoch 54 | Train Loss: 1.024 | Train Acc: 77.606%
Epoch 55 | Train Loss: 1.026 | Train Acc: 77.284%
Epoch 56 | Train Loss: 1.021 | Train Acc: 77.658%
Epoch 57 | Train Loss: 0.979 | Train Acc: 79.475%
Epoch 58 | Train Loss: 0.977 | Train Acc: 79.391%
Epoch 59 | Train Loss: 0.992 | Train Acc: 78.864%
Epoch 60 | Train Loss: 0.995 | Train Acc: 78.618%
Epoch 61 | Train Loss: 1.017 | Train Acc: 77.782%
Epoch 62 | Train Loss: 0.985 | Train Acc: 79.137%
Epoch 63 | Train Loss: 0.980 | Train Acc: 79.351%
Epoch 64 | Train Loss: 0.976 | Train Acc: 79.561%
Epoch 65 | Train Loss: 0.989 | Train Acc: 79.006%
Epoch 66 | Train Loss: 0.978 | Train Acc: 79.191%
Epoch 67 | Train Loss: 0.960 | Train Acc: 80.304%
Epoch 68 | Train Loss: 0.951 | Train Acc: 80.477%
Epoch 69 | Train Loss: 1.001 | Train Acc: 78.407%
Epoch 70 | Train Loss: 0.976 | Train Acc: 79.690%
Epoch 71 | Train Loss: 0.986 | Train Acc: 79.127%
Epoch 72 | Train Loss: 0.969 | Train Acc: 79.924%
Epoch 73 | Train Loss: 0.968 | Train Acc: 79.962%
Epoch 74 | Train Loss: 0.963 | Train Acc: 79.964%
Epoch 75 | Train Loss: 0.952 | Train Acc: 80.553%
Epoch 76 | Train Loss: 0.948 | Train Acc: 80.539%
Epoch 77 | Train Loss: 0.945 | Train Acc: 80.869%
Epoch 78 | Train Loss: 0.981 | Train Acc: 79.411%
Epoch 79 | Train Loss: 0.999 | Train Acc: 78.628%
Epoch 80 | Train Loss: 0.967 | Train Acc: 79.938%
Epoch 81 | Train Loss: 0.937 | Train Acc: 81.186%
Epoch 82 | Train Loss: 0.962 | Train Acc: 79.956%
Epoch 83 | Train Loss: 0.972 | Train Acc: 79.868%
Epoch 84 | Train Loss: 0.963 | Train Acc: 79.996%
Epoch 85 | Train Loss: 0.939 | Train Acc: 81.044%
Epoch 86 | Train Loss: 0.911 | Train Acc: 82.226%
Epoch 87 | Train Loss: 0.920 | Train Acc: 82.079%
Epoch 88 | Train Loss: 0.980 | Train Acc: 79.207%
Epoch 89 | Train Loss: 0.967 | Train Acc: 79.900%
Epoch 90 | Train Loss: 0.957 | Train Acc: 80.188%
Epoch 91 | Train Loss: 0.940 | Train Acc: 81.120%
Epoch 92 | Train Loss: 0.935 | Train Acc: 81.298%
Epoch 93 | Train Loss: 0.936 | Train Acc: 81.238%
Epoch 94 | Train Loss: 0.955 | Train Acc: 80.519%
Epoch 95 | Train Loss: 0.935 | Train Acc: 81.152%
Epoch 96 | Train Loss: 0.915 | Train Acc: 82.003%
Epoch 97 | Train Loss: 0.924 | Train Acc: 81.785%
Epoch 98 | Train Loss: 0.885 | Train Acc: 83.245%
Epoch 99 | Train Loss: 0.913 | Train Acc: 82.041%
Epoch 100 | Train Loss: 0.924 | Train Acc: 81.657%
Epoch 101 | Train Loss: 0.944 | Train Acc: 80.765%
Epoch 102 | Train Loss: 0.907 | Train Acc: 82.524%
Epoch 103 | Train Loss: 0.913 | Train Acc: 82.127%
Epoch 104 | Train Loss: 0.904 | Train Acc: 82.570%
Epoch 105 | Train Loss: 0.917 | Train Acc: 81.985%
Epoch 106 | Train Loss: 0.909 | Train Acc: 82.192%
Epoch 107 | Train Loss: 0.907 | Train Acc: 82.512%
Epoch 108 | Train Loss: 0.886 | Train Acc: 83.315%
Epoch 109 | Train Loss: 0.888 | Train Acc: 83.137%
