Epoch 0 | Train Loss: 4.536 | Train Acc: 2.604%
Epoch 1 | Train Loss: 4.370 | Train Acc: 4.281%
Epoch 2 | Train Loss: 4.261 | Train Acc: 5.964%
Epoch 3 | Train Loss: 4.172 | Train Acc: 8.035%
Epoch 4 | Train Loss: 4.048 | Train Acc: 10.443%
Epoch 5 | Train Loss: 3.970 | Train Acc: 12.037%
Epoch 6 | Train Loss: 3.862 | Train Acc: 14.413%
Epoch 7 | Train Loss: 3.764 | Train Acc: 16.536%
Epoch 8 | Train Loss: 3.685 | Train Acc: 18.297%
Epoch 9 | Train Loss: 3.644 | Train Acc: 19.559%
Epoch 10 | Train Loss: 3.576 | Train Acc: 20.835%
Epoch 11 | Train Loss: 3.508 | Train Acc: 22.622%
Epoch 12 | Train Loss: 3.481 | Train Acc: 23.247%
Epoch 13 | Train Loss: 3.385 | Train Acc: 25.599%
Epoch 14 | Train Loss: 3.396 | Train Acc: 25.697%
Epoch 15 | Train Loss: 3.321 | Train Acc: 27.288%
Epoch 16 | Train Loss: 3.316 | Train Acc: 27.865%
Epoch 17 | Train Loss: 3.332 | Train Acc: 27.460%
Epoch 18 | Train Loss: 3.245 | Train Acc: 29.521%
Epoch 19 | Train Loss: 3.209 | Train Acc: 30.170%
Epoch 20 | Train Loss: 3.242 | Train Acc: 29.790%
Epoch 21 | Train Loss: 3.187 | Train Acc: 31.016%
Epoch 22 | Train Loss: 3.187 | Train Acc: 31.260%
Epoch 23 | Train Loss: 3.182 | Train Acc: 31.422%
Epoch 24 | Train Loss: 3.181 | Train Acc: 31.526%
Epoch 25 | Train Loss: 3.118 | Train Acc: 32.680%
Epoch 26 | Train Loss: 3.111 | Train Acc: 33.187%
Epoch 27 | Train Loss: 3.099 | Train Acc: 33.728%
Epoch 28 | Train Loss: 3.107 | Train Acc: 33.686%
Epoch 29 | Train Loss: 3.112 | Train Acc: 33.383%
Epoch 30 | Train Loss: 3.093 | Train Acc: 33.954%
Epoch 31 | Train Loss: 3.100 | Train Acc: 34.075%
Epoch 32 | Train Loss: 3.045 | Train Acc: 35.162%
Epoch 33 | Train Loss: 3.058 | Train Acc: 34.836%
Epoch 34 | Train Loss: 3.033 | Train Acc: 35.477%
Epoch 35 | Train Loss: 3.052 | Train Acc: 34.924%
Epoch 36 | Train Loss: 3.046 | Train Acc: 35.030%
Epoch 37 | Train Loss: 2.968 | Train Acc: 36.781%
Epoch 38 | Train Loss: 3.025 | Train Acc: 35.843%
Epoch 39 | Train Loss: 2.953 | Train Acc: 37.604%
Epoch 40 | Train Loss: 2.963 | Train Acc: 37.326%
Epoch 41 | Train Loss: 3.021 | Train Acc: 36.156%
Epoch 42 | Train Loss: 2.920 | Train Acc: 38.301%
Epoch 43 | Train Loss: 2.920 | Train Acc: 38.373%
Epoch 44 | Train Loss: 2.943 | Train Acc: 37.722%
Epoch 45 | Train Loss: 2.909 | Train Acc: 38.852%
Epoch 46 | Train Loss: 2.923 | Train Acc: 38.608%
Epoch 47 | Train Loss: 2.934 | Train Acc: 38.205%
Epoch 48 | Train Loss: 2.923 | Train Acc: 38.480%
Epoch 49 | Train Loss: 2.901 | Train Acc: 39.177%
Epoch 50 | Train Loss: 2.870 | Train Acc: 39.461%
Epoch 51 | Train Loss: 2.884 | Train Acc: 39.233%
Epoch 52 | Train Loss: 2.911 | Train Acc: 38.714%
Epoch 53 | Train Loss: 2.889 | Train Acc: 39.401%
Epoch 54 | Train Loss: 2.850 | Train Acc: 40.204%
Epoch 55 | Train Loss: 2.905 | Train Acc: 39.056%
Epoch 56 | Train Loss: 2.902 | Train Acc: 39.121%
Epoch 57 | Train Loss: 2.851 | Train Acc: 40.591%
Epoch 58 | Train Loss: 2.867 | Train Acc: 39.986%
Epoch 59 | Train Loss: 2.827 | Train Acc: 41.286%
