Epoch 0 | Train Loss: 4.465 | Train Acc: 4.257%
Epoch 1 | Train Loss: 4.371 | Train Acc: 5.637%
Epoch 2 | Train Loss: 4.316 | Train Acc: 6.607%
Epoch 3 | Train Loss: 4.288 | Train Acc: 6.965%
Epoch 4 | Train Loss: 4.242 | Train Acc: 7.810%
Epoch 5 | Train Loss: 4.227 | Train Acc: 8.195%
Epoch 6 | Train Loss: 4.181 | Train Acc: 9.067%
Epoch 7 | Train Loss: 4.150 | Train Acc: 9.726%
Epoch 8 | Train Loss: 4.108 | Train Acc: 10.481%
Epoch 9 | Train Loss: 4.098 | Train Acc: 10.789%
Epoch 10 | Train Loss: 4.075 | Train Acc: 11.136%
Epoch 11 | Train Loss: 4.041 | Train Acc: 12.009%
Epoch 12 | Train Loss: 4.018 | Train Acc: 12.378%
Epoch 13 | Train Loss: 3.967 | Train Acc: 13.299%
Epoch 14 | Train Loss: 3.985 | Train Acc: 12.931%
Epoch 15 | Train Loss: 3.928 | Train Acc: 14.215%
Epoch 16 | Train Loss: 3.917 | Train Acc: 14.511%
Epoch 17 | Train Loss: 3.937 | Train Acc: 13.996%
Epoch 18 | Train Loss: 3.874 | Train Acc: 15.479%
Epoch 19 | Train Loss: 3.853 | Train Acc: 15.743%
Epoch 20 | Train Loss: 3.864 | Train Acc: 15.821%
Epoch 21 | Train Loss: 3.824 | Train Acc: 16.480%
Epoch 22 | Train Loss: 3.824 | Train Acc: 16.490%
Epoch 23 | Train Loss: 3.795 | Train Acc: 17.161%
Epoch 24 | Train Loss: 3.815 | Train Acc: 16.823%
Epoch 25 | Train Loss: 3.765 | Train Acc: 17.774%
Epoch 26 | Train Loss: 3.746 | Train Acc: 18.241%
Epoch 27 | Train Loss: 3.729 | Train Acc: 18.580%
Epoch 28 | Train Loss: 3.734 | Train Acc: 18.628%
Epoch 29 | Train Loss: 3.722 | Train Acc: 18.918%
Epoch 30 | Train Loss: 3.716 | Train Acc: 18.686%
