Epoch 0 | Train Loss: 4.460 | Train Acc: 4.449%
Epoch 1 | Train Loss: 4.360 | Train Acc: 5.897%
Epoch 2 | Train Loss: 4.307 | Train Acc: 6.470%
Epoch 3 | Train Loss: 4.274 | Train Acc: 7.081%
Epoch 4 | Train Loss: 4.234 | Train Acc: 7.855%
Epoch 5 | Train Loss: 4.218 | Train Acc: 8.345%
Epoch 6 | Train Loss: 4.172 | Train Acc: 9.343%
Epoch 7 | Train Loss: 4.133 | Train Acc: 10.046%
Epoch 8 | Train Loss: 4.105 | Train Acc: 10.539%
Epoch 9 | Train Loss: 4.086 | Train Acc: 10.721%
Epoch 10 | Train Loss: 4.059 | Train Acc: 11.362%
Epoch 11 | Train Loss: 4.020 | Train Acc: 12.031%
Epoch 12 | Train Loss: 4.011 | Train Acc: 12.394%
Epoch 13 | Train Loss: 3.949 | Train Acc: 13.694%
Epoch 14 | Train Loss: 3.946 | Train Acc: 13.686%
Epoch 15 | Train Loss: 3.894 | Train Acc: 14.814%
Epoch 16 | Train Loss: 3.892 | Train Acc: 14.798%
Epoch 17 | Train Loss: 3.900 | Train Acc: 15.050%
Epoch 18 | Train Loss: 3.849 | Train Acc: 15.907%
Epoch 19 | Train Loss: 3.826 | Train Acc: 16.332%
Epoch 20 | Train Loss: 3.826 | Train Acc: 16.721%
Epoch 21 | Train Loss: 3.787 | Train Acc: 17.360%
Epoch 22 | Train Loss: 3.782 | Train Acc: 17.386%
Epoch 23 | Train Loss: 3.760 | Train Acc: 17.865%
Epoch 24 | Train Loss: 3.771 | Train Acc: 17.929%
Epoch 25 | Train Loss: 3.703 | Train Acc: 19.183%
Epoch 26 | Train Loss: 3.693 | Train Acc: 19.285%
Epoch 27 | Train Loss: 3.667 | Train Acc: 19.912%
Epoch 28 | Train Loss: 3.677 | Train Acc: 19.828%
Epoch 29 | Train Loss: 3.660 | Train Acc: 20.337%
Epoch 30 | Train Loss: 3.647 | Train Acc: 20.449%
Epoch 31 | Train Loss: 3.634 | Train Acc: 20.667%
Epoch 32 | Train Loss: 3.593 | Train Acc: 21.653%
Epoch 33 | Train Loss: 3.597 | Train Acc: 21.472%
Epoch 34 | Train Loss: 3.549 | Train Acc: 22.782%
Epoch 35 | Train Loss: 3.548 | Train Acc: 22.660%
Epoch 36 | Train Loss: 3.530 | Train Acc: 23.235%
Epoch 37 | Train Loss: 3.464 | Train Acc: 24.698%
Epoch 38 | Train Loss: 3.484 | Train Acc: 24.311%
Epoch 39 | Train Loss: 3.428 | Train Acc: 25.535%
Epoch 40 | Train Loss: 3.422 | Train Acc: 25.741%
Epoch 41 | Train Loss: 3.477 | Train Acc: 24.491%
Epoch 42 | Train Loss: 3.386 | Train Acc: 26.420%
Epoch 43 | Train Loss: 3.353 | Train Acc: 27.428%
Epoch 44 | Train Loss: 3.374 | Train Acc: 26.949%
Epoch 45 | Train Loss: 3.335 | Train Acc: 27.772%
Epoch 46 | Train Loss: 3.329 | Train Acc: 27.909%
Epoch 47 | Train Loss: 3.336 | Train Acc: 27.879%
Epoch 48 | Train Loss: 3.323 | Train Acc: 28.233%
Epoch 49 | Train Loss: 3.275 | Train Acc: 29.225%
Epoch 50 | Train Loss: 3.247 | Train Acc: 29.978%
Epoch 51 | Train Loss: 3.251 | Train Acc: 29.702%
Epoch 52 | Train Loss: 3.269 | Train Acc: 29.457%
