Epoch 0 | Train Loss: 4.453 | Train Acc: 4.694%
Epoch 1 | Train Loss: 4.357 | Train Acc: 5.887%
Epoch 2 | Train Loss: 4.308 | Train Acc: 6.643%
Epoch 3 | Train Loss: 4.277 | Train Acc: 7.312%
Epoch 4 | Train Loss: 4.233 | Train Acc: 7.877%
Epoch 5 | Train Loss: 4.214 | Train Acc: 8.554%
Epoch 6 | Train Loss: 4.158 | Train Acc: 9.213%
Epoch 7 | Train Loss: 4.116 | Train Acc: 10.190%
Epoch 8 | Train Loss: 4.077 | Train Acc: 11.080%
Epoch 9 | Train Loss: 4.054 | Train Acc: 11.456%
Epoch 10 | Train Loss: 4.016 | Train Acc: 12.226%
Epoch 11 | Train Loss: 3.985 | Train Acc: 13.063%
Epoch 12 | Train Loss: 3.966 | Train Acc: 13.423%
Epoch 13 | Train Loss: 3.904 | Train Acc: 14.627%
Epoch 14 | Train Loss: 3.904 | Train Acc: 14.659%
Epoch 15 | Train Loss: 3.846 | Train Acc: 15.753%
Epoch 16 | Train Loss: 3.836 | Train Acc: 15.946%
Epoch 17 | Train Loss: 3.839 | Train Acc: 16.300%
Epoch 18 | Train Loss: 3.771 | Train Acc: 17.486%
Epoch 19 | Train Loss: 3.746 | Train Acc: 18.039%
Epoch 20 | Train Loss: 3.728 | Train Acc: 18.327%
Epoch 21 | Train Loss: 3.687 | Train Acc: 19.325%
Epoch 22 | Train Loss: 3.671 | Train Acc: 19.706%
Epoch 23 | Train Loss: 3.635 | Train Acc: 20.533%
Epoch 24 | Train Loss: 3.637 | Train Acc: 20.443%
Epoch 25 | Train Loss: 3.563 | Train Acc: 22.220%
Epoch 26 | Train Loss: 3.547 | Train Acc: 22.404%
Epoch 27 | Train Loss: 3.523 | Train Acc: 23.147%
Epoch 28 | Train Loss: 3.518 | Train Acc: 23.293%
Epoch 29 | Train Loss: 3.499 | Train Acc: 23.896%
Epoch 30 | Train Loss: 3.472 | Train Acc: 24.511%
Epoch 31 | Train Loss: 3.465 | Train Acc: 24.740%
Epoch 32 | Train Loss: 3.420 | Train Acc: 25.567%
Epoch 33 | Train Loss: 3.419 | Train Acc: 25.423%
Epoch 34 | Train Loss: 3.384 | Train Acc: 26.434%
Epoch 35 | Train Loss: 3.386 | Train Acc: 26.376%
Epoch 36 | Train Loss: 3.362 | Train Acc: 27.129%
Epoch 37 | Train Loss: 3.287 | Train Acc: 28.720%
Epoch 38 | Train Loss: 3.306 | Train Acc: 28.530%
Epoch 39 | Train Loss: 3.246 | Train Acc: 29.944%
Epoch 40 | Train Loss: 3.251 | Train Acc: 29.922%
Epoch 41 | Train Loss: 3.293 | Train Acc: 29.085%
Epoch 42 | Train Loss: 3.195 | Train Acc: 31.174%
