Epoch 0 | Train Loss: 4.470 | Train Acc: 3.227%
Epoch 1 | Train Loss: 4.278 | Train Acc: 6.050%
Epoch 2 | Train Loss: 4.121 | Train Acc: 9.279%
Epoch 3 | Train Loss: 3.971 | Train Acc: 12.438%
Epoch 4 | Train Loss: 3.774 | Train Acc: 16.212%
Epoch 5 | Train Loss: 3.627 | Train Acc: 19.774%
Epoch 6 | Train Loss: 3.474 | Train Acc: 23.572%
Epoch 7 | Train Loss: 3.347 | Train Acc: 26.581%
Epoch 8 | Train Loss: 3.232 | Train Acc: 29.669%
Epoch 9 | Train Loss: 3.183 | Train Acc: 30.960%
Epoch 10 | Train Loss: 3.114 | Train Acc: 32.819%
Epoch 11 | Train Loss: 3.031 | Train Acc: 35.164%
Epoch 12 | Train Loss: 3.002 | Train Acc: 36.052%
Epoch 13 | Train Loss: 2.886 | Train Acc: 38.868%
Epoch 14 | Train Loss: 2.903 | Train Acc: 38.882%
Epoch 15 | Train Loss: 2.810 | Train Acc: 41.040%
Epoch 16 | Train Loss: 2.808 | Train Acc: 41.354%
Epoch 17 | Train Loss: 2.846 | Train Acc: 40.489%
Epoch 18 | Train Loss: 2.721 | Train Acc: 43.570%
Epoch 19 | Train Loss: 2.681 | Train Acc: 44.688%
Epoch 20 | Train Loss: 2.729 | Train Acc: 43.798%
Epoch 21 | Train Loss: 2.657 | Train Acc: 45.385%
Epoch 22 | Train Loss: 2.669 | Train Acc: 45.020%
Epoch 23 | Train Loss: 2.652 | Train Acc: 45.847%
Epoch 24 | Train Loss: 2.672 | Train Acc: 45.096%
Epoch 25 | Train Loss: 2.591 | Train Acc: 47.486%
Epoch 26 | Train Loss: 2.581 | Train Acc: 47.833%
Epoch 27 | Train Loss: 2.569 | Train Acc: 48.259%
Epoch 28 | Train Loss: 2.574 | Train Acc: 48.271%
Epoch 29 | Train Loss: 2.582 | Train Acc: 48.019%
Epoch 30 | Train Loss: 2.550 | Train Acc: 48.722%
Epoch 31 | Train Loss: 2.556 | Train Acc: 48.714%
Epoch 32 | Train Loss: 2.500 | Train Acc: 50.230%
Epoch 33 | Train Loss: 2.509 | Train Acc: 49.896%
Epoch 34 | Train Loss: 2.498 | Train Acc: 50.158%
Epoch 35 | Train Loss: 2.494 | Train Acc: 50.130%
Epoch 36 | Train Loss: 2.499 | Train Acc: 50.419%
Epoch 37 | Train Loss: 2.401 | Train Acc: 53.035%
Epoch 38 | Train Loss: 2.470 | Train Acc: 51.274%
Epoch 39 | Train Loss: 2.387 | Train Acc: 53.415%
Epoch 40 | Train Loss: 2.407 | Train Acc: 53.097%
Epoch 41 | Train Loss: 2.456 | Train Acc: 51.725%
Epoch 42 | Train Loss: 2.360 | Train Acc: 54.111%
