Epoch 0 | Train Loss: 4.702 | Train Acc: 1.044%
Epoch 1 | Train Loss: 4.609 | Train Acc: 1.969%
Epoch 2 | Train Loss: 4.460 | Train Acc: 4.131%
Epoch 3 | Train Loss: 4.328 | Train Acc: 6.089%
Epoch 4 | Train Loss: 4.184 | Train Acc: 8.448%
Epoch 5 | Train Loss: 4.025 | Train Acc: 11.270%
Epoch 6 | Train Loss: 3.889 | Train Acc: 14.164%
Epoch 7 | Train Loss: 3.718 | Train Acc: 17.857%
Epoch 8 | Train Loss: 3.593 | Train Acc: 20.721%
Epoch 9 | Train Loss: 3.489 | Train Acc: 23.377%
Epoch 10 | Train Loss: 3.379 | Train Acc: 25.927%
Epoch 11 | Train Loss: 3.292 | Train Acc: 28.150%
Epoch 12 | Train Loss: 3.201 | Train Acc: 30.308%
Epoch 13 | Train Loss: 3.129 | Train Acc: 32.057%
Epoch 14 | Train Loss: 3.084 | Train Acc: 33.198%
Epoch 15 | Train Loss: 2.999 | Train Acc: 35.330%
Epoch 16 | Train Loss: 2.946 | Train Acc: 36.857%
Epoch 17 | Train Loss: 2.897 | Train Acc: 38.047%
Epoch 18 | Train Loss: 2.837 | Train Acc: 39.627%
Epoch 19 | Train Loss: 2.783 | Train Acc: 41.031%
Epoch 20 | Train Loss: 2.753 | Train Acc: 41.971%
Epoch 21 | Train Loss: 2.721 | Train Acc: 42.708%
Epoch 22 | Train Loss: 2.670 | Train Acc: 44.159%
Epoch 23 | Train Loss: 2.633 | Train Acc: 45.244%
Epoch 24 | Train Loss: 2.594 | Train Acc: 46.159%
Epoch 25 | Train Loss: 2.579 | Train Acc: 46.597%
Epoch 26 | Train Loss: 2.542 | Train Acc: 47.521%
Epoch 27 | Train Loss: 2.511 | Train Acc: 48.402%
Epoch 28 | Train Loss: 2.472 | Train Acc: 49.479%
Epoch 29 | Train Loss: 2.459 | Train Acc: 49.987%
Epoch 30 | Train Loss: 2.431 | Train Acc: 50.543%
Epoch 31 | Train Loss: 2.409 | Train Acc: 51.329%
Epoch 32 | Train Loss: 2.379 | Train Acc: 52.069%
Epoch 33 | Train Loss: 2.356 | Train Acc: 52.811%
Epoch 34 | Train Loss: 2.336 | Train Acc: 53.263%
Epoch 35 | Train Loss: 2.328 | Train Acc: 53.526%
Epoch 36 | Train Loss: 2.285 | Train Acc: 54.677%
Epoch 37 | Train Loss: 2.275 | Train Acc: 54.945%
Epoch 38 | Train Loss: 2.262 | Train Acc: 55.433%
Epoch 39 | Train Loss: 2.235 | Train Acc: 56.085%
Epoch 40 | Train Loss: 2.222 | Train Acc: 56.435%
Epoch 41 | Train Loss: 2.200 | Train Acc: 57.169%
Epoch 42 | Train Loss: 2.177 | Train Acc: 57.848%
Epoch 43 | Train Loss: 2.173 | Train Acc: 57.800%
Epoch 44 | Train Loss: 2.150 | Train Acc: 58.421%
Epoch 45 | Train Loss: 2.133 | Train Acc: 59.037%
Epoch 46 | Train Loss: 2.116 | Train Acc: 59.574%
Epoch 47 | Train Loss: 2.112 | Train Acc: 59.587%
Epoch 48 | Train Loss: 2.096 | Train Acc: 60.053%
Epoch 49 | Train Loss: 2.083 | Train Acc: 60.492%
Epoch 50 | Train Loss: 2.061 | Train Acc: 61.325%
Epoch 51 | Train Loss: 2.058 | Train Acc: 61.291%
Epoch 52 | Train Loss: 2.027 | Train Acc: 61.987%
Epoch 53 | Train Loss: 2.020 | Train Acc: 62.283%
Epoch 54 | Train Loss: 2.000 | Train Acc: 63.115%
Epoch 55 | Train Loss: 1.993 | Train Acc: 63.234%
Epoch 56 | Train Loss: 1.983 | Train Acc: 63.451%
Epoch 57 | Train Loss: 1.965 | Train Acc: 64.014%
Epoch 58 | Train Loss: 1.956 | Train Acc: 64.224%
Epoch 59 | Train Loss: 1.946 | Train Acc: 64.498%
Epoch 60 | Train Loss: 1.932 | Train Acc: 64.980%
Epoch 61 | Train Loss: 1.924 | Train Acc: 65.120%
Epoch 62 | Train Loss: 1.913 | Train Acc: 65.553%
Epoch 63 | Train Loss: 1.903 | Train Acc: 65.864%
Epoch 64 | Train Loss: 1.885 | Train Acc: 66.427%
Epoch 65 | Train Loss: 1.880 | Train Acc: 66.615%
Epoch 66 | Train Loss: 1.872 | Train Acc: 66.731%
Epoch 67 | Train Loss: 1.858 | Train Acc: 67.117%
Epoch 68 | Train Loss: 1.850 | Train Acc: 67.488%
Epoch 69 | Train Loss: 1.844 | Train Acc: 67.647%
Epoch 70 | Train Loss: 1.824 | Train Acc: 68.348%
Epoch 71 | Train Loss: 1.820 | Train Acc: 68.340%
Epoch 72 | Train Loss: 1.811 | Train Acc: 68.628%
Epoch 73 | Train Loss: 1.801 | Train Acc: 68.829%
Epoch 74 | Train Loss: 1.801 | Train Acc: 68.884%
Epoch 75 | Train Loss: 1.789 | Train Acc: 69.218%
Epoch 76 | Train Loss: 1.784 | Train Acc: 69.451%
Epoch 77 | Train Loss: 1.776 | Train Acc: 69.742%
Epoch 78 | Train Loss: 1.773 | Train Acc: 69.910%
Epoch 79 | Train Loss: 1.771 | Train Acc: 69.754%
Epoch 80 | Train Loss: 1.763 | Train Acc: 70.222%
Epoch 81 | Train Loss: 1.765 | Train Acc: 70.092%
Epoch 82 | Train Loss: 1.756 | Train Acc: 70.470%
Epoch 83 | Train Loss: 1.752 | Train Acc: 70.593%
